"","WSN","NYY","Champion"
"597","2","4","NYY"
"598","4","3","WSN"
"599","4","0","WSN"
"600","3","4","NYY"
"601","4","3","WSN"
"602","4","1","WSN"
"603","4","2","WSN"
"604","0","4","NYY"
"605","4","2","WSN"
"606","2","4","NYY"
"607","4","3","WSN"
"608","0","4","NYY"
"609","1","4","NYY"
"610","3","4","NYY"
"611","4","2","WSN"
"612","4","2","WSN"
"613","4","0","WSN"
"614","1","4","NYY"
"615","4","0","WSN"
"616","4","2","WSN"
"617","1","4","NYY"
"618","2","4","NYY"
"619","4","2","WSN"
"620","4","1","WSN"
"621","4","1","WSN"
"622","4","3","WSN"
"623","4","2","WSN"
"624","4","2","WSN"
"625","4","1","WSN"
"626","4","0","WSN"
"627","4","0","WSN"
"628","0","4","NYY"
"629","4","1","WSN"
"630","1","4","NYY"
"631","3","4","NYY"
"632","4","3","WSN"
"633","0","4","NYY"
"634","2","4","NYY"
"635","4","0","WSN"
"636","4","2","WSN"
"637","3","4","NYY"
"638","0","4","NYY"
"639","4","3","WSN"
"640","4","2","WSN"
"641","4","3","WSN"
"642","3","4","NYY"
"643","3","4","NYY"
"644","4","3","WSN"
"645","2","4","NYY"
"646","2","4","NYY"
"647","4","0","WSN"
"648","4","3","WSN"
"649","1","4","NYY"
"650","3","4","NYY"
"651","4","0","WSN"
"652","4","2","WSN"
"653","4","3","WSN"
"654","4","3","WSN"
"655","2","4","NYY"
"656","4","2","WSN"
"657","4","2","WSN"
"658","2","4","NYY"
"659","4","0","WSN"
"660","4","2","WSN"
"661","4","0","WSN"
"662","2","4","NYY"
"663","3","4","NYY"
"664","0","4","NYY"
"665","4","3","WSN"
"666","4","1","WSN"
"667","0","4","NYY"
"668","3","4","NYY"
"669","4","2","WSN"
"670","4","1","WSN"
"671","1","4","NYY"
"672","2","4","NYY"
"673","4","1","WSN"
"674","2","4","NYY"
"675","2","4","NYY"
"676","4","3","WSN"
"677","4","2","WSN"
"678","4","1","WSN"
"679","4","3","WSN"
"680","4","2","WSN"
"681","4","3","WSN"
"682","4","2","WSN"
"683","4","3","WSN"
"684","0","4","NYY"
"685","2","4","NYY"
"686","1","4","NYY"
"687","4","1","WSN"
"688","1","4","NYY"
"689","4","3","WSN"
"690","1","4","NYY"
"691","4","3","WSN"
"692","4","2","WSN"
"693","4","2","WSN"
"694","4","0","WSN"
"695","1","4","NYY"
"696","4","2","WSN"
"697","3","4","NYY"
"698","4","2","WSN"
"699","4","2","WSN"
"700","1","4","NYY"
"701","4","1","WSN"
"702","4","1","WSN"
"703","4","1","WSN"
"704","4","0","WSN"
"705","4","1","WSN"
"706","4","2","WSN"
"707","0","4","NYY"
"708","4","1","WSN"
"709","3","4","NYY"
"710","4","2","WSN"
"711","4","1","WSN"
"712","4","2","WSN"
"713","4","2","WSN"
"714","4","2","WSN"
"715","2","4","NYY"
"716","4","0","WSN"
"717","4","2","WSN"
"718","1","4","NYY"
"719","4","2","WSN"
"720","1","4","NYY"
"721","4","1","WSN"
"722","4","2","WSN"
"723","4","2","WSN"
"724","4","2","WSN"
"725","4","0","WSN"
"726","2","4","NYY"
"727","4","3","WSN"
"728","4","2","WSN"
"729","1","4","NYY"
"730","4","1","WSN"
"731","4","3","WSN"
"732","0","4","NYY"
"733","4","2","WSN"
"734","3","4","NYY"
"735","2","4","NYY"
"736","4","2","WSN"
"737","4","3","WSN"
"738","4","2","WSN"
"739","1","4","NYY"
"740","4","2","WSN"
"741","2","4","NYY"
"742","2","4","NYY"
"743","4","1","WSN"
"744","4","0","WSN"
"745","1","4","NYY"
"746","4","3","WSN"
"747","4","3","WSN"
"748","4","2","WSN"
"749","4","3","WSN"
"750","4","1","WSN"
"751","4","3","WSN"
"752","4","1","WSN"
"753","4","1","WSN"
"754","1","4","NYY"
"755","4","3","WSN"
"756","4","1","WSN"
"757","3","4","NYY"
"758","4","1","WSN"
"759","4","2","WSN"
"760","4","1","WSN"
"761","4","2","WSN"
"762","4","3","WSN"
"763","2","4","NYY"
"764","4","0","WSN"
"765","3","4","NYY"
"766","3","4","NYY"
"767","3","4","NYY"
"768","4","2","WSN"
"769","4","2","WSN"
"770","1","4","NYY"
"771","3","4","NYY"
"772","1","4","NYY"
"773","4","3","WSN"
"774","4","2","WSN"
"775","1","4","NYY"
"776","3","4","NYY"
"777","2","4","NYY"
"778","1","4","NYY"
"779","2","4","NYY"
"780","4","3","WSN"
"781","3","4","NYY"
"782","4","1","WSN"
"783","1","4","NYY"
"784","4","3","WSN"
"785","4","3","WSN"
"786","4","0","WSN"
"787","3","4","NYY"
"788","3","4","NYY"
"789","4","3","WSN"
"790","4","3","WSN"
"791","0","4","NYY"
"792","4","3","WSN"
"793","4","3","WSN"
"794","4","1","WSN"
"795","4","3","WSN"
"796","1","4","NYY"
"797","4","1","WSN"
"798","4","1","WSN"
"799","3","4","NYY"
"800","4","1","WSN"
"801","3","4","NYY"
"802","1","4","NYY"
"803","4","2","WSN"
"804","4","1","WSN"
"805","4","3","WSN"
"806","3","4","NYY"
"807","4","3","WSN"
"808","4","1","WSN"
"809","4","1","WSN"
"810","4","1","WSN"
"811","1","4","NYY"
"812","4","2","WSN"
"813","4","1","WSN"
"814","4","2","WSN"
"815","2","4","NYY"
"816","1","4","NYY"
"817","2","4","NYY"
"818","4","1","WSN"
"819","4","0","WSN"
"820","1","4","NYY"
"821","3","4","NYY"
"822","4","3","WSN"
"823","2","4","NYY"
"824","1","4","NYY"
"825","1","4","NYY"
"826","2","4","NYY"
"827","1","4","NYY"
"828","4","0","WSN"
"829","4","0","WSN"
"830","4","2","WSN"
"831","4","3","WSN"
"832","4","3","WSN"
"833","4","0","WSN"
"834","4","3","WSN"
"835","4","0","WSN"
"836","2","4","NYY"
"837","3","4","NYY"
"838","3","4","NYY"
"839","4","3","WSN"
"840","3","4","NYY"
"841","1","4","NYY"
"842","4","0","WSN"
"843","3","4","NYY"
"844","4","2","WSN"
"845","4","2","WSN"
"846","2","4","NYY"
"847","4","2","WSN"
"848","1","4","NYY"
"849","2","4","NYY"
"850","1","4","NYY"
"851","4","2","WSN"
"852","4","2","WSN"
"853","3","4","NYY"
"854","3","4","NYY"
"855","4","2","WSN"
"856","4","2","WSN"
"857","4","2","WSN"
"858","4","3","WSN"
"859","4","0","WSN"
"860","3","4","NYY"
"861","3","4","NYY"
"862","4","3","WSN"
"863","4","0","WSN"
"864","4","1","WSN"
"865","1","4","NYY"
"866","3","4","NYY"
"867","1","4","NYY"
"868","4","3","WSN"
"869","1","4","NYY"
"870","2","4","NYY"
"871","3","4","NYY"
"872","3","4","NYY"
"873","3","4","NYY"
"874","4","2","WSN"
"875","3","4","NYY"
"876","4","2","WSN"
"877","4","1","WSN"
"878","4","1","WSN"
"879","4","1","WSN"
"880","4","1","WSN"
"881","4","2","WSN"
"882","4","2","WSN"
"883","4","2","WSN"
"884","3","4","NYY"
"885","3","4","NYY"
"886","4","2","WSN"
"887","2","4","NYY"
"888","4","3","WSN"
"889","4","3","WSN"
"890","4","1","WSN"
"891","4","2","WSN"
"892","2","4","NYY"
"893","4","2","WSN"
"894","4","2","WSN"
"895","0","4","NYY"
"896","4","2","WSN"
"897","4","2","WSN"
"898","4","1","WSN"
"899","1","4","NYY"
"900","3","4","NYY"
"901","4","0","WSN"
"902","4","3","WSN"
"903","1","4","NYY"
"904","3","4","NYY"
"905","4","2","WSN"
"906","3","4","NYY"
"907","4","2","WSN"
"908","4","0","WSN"
"909","3","4","NYY"
"910","4","2","WSN"
"911","4","2","WSN"
"912","4","2","WSN"
"913","4","3","WSN"
"914","4","2","WSN"
"915","4","1","WSN"
"916","4","1","WSN"
"917","3","4","NYY"
"918","4","3","WSN"
"919","4","2","WSN"
"920","2","4","NYY"
"921","2","4","NYY"
"922","4","2","WSN"
"923","1","4","NYY"
"924","4","2","WSN"
"925","4","2","WSN"
"926","2","4","NYY"
"927","4","2","WSN"
"928","4","2","WSN"
"929","4","2","WSN"
"930","3","4","NYY"
"931","3","4","NYY"
"932","1","4","NYY"
"933","2","4","NYY"
"934","4","2","WSN"
"935","4","0","WSN"
"936","4","2","WSN"
"937","3","4","NYY"
"938","3","4","NYY"
"939","3","4","NYY"
"940","2","4","NYY"
"941","4","1","WSN"
"942","2","4","NYY"
"943","1","4","NYY"
"944","1","4","NYY"
"945","3","4","NYY"
"946","2","4","NYY"
"947","4","2","WSN"
"948","4","2","WSN"
"949","1","4","NYY"
"950","4","0","WSN"
"951","4","2","WSN"
"952","4","2","WSN"
"953","4","3","WSN"
"954","3","4","NYY"
"955","4","3","WSN"
"956","4","3","WSN"
"957","4","2","WSN"
"958","4","2","WSN"
"959","4","1","WSN"
"960","4","3","WSN"
"961","4","2","WSN"
"962","4","3","WSN"
"963","2","4","NYY"
"964","2","4","NYY"
"965","1","4","NYY"
"966","2","4","NYY"
"967","4","0","WSN"
"968","2","4","NYY"
"969","3","4","NYY"
"970","4","3","WSN"
"971","4","2","WSN"
"972","1","4","NYY"
"973","4","3","WSN"
"974","4","3","WSN"
"975","4","2","WSN"
"976","4","3","WSN"
"977","2","4","NYY"
"978","1","4","NYY"
"979","4","3","WSN"
"980","1","4","NYY"
"981","4","2","WSN"
"982","4","2","WSN"
"983","3","4","NYY"
"984","3","4","NYY"
"985","4","2","WSN"
"986","4","3","WSN"
"987","1","4","NYY"
"988","1","4","NYY"
"989","0","4","NYY"
"990","4","1","WSN"
"991","4","2","WSN"
"992","2","4","NYY"
"993","4","2","WSN"
"994","4","3","WSN"
"995","4","3","WSN"
"996","4","2","WSN"
"997","4","2","WSN"
"998","4","1","WSN"
"999","3","4","NYY"
"1000","4","2","WSN"
"1001","2","4","NYY"
"1002","4","0","WSN"
"1003","0","4","NYY"
"1004","3","4","NYY"
"1005","3","4","NYY"
"1006","4","3","WSN"
"1007","1","4","NYY"
"1008","4","0","WSN"
"1009","4","2","WSN"
"1010","1","4","NYY"
"1011","1","4","NYY"
"1012","1","4","NYY"
"1013","2","4","NYY"
"1014","3","4","NYY"
"1015","4","3","WSN"
"1016","0","4","NYY"
"1017","2","4","NYY"
"1018","2","4","NYY"
"1019","4","3","WSN"
"1020","2","4","NYY"
"1021","4","1","WSN"
"1022","4","2","WSN"
"1023","4","2","WSN"
"1024","4","2","WSN"
"1025","1","4","NYY"
"1026","3","4","NYY"
"1027","1","4","NYY"
"1028","4","1","WSN"
"1029","3","4","NYY"
"1030","4","3","WSN"
"1031","4","2","WSN"
"1032","3","4","NYY"
"1033","1","4","NYY"
"1034","2","4","NYY"
"1035","4","0","WSN"
"1036","1","4","NYY"
"1037","4","2","WSN"
"1038","1","4","NYY"
"1039","1","4","NYY"
"1040","1","4","NYY"
"1041","4","2","WSN"
"1042","1","4","NYY"
"1043","4","2","WSN"
"1044","4","0","WSN"
"1045","4","3","WSN"
"1046","4","2","WSN"
"1047","2","4","NYY"
"1048","2","4","NYY"
"1049","4","1","WSN"
"1050","1","4","NYY"
"1051","0","4","NYY"
"1052","4","3","WSN"
"1053","4","3","WSN"
"1054","4","1","WSN"
"1055","2","4","NYY"
"1056","4","2","WSN"
"1057","4","3","WSN"
"1058","4","2","WSN"
"1059","2","4","NYY"
"1060","4","3","WSN"
"1061","3","4","NYY"
"1062","4","1","WSN"
"1063","4","3","WSN"
"1064","3","4","NYY"
"1065","4","1","WSN"
"1066","2","4","NYY"
"1067","4","1","WSN"
"1068","4","1","WSN"
"1069","4","2","WSN"
"1070","3","4","NYY"
"1071","2","4","NYY"
"1072","0","4","NYY"
"1073","4","2","WSN"
"1074","4","0","WSN"
"1075","4","1","WSN"
"1076","4","1","WSN"
"1077","0","4","NYY"
"1078","4","1","WSN"
"1079","4","2","WSN"
"1080","3","4","NYY"
"1081","4","3","WSN"
"1082","3","4","NYY"
"1083","4","3","WSN"
"1084","4","2","WSN"
"1085","0","4","NYY"
"1086","4","1","WSN"
"1087","2","4","NYY"
"1088","4","3","WSN"
"1089","4","3","WSN"
"1090","4","2","WSN"
"1091","3","4","NYY"
"1092","4","2","WSN"
"1093","4","3","WSN"
"1094","3","4","NYY"
"1095","4","1","WSN"
"1096","1","4","NYY"
"1097","2","4","NYY"
"1098","4","2","WSN"
"1099","4","0","WSN"
"1100","1","4","NYY"
"1101","3","4","NYY"
"1102","4","1","WSN"
"1103","4","0","WSN"
"1104","2","4","NYY"
"1105","4","1","WSN"
"1106","3","4","NYY"
"1107","1","4","NYY"
"1108","4","1","WSN"
"1109","2","4","NYY"
"1110","3","4","NYY"
"1111","1","4","NYY"
"1112","2","4","NYY"
"1113","4","2","WSN"
"1114","4","0","WSN"
"1115","4","2","WSN"
"1116","0","4","NYY"
"1117","4","3","WSN"
"1118","3","4","NYY"
"1119","2","4","NYY"
"1120","1","4","NYY"
"1121","4","2","WSN"
"1122","2","4","NYY"
"1123","4","2","WSN"
"1124","0","4","NYY"
"1125","4","3","WSN"
"1126","3","4","NYY"
"1127","1","4","NYY"
"1128","4","2","WSN"
"1129","4","2","WSN"
"1130","4","1","WSN"
"1131","3","4","NYY"
"1132","4","0","WSN"
"1133","2","4","NYY"
"1134","4","2","WSN"
"1135","4","2","WSN"
"1136","1","4","NYY"
"1137","4","3","WSN"
"1138","3","4","NYY"
"1139","0","4","NYY"
"1140","0","4","NYY"
"1141","0","4","NYY"
"1142","4","2","WSN"
"1143","1","4","NYY"
"1144","4","0","WSN"
"1145","4","2","WSN"
"1146","4","3","WSN"
"1147","4","3","WSN"
"1148","3","4","NYY"
"1149","4","2","WSN"
"1150","4","3","WSN"
"1151","3","4","NYY"
