"","MIN","NYY","Series Winner"
"156","1","3","NYY"
"157","3","1","MIN"
"158","3","0","MIN"
"159","3","0","MIN"
"160","3","0","MIN"
"161","3","0","MIN"
"162","1","3","NYY"
"163","2","3","NYY"
"164","3","1","MIN"
"165","3","1","MIN"
"166","3","0","MIN"
"167","3","2","MIN"
"168","1","3","NYY"
"169","0","3","NYY"
"170","3","1","MIN"
"171","3","1","MIN"
"172","2","3","NYY"
"173","3","1","MIN"
"174","3","2","MIN"
"175","3","1","MIN"
"176","1","3","NYY"
"177","0","3","NYY"
"178","3","0","MIN"
"179","1","3","NYY"
"180","3","2","MIN"
"181","0","3","NYY"
"182","3","1","MIN"
"183","3","1","MIN"
"184","1","3","NYY"
"185","3","1","MIN"
"186","3","1","MIN"
"187","3","1","MIN"
"188","2","3","NYY"
"189","2","3","NYY"
"190","3","2","MIN"
"191","3","2","MIN"
"192","1","3","NYY"
"193","3","0","MIN"
"194","3","2","MIN"
"195","0","3","NYY"
"196","2","3","NYY"
"197","2","3","NYY"
"198","3","1","MIN"
"199","2","3","NYY"
"200","3","2","MIN"
"201","3","2","MIN"
"202","3","1","MIN"
"203","3","1","MIN"
"204","3","1","MIN"
"205","1","3","NYY"
"206","2","3","NYY"
"207","3","0","MIN"
"208","0","3","NYY"
"209","3","2","MIN"
"210","3","2","MIN"
"211","3","1","MIN"
"212","2","3","NYY"
"213","3","0","MIN"
"214","3","1","MIN"
"215","0","3","NYY"
"216","3","2","MIN"
"217","3","1","MIN"
"218","0","3","NYY"
"219","1","3","NYY"
"220","2","3","NYY"
"221","0","3","NYY"
"222","0","3","NYY"
"223","3","2","MIN"
"224","2","3","NYY"
"225","3","0","MIN"
"226","2","3","NYY"
"227","3","0","MIN"
"228","1","3","NYY"
"229","3","0","MIN"
"230","3","0","MIN"
"231","3","0","MIN"
"232","0","3","NYY"
"233","1","3","NYY"
"234","3","1","MIN"
"235","0","3","NYY"
"236","3","1","MIN"
"237","0","3","NYY"
"238","3","0","MIN"
"239","1","3","NYY"
"240","3","0","MIN"
"241","2","3","NYY"
"242","3","1","MIN"
"243","2","3","NYY"
"244","0","3","NYY"
"245","3","0","MIN"
"246","3","2","MIN"
"247","3","2","MIN"
"248","1","3","NYY"
"249","2","3","NYY"
"250","3","1","MIN"
"251","1","3","NYY"
"252","2","3","NYY"
"253","1","3","NYY"
"254","1","3","NYY"
"255","0","3","NYY"
"256","3","0","MIN"
"257","3","1","MIN"
"258","2","3","NYY"
"259","3","0","MIN"
"260","1","3","NYY"
"261","0","3","NYY"
"262","3","1","MIN"
"263","1","3","NYY"
"264","3","1","MIN"
"265","3","2","MIN"
"266","3","1","MIN"
"267","3","2","MIN"
"268","2","3","NYY"
"269","3","2","MIN"
"270","1","3","NYY"
"271","0","3","NYY"
"272","1","3","NYY"
"273","3","2","MIN"
"274","3","1","MIN"
"275","1","3","NYY"
"276","1","3","NYY"
"277","3","2","MIN"
"278","1","3","NYY"
"279","3","0","MIN"
"280","3","0","MIN"
"281","3","2","MIN"
"282","3","0","MIN"
"283","0","3","NYY"
"284","2","3","NYY"
"285","2","3","NYY"
"286","2","3","NYY"
"287","3","0","MIN"
"288","3","1","MIN"
"289","1","3","NYY"
"290","3","0","MIN"
"291","3","0","MIN"
"292","1","3","NYY"
"293","3","1","MIN"
"294","3","2","MIN"
"295","3","2","MIN"
"296","0","3","NYY"
"297","3","1","MIN"
"298","2","3","NYY"
"299","0","3","NYY"
"300","0","3","NYY"
"301","3","1","MIN"
"302","3","2","MIN"
"303","3","1","MIN"
"304","1","3","NYY"
"305","3","1","MIN"
"306","3","1","MIN"
"307","2","3","NYY"
"308","1","3","NYY"
"309","3","2","MIN"
"310","3","1","MIN"
"311","2","3","NYY"
"312","3","1","MIN"
"313","2","3","NYY"
"314","0","3","NYY"
"315","2","3","NYY"
"316","3","1","MIN"
"317","3","2","MIN"
"318","3","2","MIN"
"319","3","1","MIN"
"320","3","2","MIN"
"321","2","3","NYY"
"322","3","2","MIN"
"323","3","0","MIN"
"324","1","3","NYY"
"325","3","2","MIN"
"326","3","1","MIN"
"327","3","2","MIN"
"328","3","2","MIN"
"329","1","3","NYY"
"330","3","1","MIN"
"331","3","1","MIN"
"332","2","3","NYY"
"333","3","2","MIN"
"334","3","2","MIN"
"335","3","1","MIN"
"336","3","2","MIN"
"337","3","2","MIN"
"338","3","1","MIN"
"339","1","3","NYY"
"340","3","2","MIN"
"341","2","3","NYY"
"342","3","0","MIN"
"343","3","0","MIN"
"344","2","3","NYY"
"345","3","0","MIN"
"346","3","2","MIN"
"347","3","0","MIN"
"348","3","1","MIN"
"349","2","3","NYY"
"350","1","3","NYY"
"351","3","0","MIN"
"352","3","0","MIN"
"353","2","3","NYY"
"354","3","1","MIN"
"355","2","3","NYY"
"356","1","3","NYY"
"357","3","1","MIN"
"358","3","1","MIN"
"359","3","0","MIN"
"360","1","3","NYY"
"361","0","3","NYY"
"362","3","1","MIN"
"363","3","1","MIN"
"364","3","0","MIN"
"365","3","2","MIN"
"366","0","3","NYY"
"367","3","1","MIN"
"368","1","3","NYY"
"369","3","2","MIN"
"370","1","3","NYY"
"371","3","1","MIN"
"372","2","3","NYY"
"373","3","0","MIN"
"374","3","1","MIN"
"375","2","3","NYY"
"376","0","3","NYY"
"377","3","0","MIN"
"378","2","3","NYY"
"379","0","3","NYY"
"380","1","3","NYY"
"381","3","0","MIN"
"382","3","1","MIN"
"383","3","1","MIN"
"384","1","3","NYY"
"385","1","3","NYY"
"386","1","3","NYY"
"387","3","1","MIN"
"388","3","2","MIN"
"389","3","1","MIN"
"390","2","3","NYY"
"391","2","3","NYY"
"392","3","1","MIN"
"393","3","1","MIN"
"394","2","3","NYY"
"395","2","3","NYY"
"396","2","3","NYY"
"397","3","1","MIN"
"398","3","2","MIN"
"399","3","2","MIN"
"400","3","2","MIN"
"401","2","3","NYY"
"402","3","2","MIN"
"403","3","0","MIN"
"404","1","3","NYY"
"405","2","3","NYY"
"406","3","1","MIN"
"407","3","1","MIN"
"408","2","3","NYY"
"409","2","3","NYY"
"410","2","3","NYY"
"411","2","3","NYY"
"412","1","3","NYY"
"413","0","3","NYY"
"414","3","2","MIN"
"415","0","3","NYY"
"416","2","3","NYY"
"417","1","3","NYY"
"418","3","0","MIN"
"419","3","2","MIN"
"420","2","3","NYY"
"421","3","1","MIN"
"422","3","1","MIN"
"423","2","3","NYY"
"424","3","0","MIN"
"425","0","3","NYY"
"426","3","1","MIN"
"427","3","1","MIN"
"428","1","3","NYY"
"429","3","2","MIN"
"430","3","2","MIN"
"431","3","0","MIN"
"432","1","3","NYY"
"433","3","1","MIN"
"434","0","3","NYY"
"435","3","2","MIN"
"436","2","3","NYY"
"437","0","3","NYY"
"438","3","2","MIN"
"439","2","3","NYY"
"440","1","3","NYY"
"441","3","1","MIN"
"442","3","1","MIN"
"443","3","0","MIN"
"444","3","2","MIN"
"445","3","2","MIN"
"446","3","1","MIN"
"447","3","1","MIN"
"448","2","3","NYY"
"449","2","3","NYY"
"450","0","3","NYY"
"451","3","1","MIN"
"452","2","3","NYY"
"453","1","3","NYY"
"454","3","0","MIN"
"455","3","1","MIN"
"456","2","3","NYY"
"457","3","2","MIN"
"458","3","1","MIN"
"459","3","0","MIN"
"460","1","3","NYY"
"461","1","3","NYY"
"462","1","3","NYY"
"463","3","2","MIN"
"464","3","0","MIN"
"465","3","1","MIN"
"466","3","1","MIN"
"467","2","3","NYY"
"468","3","2","MIN"
"469","1","3","NYY"
"470","0","3","NYY"
"471","1","3","NYY"
"472","1","3","NYY"
"473","3","0","MIN"
"474","1","3","NYY"
"475","3","1","MIN"
"476","3","1","MIN"
"477","2","3","NYY"
"478","1","3","NYY"
"479","3","1","MIN"
"480","2","3","NYY"
"481","1","3","NYY"
"482","3","1","MIN"
"483","1","3","NYY"
"484","3","1","MIN"
"485","3","0","MIN"
"486","2","3","NYY"
"487","3","1","MIN"
"488","1","3","NYY"
"489","2","3","NYY"
"490","3","2","MIN"
"491","0","3","NYY"
"492","3","1","MIN"
"493","3","0","MIN"
"494","0","3","NYY"
"495","3","1","MIN"
"496","1","3","NYY"
"497","3","0","MIN"
"498","3","1","MIN"
"499","2","3","NYY"
"500","3","1","MIN"
"501","1","3","NYY"
"502","3","2","MIN"
"503","3","1","MIN"
"504","0","3","NYY"
"505","3","2","MIN"
"506","0","3","NYY"
"507","3","2","MIN"
"508","2","3","NYY"
"509","3","2","MIN"
"510","2","3","NYY"
"511","2","3","NYY"
"512","1","3","NYY"
"513","2","3","NYY"
"514","3","2","MIN"
"515","3","0","MIN"
"516","2","3","NYY"
"517","2","3","NYY"
"518","2","3","NYY"
"519","3","1","MIN"
"520","3","0","MIN"
"521","3","1","MIN"
"522","3","0","MIN"
"523","0","3","NYY"
"524","1","3","NYY"
"525","3","2","MIN"
"526","3","2","MIN"
"527","1","3","NYY"
"528","2","3","NYY"
"529","1","3","NYY"
"530","0","3","NYY"
"531","3","1","MIN"
"532","3","1","MIN"
"533","3","2","MIN"
"534","3","2","MIN"
"535","2","3","NYY"
"536","0","3","NYY"
"537","2","3","NYY"
"538","2","3","NYY"
"539","3","0","MIN"
"540","2","3","NYY"
"541","2","3","NYY"
"542","2","3","NYY"
"543","3","2","MIN"
"544","3","1","MIN"
"545","3","0","MIN"
"546","3","0","MIN"
"547","2","3","NYY"
"548","3","2","MIN"
"549","3","1","MIN"
"550","3","2","MIN"
"551","3","0","MIN"
"552","1","3","NYY"
"553","3","1","MIN"
"554","3","1","MIN"
"555","2","3","NYY"
"556","3","2","MIN"
"557","2","3","NYY"
"558","3","2","MIN"
"559","2","3","NYY"
"560","3","0","MIN"
"561","3","2","MIN"
"562","3","2","MIN"
"563","0","3","NYY"
"564","3","0","MIN"
"565","3","1","MIN"
"566","1","3","NYY"
"567","3","0","MIN"
"568","3","0","MIN"
"569","3","0","MIN"
"570","3","2","MIN"
"571","3","2","MIN"
"572","3","2","MIN"
"573","3","1","MIN"
"574","1","3","NYY"
"575","1","3","NYY"
"576","3","0","MIN"
"577","3","2","MIN"
"578","2","3","NYY"
"579","3","0","MIN"
"580","0","3","NYY"
"581","0","3","NYY"
"582","3","0","MIN"
"583","3","2","MIN"
"584","3","2","MIN"
"585","2","3","NYY"
"586","3","1","MIN"
"587","3","0","MIN"
"588","3","1","MIN"
"589","3","2","MIN"
"590","2","3","NYY"
"591","1","3","NYY"
"592","3","0","MIN"
"593","3","0","MIN"
"594","0","3","NYY"
"595","1","3","NYY"
"596","3","0","MIN"
"597","3","2","MIN"
"598","3","0","MIN"
"599","3","0","MIN"
"600","3","1","MIN"
"601","1","3","NYY"
"602","3","1","MIN"
"603","3","1","MIN"
"604","3","0","MIN"
"605","2","3","NYY"
"606","3","1","MIN"
"607","3","2","MIN"
"608","3","0","MIN"
"609","3","2","MIN"
"610","3","2","MIN"
"611","3","1","MIN"
"612","3","1","MIN"
"613","3","1","MIN"
"614","0","3","NYY"
"615","3","1","MIN"
"616","2","3","NYY"
"617","1","3","NYY"
"618","0","3","NYY"
"619","3","1","MIN"
"620","3","1","MIN"
"621","3","1","MIN"
"622","3","1","MIN"
"623","3","1","MIN"
"624","3","1","MIN"
"625","3","2","MIN"
"626","1","3","NYY"
"627","3","2","MIN"
"628","3","1","MIN"
"629","3","1","MIN"
"630","3","2","MIN"
"631","3","1","MIN"
"632","2","3","NYY"
"633","3","2","MIN"
"634","3","2","MIN"
"635","2","3","NYY"
"636","1","3","NYY"
"637","0","3","NYY"
"638","2","3","NYY"
"639","3","1","MIN"
"640","3","2","MIN"
"641","1","3","NYY"
"642","2","3","NYY"
"643","0","3","NYY"
"644","2","3","NYY"
"645","3","0","MIN"
"646","3","0","MIN"
"647","2","3","NYY"
"648","2","3","NYY"
"649","3","0","MIN"
"650","2","3","NYY"
"651","1","3","NYY"
"652","1","3","NYY"
"653","3","1","MIN"
"654","3","0","MIN"
"655","0","3","NYY"
"656","1","3","NYY"
"657","3","1","MIN"
"658","2","3","NYY"
"659","3","1","MIN"
"660","3","0","MIN"
"661","1","3","NYY"
"662","1","3","NYY"
"663","3","2","MIN"
"664","3","2","MIN"
"665","3","2","MIN"
"666","1","3","NYY"
"667","2","3","NYY"
"668","2","3","NYY"
"669","2","3","NYY"
"670","3","0","MIN"
"671","2","3","NYY"
"672","3","1","MIN"
"673","3","2","MIN"
"674","3","1","MIN"
"675","3","1","MIN"
"676","3","2","MIN"
"677","1","3","NYY"
"678","3","1","MIN"
"679","2","3","NYY"
"680","3","2","MIN"
"681","3","0","MIN"
"682","3","2","MIN"
"683","3","0","MIN"
"684","3","2","MIN"
"685","1","3","NYY"
"686","2","3","NYY"
"687","3","1","MIN"
"688","2","3","NYY"
"689","3","0","MIN"
"690","3","2","MIN"
"691","0","3","NYY"
"692","3","2","MIN"
"693","3","0","MIN"
"694","3","1","MIN"
"695","1","3","NYY"
"696","2","3","NYY"
"697","0","3","NYY"
"698","3","2","MIN"
"699","1","3","NYY"
"700","3","0","MIN"
"701","3","2","MIN"
"702","3","1","MIN"
"703","3","1","MIN"
"704","2","3","NYY"
"705","3","1","MIN"
"706","2","3","NYY"
"707","3","0","MIN"
"708","3","1","MIN"
"709","3","2","MIN"
"710","3","2","MIN"
"711","3","0","MIN"
"712","3","1","MIN"
"713","3","0","MIN"
"714","1","3","NYY"
"715","1","3","NYY"
"716","3","0","MIN"
"717","3","0","MIN"
"718","3","0","MIN"
"719","2","3","NYY"
"720","3","0","MIN"
"721","3","2","MIN"
"722","3","2","MIN"
"723","1","3","NYY"
"724","3","0","MIN"
"725","3","0","MIN"
"726","3","1","MIN"
"727","0","3","NYY"
"728","2","3","NYY"
"729","2","3","NYY"
"730","3","1","MIN"
"731","3","2","MIN"
"732","3","0","MIN"
"733","3","0","MIN"
"734","2","3","NYY"
"735","1","3","NYY"
"736","3","0","MIN"
"737","0","3","NYY"
"738","0","3","NYY"
"739","3","1","MIN"
"740","2","3","NYY"
"741","3","2","MIN"
"742","3","2","MIN"
"743","3","2","MIN"
"744","1","3","NYY"
"745","3","2","MIN"
"746","3","0","MIN"
"747","3","2","MIN"
"748","0","3","NYY"
"749","3","1","MIN"
"750","3","2","MIN"
"751","3","1","MIN"
"752","0","3","NYY"
"753","0","3","NYY"
"754","3","1","MIN"
"755","1","3","NYY"
"756","3","1","MIN"
"757","3","1","MIN"
"758","3","0","MIN"
"759","3","0","MIN"
"760","3","1","MIN"
"761","3","2","MIN"
"762","1","3","NYY"
"763","0","3","NYY"
"764","0","3","NYY"
"765","2","3","NYY"
"766","3","2","MIN"
"767","3","2","MIN"
"768","3","2","MIN"
"769","3","1","MIN"
"770","3","0","MIN"
"771","1","3","NYY"
"772","3","1","MIN"
"773","1","3","NYY"
"774","3","1","MIN"
"775","2","3","NYY"
"776","3","1","MIN"
"777","3","2","MIN"
"778","3","2","MIN"
"779","3","1","MIN"
"780","1","3","NYY"
"781","3","1","MIN"
"782","3","1","MIN"
"783","0","3","NYY"
"784","3","1","MIN"
"785","3","2","MIN"
"786","3","1","MIN"
"787","3","2","MIN"
"788","3","1","MIN"
"789","2","3","NYY"
"790","1","3","NYY"
"791","3","1","MIN"
"792","2","3","NYY"
"793","2","3","NYY"
"794","1","3","NYY"
"795","1","3","NYY"
"796","2","3","NYY"
"797","1","3","NYY"
"798","2","3","NYY"
"799","1","3","NYY"
"800","1","3","NYY"
"801","3","1","MIN"
"802","3","2","MIN"
"803","2","3","NYY"
"804","1","3","NYY"
"805","3","1","MIN"
"806","3","0","MIN"
"807","3","1","MIN"
"808","1","3","NYY"
"809","0","3","NYY"
"810","1","3","NYY"
"811","3","0","MIN"
"812","1","3","NYY"
"813","1","3","NYY"
"814","3","0","MIN"
"815","3","0","MIN"
"816","0","3","NYY"
"817","3","2","MIN"
"818","0","3","NYY"
"819","0","3","NYY"
"820","3","1","MIN"
"821","3","2","MIN"
"822","0","3","NYY"
"823","0","3","NYY"
"824","0","3","NYY"
"825","3","0","MIN"
"826","3","0","MIN"
"827","2","3","NYY"
"828","3","0","MIN"
"829","0","3","NYY"
"830","2","3","NYY"
"831","3","0","MIN"
"832","3","1","MIN"
"833","0","3","NYY"
"834","1","3","NYY"
"835","3","0","MIN"
"836","3","1","MIN"
"837","3","2","MIN"
"838","1","3","NYY"
"839","0","3","NYY"
"840","2","3","NYY"
"841","2","3","NYY"
"842","1","3","NYY"
"843","3","1","MIN"
"844","3","1","MIN"
"845","2","3","NYY"
"846","2","3","NYY"
"847","3","1","MIN"
"848","3","1","MIN"
"849","3","0","MIN"
"850","2","3","NYY"
"851","3","0","MIN"
"852","0","3","NYY"
"853","0","3","NYY"
"854","0","3","NYY"
"855","1","3","NYY"
"856","3","2","MIN"
"857","3","1","MIN"
"858","1","3","NYY"
"859","0","3","NYY"
"860","3","2","MIN"
"861","3","1","MIN"
"862","3","1","MIN"
"863","3","2","MIN"
"864","1","3","NYY"
"865","3","0","MIN"
"866","3","1","MIN"
"867","3","2","MIN"
"868","3","0","MIN"
"869","1","3","NYY"
"870","3","1","MIN"
"871","1","3","NYY"
"872","1","3","NYY"
"873","3","2","MIN"
"874","1","3","NYY"
"875","1","3","NYY"
"876","3","0","MIN"
"877","3","1","MIN"
"878","2","3","NYY"
"879","3","1","MIN"
"880","2","3","NYY"
"881","3","2","MIN"
"882","2","3","NYY"
"883","0","3","NYY"
"884","2","3","NYY"
"885","3","2","MIN"
"886","3","1","MIN"
"887","1","3","NYY"
"888","1","3","NYY"
"889","3","1","MIN"
"890","3","2","MIN"
"891","2","3","NYY"
"892","1","3","NYY"
"893","2","3","NYY"
"894","3","1","MIN"
"895","2","3","NYY"
"896","3","1","MIN"
"897","3","0","MIN"
"898","3","2","MIN"
"899","1","3","NYY"
"900","3","2","MIN"
"901","3","0","MIN"
"902","2","3","NYY"
"903","0","3","NYY"
"904","3","1","MIN"
"905","0","3","NYY"
"906","3","1","MIN"
"907","2","3","NYY"
"908","3","0","MIN"
"909","1","3","NYY"
"910","2","3","NYY"
"911","1","3","NYY"
"912","3","1","MIN"
"913","2","3","NYY"
"914","3","2","MIN"
"915","3","1","MIN"
"916","2","3","NYY"
"917","3","2","MIN"
"918","0","3","NYY"
"919","3","1","MIN"
"920","1","3","NYY"
"921","3","1","MIN"
"922","3","1","MIN"
"923","1","3","NYY"
"924","3","1","MIN"
"925","3","2","MIN"
"926","2","3","NYY"
"927","3","1","MIN"
"928","0","3","NYY"
"929","3","1","MIN"
"930","1","3","NYY"
"931","3","0","MIN"
"932","3","1","MIN"
"933","3","2","MIN"
"934","1","3","NYY"
"935","3","1","MIN"
"936","3","2","MIN"
"937","2","3","NYY"
"938","1","3","NYY"
"939","2","3","NYY"
"940","3","1","MIN"
"941","3","1","MIN"
"942","2","3","NYY"
"943","2","3","NYY"
"944","1","3","NYY"
"945","3","0","MIN"
"946","3","0","MIN"
"947","2","3","NYY"
"948","3","1","MIN"
"949","1","3","NYY"
"950","1","3","NYY"
"951","2","3","NYY"
"952","3","2","MIN"
"953","2","3","NYY"
"954","1","3","NYY"
"955","3","1","MIN"
"956","3","1","MIN"
"957","0","3","NYY"
"958","1","3","NYY"
"959","0","3","NYY"
"960","3","1","MIN"
"961","2","3","NYY"
"962","1","3","NYY"
"963","3","0","MIN"
"964","3","2","MIN"
"965","3","0","MIN"
"966","3","2","MIN"
"967","1","3","NYY"
"968","3","1","MIN"
"969","0","3","NYY"
"970","1","3","NYY"
"971","1","3","NYY"
"972","1","3","NYY"
"973","0","3","NYY"
"974","1","3","NYY"
"975","0","3","NYY"
"976","3","0","MIN"
"977","2","3","NYY"
"978","3","2","MIN"
"979","3","1","MIN"
"980","2","3","NYY"
"981","3","2","MIN"
"982","2","3","NYY"
"983","1","3","NYY"
"984","1","3","NYY"
"985","0","3","NYY"
"986","2","3","NYY"
"987","3","0","MIN"
"988","3","2","MIN"
"989","3","1","MIN"
"990","3","2","MIN"
"991","3","1","MIN"
"992","3","1","MIN"
"993","3","2","MIN"
"994","2","3","NYY"
"995","1","3","NYY"
"996","1","3","NYY"
"997","3","1","MIN"
"998","2","3","NYY"
"999","2","3","NYY"
"1000","3","1","MIN"
"1001","1","3","NYY"
"1002","1","3","NYY"
"1003","1","3","NYY"
"1004","3","0","MIN"
"1005","3","0","MIN"
"1006","2","3","NYY"
"1007","0","3","NYY"
"1008","3","1","MIN"
"1009","3","2","MIN"
"1010","3","2","MIN"
"1011","3","0","MIN"
"1012","3","0","MIN"
"1013","2","3","NYY"
"1014","2","3","NYY"
"1015","2","3","NYY"
"1016","3","2","MIN"
"1017","2","3","NYY"
"1018","3","2","MIN"
"1019","3","1","MIN"
"1020","3","1","MIN"
"1021","3","1","MIN"
"1022","3","2","MIN"
"1023","2","3","NYY"
"1024","1","3","NYY"
"1025","3","0","MIN"
"1026","3","1","MIN"
"1027","3","1","MIN"
"1028","0","3","NYY"
"1029","3","1","MIN"
"1030","3","1","MIN"
"1031","0","3","NYY"
"1032","3","0","MIN"
"1033","3","2","MIN"
"1034","3","0","MIN"
"1035","3","1","MIN"
"1036","3","2","MIN"
"1037","2","3","NYY"
"1038","0","3","NYY"
"1039","3","2","MIN"
"1040","3","0","MIN"
"1041","3","1","MIN"
"1042","3","1","MIN"
"1043","2","3","NYY"
"1044","3","1","MIN"
"1045","0","3","NYY"
"1046","3","2","MIN"
"1047","0","3","NYY"
"1048","3","1","MIN"
"1049","3","2","MIN"
"1050","3","1","MIN"
"1051","2","3","NYY"
"1052","1","3","NYY"
"1053","3","1","MIN"
"1054","3","2","MIN"
"1055","3","0","MIN"
"1056","3","0","MIN"
"1057","3","2","MIN"
"1058","0","3","NYY"
"1059","2","3","NYY"
"1060","3","1","MIN"
"1061","0","3","NYY"
"1062","1","3","NYY"
"1063","3","2","MIN"
"1064","2","3","NYY"
"1065","3","0","MIN"
"1066","1","3","NYY"
"1067","3","1","MIN"
"1068","2","3","NYY"
"1069","1","3","NYY"
"1070","1","3","NYY"
"1071","3","2","MIN"
"1072","2","3","NYY"
"1073","1","3","NYY"
"1074","3","1","MIN"
"1075","0","3","NYY"
"1076","1","3","NYY"
"1077","2","3","NYY"
"1078","2","3","NYY"
"1079","3","0","MIN"
"1080","1","3","NYY"
"1081","3","1","MIN"
"1082","3","2","MIN"
"1083","3","1","MIN"
"1084","2","3","NYY"
"1085","3","2","MIN"
"1086","3","2","MIN"
"1087","2","3","NYY"
"1088","3","1","MIN"
"1089","3","0","MIN"
"1090","1","3","NYY"
"1091","3","2","MIN"
"1092","3","2","MIN"
"1093","0","3","NYY"
"1094","0","3","NYY"
"1095","3","0","MIN"
"1096","2","3","NYY"
"1097","3","1","MIN"
"1098","2","3","NYY"
"1099","3","0","MIN"
"1100","1","3","NYY"
"1101","1","3","NYY"
"1102","1","3","NYY"
"1103","1","3","NYY"
"1104","2","3","NYY"
"1105","3","1","MIN"
"1106","1","3","NYY"
"1107","3","1","MIN"
"1108","3","2","MIN"
"1109","0","3","NYY"
"1110","0","3","NYY"
"1111","2","3","NYY"
"1112","3","0","MIN"
"1113","3","1","MIN"
"1114","3","2","MIN"
"1115","3","2","MIN"
"1116","3","2","MIN"
"1117","0","3","NYY"
"1118","3","2","MIN"
"1119","1","3","NYY"
"1120","1","3","NYY"
"1121","2","3","NYY"
"1122","1","3","NYY"
"1123","3","1","MIN"
"1124","3","0","MIN"
"1125","3","1","MIN"
"1126","3","0","MIN"
"1127","3","1","MIN"
"1128","2","3","NYY"
"1129","3","1","MIN"
"1130","3","1","MIN"
"1131","0","3","NYY"
"1132","3","2","MIN"
"1133","0","3","NYY"
"1134","3","1","MIN"
"1135","2","3","NYY"
"1136","0","3","NYY"
"1137","3","2","MIN"
"1138","1","3","NYY"
"1139","3","2","MIN"
"1140","1","3","NYY"
"1141","3","0","MIN"
"1142","1","3","NYY"
"1143","3","1","MIN"
"1144","3","2","MIN"
"1145","3","0","MIN"
"1146","3","0","MIN"
"1147","0","3","NYY"
"1148","3","0","MIN"
"1149","3","1","MIN"
"1150","1","3","NYY"
"1151","1","3","NYY"
