"","MIL","LAD","Series Winner"
"106","0","3","LAD"
"107","1","3","LAD"
"108","0","3","LAD"
"109","0","3","LAD"
"110","3","2","MIL"
"111","3","1","MIL"
"112","2","3","LAD"
"113","0","3","LAD"
"114","2","3","LAD"
"115","2","3","LAD"
"116","0","3","LAD"
"117","2","3","LAD"
"118","0","3","LAD"
"119","0","3","LAD"
"120","1","3","LAD"
"121","2","3","LAD"
"122","2","3","LAD"
"123","0","3","LAD"
"124","1","3","LAD"
"125","3","2","MIL"
"126","1","3","LAD"
"127","0","3","LAD"
"128","2","3","LAD"
"129","1","3","LAD"
"130","1","3","LAD"
"131","3","2","MIL"
"132","1","3","LAD"
"133","3","2","MIL"
"134","0","3","LAD"
"135","0","3","LAD"
"136","2","3","LAD"
"137","0","3","LAD"
"138","0","3","LAD"
"139","0","3","LAD"
"140","1","3","LAD"
"141","3","1","MIL"
"142","1","3","LAD"
"143","2","3","LAD"
"144","1","3","LAD"
"145","3","2","MIL"
"146","2","3","LAD"
"147","2","3","LAD"
"148","1","3","LAD"
"149","3","0","MIL"
"150","0","3","LAD"
"151","0","3","LAD"
"152","1","3","LAD"
"153","2","3","LAD"
"154","1","3","LAD"
"155","1","3","LAD"
"156","1","3","LAD"
"157","1","3","LAD"
"158","3","1","MIL"
"159","0","3","LAD"
"160","0","3","LAD"
"161","0","3","LAD"
"162","2","3","LAD"
"163","1","3","LAD"
"164","0","3","LAD"
"165","3","2","MIL"
"166","2","3","LAD"
"167","3","0","MIL"
"168","1","3","LAD"
"169","1","3","LAD"
"170","2","3","LAD"
"171","2","3","LAD"
"172","0","3","LAD"
"173","1","3","LAD"
"174","3","1","MIL"
"175","0","3","LAD"
"176","3","1","MIL"
"177","2","3","LAD"
"178","3","2","MIL"
"179","1","3","LAD"
"180","0","3","LAD"
"181","1","3","LAD"
"182","0","3","LAD"
"183","0","3","LAD"
"184","3","0","MIL"
"185","0","3","LAD"
"186","1","3","LAD"
"187","0","3","LAD"
"188","0","3","LAD"
"189","2","3","LAD"
"190","0","3","LAD"
"191","1","3","LAD"
"192","0","3","LAD"
"193","2","3","LAD"
"194","0","3","LAD"
"195","1","3","LAD"
"196","1","3","LAD"
"197","2","3","LAD"
"198","0","3","LAD"
"199","1","3","LAD"
"200","2","3","LAD"
"201","1","3","LAD"
"202","0","3","LAD"
"203","3","2","MIL"
"204","1","3","LAD"
"205","1","3","LAD"
"206","1","3","LAD"
"207","1","3","LAD"
"208","3","1","MIL"
"209","0","3","LAD"
"210","0","3","LAD"
"211","1","3","LAD"
"212","2","3","LAD"
"213","3","2","MIL"
"214","0","3","LAD"
"215","1","3","LAD"
"216","1","3","LAD"
"217","1","3","LAD"
"218","0","3","LAD"
"219","0","3","LAD"
"220","3","2","MIL"
"221","2","3","LAD"
"222","3","2","MIL"
"223","1","3","LAD"
"224","2","3","LAD"
"225","1","3","LAD"
"226","0","3","LAD"
"227","1","3","LAD"
"228","1","3","LAD"
"229","0","3","LAD"
"230","0","3","LAD"
"231","0","3","LAD"
"232","0","3","LAD"
"233","2","3","LAD"
"234","2","3","LAD"
"235","0","3","LAD"
"236","2","3","LAD"
"237","0","3","LAD"
"238","1","3","LAD"
"239","2","3","LAD"
"240","1","3","LAD"
"241","2","3","LAD"
"242","1","3","LAD"
"243","2","3","LAD"
"244","0","3","LAD"
"245","1","3","LAD"
"246","0","3","LAD"
"247","3","0","MIL"
"248","1","3","LAD"
"249","0","3","LAD"
"250","3","1","MIL"
"251","1","3","LAD"
"252","1","3","LAD"
"253","1","3","LAD"
"254","1","3","LAD"
"255","1","3","LAD"
"256","3","1","MIL"
"257","2","3","LAD"
"258","0","3","LAD"
"259","3","1","MIL"
"260","0","3","LAD"
"261","0","3","LAD"
"262","3","2","MIL"
"263","1","3","LAD"
"264","0","3","LAD"
"265","2","3","LAD"
"266","1","3","LAD"
"267","0","3","LAD"
"268","0","3","LAD"
"269","0","3","LAD"
"270","3","0","MIL"
"271","0","3","LAD"
"272","2","3","LAD"
"273","0","3","LAD"
"274","2","3","LAD"
"275","1","3","LAD"
"276","1","3","LAD"
"277","0","3","LAD"
"278","3","2","MIL"
"279","0","3","LAD"
"280","0","3","LAD"
"281","0","3","LAD"
"282","2","3","LAD"
"283","1","3","LAD"
"284","3","0","MIL"
"285","2","3","LAD"
"286","2","3","LAD"
"287","1","3","LAD"
"288","1","3","LAD"
"289","2","3","LAD"
"290","3","0","MIL"
"291","0","3","LAD"
"292","1","3","LAD"
"293","0","3","LAD"
"294","2","3","LAD"
"295","0","3","LAD"
"296","0","3","LAD"
"297","1","3","LAD"
"298","0","3","LAD"
"299","1","3","LAD"
"300","0","3","LAD"
"301","0","3","LAD"
"302","3","1","MIL"
"303","3","1","MIL"
"304","1","3","LAD"
"305","3","0","MIL"
"306","3","0","MIL"
"307","0","3","LAD"
"308","2","3","LAD"
"309","1","3","LAD"
"310","0","3","LAD"
"311","0","3","LAD"
"312","0","3","LAD"
"313","1","3","LAD"
"314","1","3","LAD"
"315","1","3","LAD"
"316","1","3","LAD"
"317","2","3","LAD"
"318","0","3","LAD"
"319","0","3","LAD"
"320","1","3","LAD"
"321","3","1","MIL"
"322","2","3","LAD"
"323","1","3","LAD"
"324","1","3","LAD"
"325","1","3","LAD"
"326","0","3","LAD"
"327","2","3","LAD"
"328","3","2","MIL"
"329","1","3","LAD"
"330","0","3","LAD"
"331","1","3","LAD"
"332","2","3","LAD"
"333","0","3","LAD"
"334","0","3","LAD"
"335","0","3","LAD"
"336","3","1","MIL"
"337","1","3","LAD"
"338","2","3","LAD"
"339","3","1","MIL"
"340","1","3","LAD"
"341","0","3","LAD"
"342","1","3","LAD"
"343","1","3","LAD"
"344","0","3","LAD"
"345","0","3","LAD"
"346","1","3","LAD"
"347","1","3","LAD"
"348","0","3","LAD"
"349","1","3","LAD"
"350","3","2","MIL"
"351","2","3","LAD"
"352","3","1","MIL"
"353","0","3","LAD"
"354","0","3","LAD"
"355","0","3","LAD"
"356","0","3","LAD"
"357","2","3","LAD"
"358","0","3","LAD"
"359","1","3","LAD"
"360","0","3","LAD"
"361","0","3","LAD"
"362","0","3","LAD"
"363","0","3","LAD"
"364","3","1","MIL"
"365","1","3","LAD"
"366","1","3","LAD"
"367","2","3","LAD"
"368","1","3","LAD"
"369","1","3","LAD"
"370","3","1","MIL"
"371","0","3","LAD"
"372","1","3","LAD"
"373","0","3","LAD"
"374","0","3","LAD"
"375","0","3","LAD"
"376","0","3","LAD"
"377","1","3","LAD"
"378","1","3","LAD"
"379","2","3","LAD"
"380","3","1","MIL"
"381","3","1","MIL"
"382","0","3","LAD"
"383","1","3","LAD"
"384","2","3","LAD"
"385","2","3","LAD"
"386","3","2","MIL"
"387","2","3","LAD"
"388","1","3","LAD"
"389","0","3","LAD"
"390","0","3","LAD"
"391","1","3","LAD"
"392","2","3","LAD"
"393","1","3","LAD"
"394","0","3","LAD"
"395","3","1","MIL"
"396","0","3","LAD"
"397","0","3","LAD"
"398","2","3","LAD"
"399","2","3","LAD"
"400","0","3","LAD"
"401","1","3","LAD"
"402","1","3","LAD"
"403","0","3","LAD"
"404","0","3","LAD"
"405","3","1","MIL"
"406","0","3","LAD"
"407","1","3","LAD"
"408","2","3","LAD"
"409","2","3","LAD"
"410","1","3","LAD"
"411","2","3","LAD"
"412","2","3","LAD"
"413","1","3","LAD"
"414","2","3","LAD"
"415","2","3","LAD"
"416","1","3","LAD"
"417","0","3","LAD"
"418","0","3","LAD"
"419","1","3","LAD"
"420","1","3","LAD"
"421","1","3","LAD"
"422","0","3","LAD"
"423","1","3","LAD"
"424","3","2","MIL"
"425","3","2","MIL"
"426","0","3","LAD"
"427","0","3","LAD"
"428","2","3","LAD"
"429","2","3","LAD"
"430","0","3","LAD"
"431","0","3","LAD"
"432","1","3","LAD"
"433","0","3","LAD"
"434","1","3","LAD"
"435","0","3","LAD"
"436","1","3","LAD"
"437","1","3","LAD"
"438","1","3","LAD"
"439","1","3","LAD"
"440","1","3","LAD"
"441","1","3","LAD"
"442","3","1","MIL"
"443","3","1","MIL"
"444","0","3","LAD"
"445","1","3","LAD"
"446","1","3","LAD"
"447","0","3","LAD"
"448","0","3","LAD"
"449","1","3","LAD"
"450","1","3","LAD"
"451","0","3","LAD"
"452","0","3","LAD"
"453","2","3","LAD"
"454","0","3","LAD"
"455","3","0","MIL"
"456","3","1","MIL"
"457","3","2","MIL"
"458","0","3","LAD"
"459","3","1","MIL"
"460","0","3","LAD"
"461","0","3","LAD"
"462","1","3","LAD"
"463","3","1","MIL"
"464","0","3","LAD"
"465","1","3","LAD"
"466","0","3","LAD"
"467","0","3","LAD"
"468","0","3","LAD"
"469","0","3","LAD"
"470","0","3","LAD"
"471","2","3","LAD"
"472","1","3","LAD"
"473","0","3","LAD"
"474","2","3","LAD"
"475","0","3","LAD"
"476","2","3","LAD"
"477","1","3","LAD"
"478","2","3","LAD"
"479","1","3","LAD"
"480","0","3","LAD"
"481","0","3","LAD"
"482","0","3","LAD"
"483","1","3","LAD"
"484","0","3","LAD"
"485","0","3","LAD"
"486","0","3","LAD"
"487","2","3","LAD"
"488","0","3","LAD"
"489","0","3","LAD"
"490","2","3","LAD"
"491","3","0","MIL"
"492","1","3","LAD"
"493","1","3","LAD"
"494","0","3","LAD"
"495","1","3","LAD"
"496","1","3","LAD"
"497","2","3","LAD"
"498","2","3","LAD"
"499","1","3","LAD"
"500","1","3","LAD"
"501","1","3","LAD"
"502","0","3","LAD"
"503","0","3","LAD"
"504","0","3","LAD"
"505","0","3","LAD"
"506","1","3","LAD"
"507","2","3","LAD"
"508","0","3","LAD"
"509","0","3","LAD"
"510","0","3","LAD"
"511","0","3","LAD"
"512","0","3","LAD"
"513","0","3","LAD"
"514","1","3","LAD"
"515","3","1","MIL"
"516","0","3","LAD"
"517","0","3","LAD"
"518","2","3","LAD"
"519","3","0","MIL"
"520","3","2","MIL"
"521","0","3","LAD"
"522","1","3","LAD"
"523","1","3","LAD"
"524","1","3","LAD"
"525","0","3","LAD"
"526","3","2","MIL"
"527","1","3","LAD"
"528","0","3","LAD"
"529","2","3","LAD"
"530","1","3","LAD"
"531","0","3","LAD"
"532","0","3","LAD"
"533","3","2","MIL"
"534","2","3","LAD"
"535","0","3","LAD"
"536","2","3","LAD"
"537","3","1","MIL"
"538","3","2","MIL"
"539","0","3","LAD"
"540","3","1","MIL"
"541","2","3","LAD"
"542","0","3","LAD"
"543","0","3","LAD"
"544","0","3","LAD"
"545","0","3","LAD"
"546","0","3","LAD"
"547","0","3","LAD"
"548","0","3","LAD"
"549","3","1","MIL"
"550","0","3","LAD"
"551","1","3","LAD"
"552","0","3","LAD"
"553","1","3","LAD"
"554","2","3","LAD"
"555","0","3","LAD"
"556","3","1","MIL"
"557","1","3","LAD"
"558","0","3","LAD"
"559","1","3","LAD"
"560","1","3","LAD"
"561","0","3","LAD"
"562","2","3","LAD"
"563","3","2","MIL"
"564","1","3","LAD"
"565","0","3","LAD"
"566","1","3","LAD"
"567","0","3","LAD"
"568","2","3","LAD"
"569","0","3","LAD"
"570","0","3","LAD"
"571","3","1","MIL"
"572","0","3","LAD"
"573","2","3","LAD"
"574","2","3","LAD"
"575","3","1","MIL"
"576","2","3","LAD"
"577","1","3","LAD"
"578","0","3","LAD"
"579","1","3","LAD"
"580","0","3","LAD"
"581","2","3","LAD"
"582","1","3","LAD"
"583","0","3","LAD"
"584","0","3","LAD"
"585","3","2","MIL"
"586","3","2","MIL"
"587","0","3","LAD"
"588","1","3","LAD"
"589","2","3","LAD"
"590","0","3","LAD"
"591","3","1","MIL"
"592","0","3","LAD"
"593","0","3","LAD"
"594","2","3","LAD"
"595","2","3","LAD"
"596","0","3","LAD"
"597","2","3","LAD"
"598","3","0","MIL"
"599","2","3","LAD"
"600","2","3","LAD"
"601","3","1","MIL"
"602","2","3","LAD"
"603","3","2","MIL"
"604","1","3","LAD"
"605","0","3","LAD"
"606","0","3","LAD"
"607","0","3","LAD"
"608","2","3","LAD"
"609","0","3","LAD"
"610","3","1","MIL"
"611","0","3","LAD"
"612","0","3","LAD"
"613","0","3","LAD"
"614","0","3","LAD"
"615","0","3","LAD"
"616","0","3","LAD"
"617","0","3","LAD"
"618","3","2","MIL"
"619","3","2","MIL"
"620","1","3","LAD"
"621","1","3","LAD"
"622","3","1","MIL"
"623","0","3","LAD"
"624","0","3","LAD"
"625","2","3","LAD"
"626","1","3","LAD"
"627","3","1","MIL"
"628","0","3","LAD"
"629","2","3","LAD"
"630","1","3","LAD"
"631","2","3","LAD"
"632","3","1","MIL"
"633","2","3","LAD"
"634","0","3","LAD"
"635","1","3","LAD"
"636","2","3","LAD"
"637","0","3","LAD"
"638","1","3","LAD"
"639","1","3","LAD"
"640","1","3","LAD"
"641","2","3","LAD"
"642","1","3","LAD"
"643","2","3","LAD"
"644","1","3","LAD"
"645","3","0","MIL"
"646","1","3","LAD"
"647","0","3","LAD"
"648","0","3","LAD"
"649","2","3","LAD"
"650","1","3","LAD"
"651","2","3","LAD"
"652","1","3","LAD"
"653","1","3","LAD"
"654","0","3","LAD"
"655","1","3","LAD"
"656","0","3","LAD"
"657","0","3","LAD"
"658","3","1","MIL"
"659","0","3","LAD"
"660","1","3","LAD"
"661","1","3","LAD"
"662","1","3","LAD"
"663","0","3","LAD"
"664","0","3","LAD"
"665","2","3","LAD"
"666","1","3","LAD"
"667","3","1","MIL"
"668","1","3","LAD"
"669","0","3","LAD"
"670","0","3","LAD"
"671","2","3","LAD"
"672","3","2","MIL"
"673","1","3","LAD"
"674","2","3","LAD"
"675","2","3","LAD"
"676","1","3","LAD"
"677","0","3","LAD"
"678","3","1","MIL"
"679","0","3","LAD"
"680","1","3","LAD"
"681","1","3","LAD"
"682","0","3","LAD"
"683","0","3","LAD"
"684","0","3","LAD"
"685","0","3","LAD"
"686","3","2","MIL"
"687","3","1","MIL"
"688","2","3","LAD"
"689","0","3","LAD"
"690","1","3","LAD"
"691","2","3","LAD"
"692","3","2","MIL"
"693","0","3","LAD"
"694","3","0","MIL"
"695","2","3","LAD"
"696","0","3","LAD"
"697","0","3","LAD"
"698","0","3","LAD"
"699","0","3","LAD"
"700","2","3","LAD"
"701","1","3","LAD"
"702","0","3","LAD"
"703","0","3","LAD"
"704","0","3","LAD"
"705","0","3","LAD"
"706","3","1","MIL"
"707","2","3","LAD"
"708","0","3","LAD"
"709","0","3","LAD"
"710","3","2","MIL"
"711","0","3","LAD"
"712","1","3","LAD"
"713","1","3","LAD"
"714","3","2","MIL"
"715","1","3","LAD"
"716","1","3","LAD"
"717","2","3","LAD"
"718","2","3","LAD"
"719","0","3","LAD"
"720","1","3","LAD"
"721","2","3","LAD"
"722","0","3","LAD"
"723","1","3","LAD"
"724","3","0","MIL"
"725","1","3","LAD"
"726","0","3","LAD"
"727","0","3","LAD"
"728","1","3","LAD"
"729","1","3","LAD"
"730","2","3","LAD"
"731","1","3","LAD"
"732","2","3","LAD"
"733","1","3","LAD"
"734","1","3","LAD"
"735","1","3","LAD"
"736","0","3","LAD"
"737","1","3","LAD"
"738","3","1","MIL"
"739","1","3","LAD"
"740","2","3","LAD"
"741","0","3","LAD"
"742","2","3","LAD"
"743","1","3","LAD"
"744","0","3","LAD"
"745","2","3","LAD"
"746","2","3","LAD"
"747","1","3","LAD"
"748","1","3","LAD"
"749","3","1","MIL"
"750","1","3","LAD"
"751","0","3","LAD"
"752","0","3","LAD"
"753","1","3","LAD"
"754","1","3","LAD"
"755","0","3","LAD"
"756","0","3","LAD"
"757","1","3","LAD"
"758","2","3","LAD"
"759","0","3","LAD"
"760","1","3","LAD"
"761","2","3","LAD"
"762","1","3","LAD"
"763","0","3","LAD"
"764","2","3","LAD"
"765","0","3","LAD"
"766","0","3","LAD"
"767","3","2","MIL"
"768","2","3","LAD"
"769","0","3","LAD"
"770","1","3","LAD"
"771","1","3","LAD"
"772","0","3","LAD"
"773","2","3","LAD"
"774","0","3","LAD"
"775","1","3","LAD"
"776","0","3","LAD"
"777","0","3","LAD"
"778","2","3","LAD"
"779","3","2","MIL"
"780","0","3","LAD"
"781","1","3","LAD"
"782","0","3","LAD"
"783","0","3","LAD"
"784","1","3","LAD"
"785","1","3","LAD"
"786","2","3","LAD"
"787","0","3","LAD"
"788","0","3","LAD"
"789","2","3","LAD"
"790","0","3","LAD"
"791","2","3","LAD"
"792","1","3","LAD"
"793","1","3","LAD"
"794","0","3","LAD"
"795","0","3","LAD"
"796","2","3","LAD"
"797","1","3","LAD"
"798","0","3","LAD"
"799","1","3","LAD"
"800","2","3","LAD"
"801","0","3","LAD"
"802","2","3","LAD"
"803","2","3","LAD"
"804","0","3","LAD"
"805","0","3","LAD"
"806","1","3","LAD"
"807","0","3","LAD"
"808","2","3","LAD"
"809","1","3","LAD"
"810","1","3","LAD"
"811","3","2","MIL"
"812","0","3","LAD"
"813","0","3","LAD"
"814","1","3","LAD"
"815","3","1","MIL"
"816","0","3","LAD"
"817","2","3","LAD"
"818","1","3","LAD"
"819","2","3","LAD"
"820","1","3","LAD"
"821","3","2","MIL"
"822","0","3","LAD"
"823","0","3","LAD"
"824","0","3","LAD"
"825","3","2","MIL"
"826","1","3","LAD"
"827","2","3","LAD"
"828","0","3","LAD"
"829","0","3","LAD"
"830","3","1","MIL"
"831","0","3","LAD"
"832","0","3","LAD"
"833","2","3","LAD"
"834","3","2","MIL"
"835","2","3","LAD"
"836","1","3","LAD"
"837","1","3","LAD"
"838","1","3","LAD"
"839","1","3","LAD"
"840","0","3","LAD"
"841","1","3","LAD"
"842","1","3","LAD"
"843","2","3","LAD"
"844","0","3","LAD"
"845","0","3","LAD"
"846","1","3","LAD"
"847","1","3","LAD"
"848","0","3","LAD"
"849","2","3","LAD"
"850","0","3","LAD"
"851","2","3","LAD"
"852","2","3","LAD"
"853","3","2","MIL"
"854","0","3","LAD"
"855","0","3","LAD"
"856","0","3","LAD"
"857","3","1","MIL"
"858","2","3","LAD"
"859","3","0","MIL"
"860","1","3","LAD"
"861","2","3","LAD"
"862","0","3","LAD"
"863","0","3","LAD"
"864","1","3","LAD"
"865","0","3","LAD"
"866","0","3","LAD"
"867","1","3","LAD"
"868","0","3","LAD"
"869","2","3","LAD"
"870","0","3","LAD"
"871","0","3","LAD"
"872","0","3","LAD"
"873","1","3","LAD"
"874","0","3","LAD"
"875","0","3","LAD"
"876","1","3","LAD"
"877","0","3","LAD"
"878","1","3","LAD"
"879","0","3","LAD"
"880","1","3","LAD"
"881","3","0","MIL"
"882","0","3","LAD"
"883","2","3","LAD"
"884","2","3","LAD"
"885","1","3","LAD"
"886","2","3","LAD"
"887","0","3","LAD"
"888","2","3","LAD"
"889","1","3","LAD"
"890","3","1","MIL"
"891","1","3","LAD"
"892","3","2","MIL"
"893","0","3","LAD"
"894","1","3","LAD"
"895","1","3","LAD"
"896","1","3","LAD"
"897","0","3","LAD"
"898","0","3","LAD"
"899","1","3","LAD"
"900","1","3","LAD"
"901","2","3","LAD"
"902","0","3","LAD"
"903","1","3","LAD"
"904","1","3","LAD"
"905","0","3","LAD"
"906","1","3","LAD"
"907","2","3","LAD"
"908","0","3","LAD"
"909","2","3","LAD"
"910","0","3","LAD"
"911","1","3","LAD"
"912","1","3","LAD"
"913","1","3","LAD"
"914","0","3","LAD"
"915","2","3","LAD"
"916","2","3","LAD"
"917","1","3","LAD"
"918","2","3","LAD"
"919","0","3","LAD"
"920","1","3","LAD"
"921","0","3","LAD"
"922","1","3","LAD"
"923","2","3","LAD"
"924","1","3","LAD"
"925","0","3","LAD"
"926","2","3","LAD"
"927","0","3","LAD"
"928","0","3","LAD"
"929","1","3","LAD"
"930","0","3","LAD"
"931","0","3","LAD"
"932","1","3","LAD"
"933","0","3","LAD"
"934","1","3","LAD"
"935","2","3","LAD"
"936","2","3","LAD"
"937","1","3","LAD"
"938","1","3","LAD"
"939","2","3","LAD"
"940","1","3","LAD"
"941","1","3","LAD"
"942","0","3","LAD"
"943","1","3","LAD"
"944","0","3","LAD"
"945","0","3","LAD"
"946","0","3","LAD"
"947","2","3","LAD"
"948","0","3","LAD"
"949","3","2","MIL"
"950","0","3","LAD"
"951","1","3","LAD"
"952","0","3","LAD"
"953","1","3","LAD"
"954","0","3","LAD"
"955","0","3","LAD"
"956","1","3","LAD"
"957","0","3","LAD"
"958","0","3","LAD"
"959","2","3","LAD"
"960","0","3","LAD"
"961","2","3","LAD"
"962","0","3","LAD"
"963","0","3","LAD"
"964","2","3","LAD"
"965","0","3","LAD"
"966","1","3","LAD"
"967","3","2","MIL"
"968","1","3","LAD"
"969","1","3","LAD"
"970","2","3","LAD"
"971","0","3","LAD"
"972","1","3","LAD"
"973","2","3","LAD"
"974","2","3","LAD"
"975","1","3","LAD"
"976","0","3","LAD"
"977","1","3","LAD"
"978","1","3","LAD"
"979","0","3","LAD"
"980","0","3","LAD"
"981","2","3","LAD"
"982","1","3","LAD"
"983","1","3","LAD"
"984","0","3","LAD"
"985","0","3","LAD"
"986","2","3","LAD"
"987","0","3","LAD"
"988","3","1","MIL"
"989","0","3","LAD"
"990","1","3","LAD"
"991","0","3","LAD"
"992","2","3","LAD"
"993","1","3","LAD"
"994","1","3","LAD"
"995","2","3","LAD"
"996","1","3","LAD"
"997","3","2","MIL"
"998","2","3","LAD"
"999","0","3","LAD"
"1000","1","3","LAD"
"1001","1","3","LAD"
"1002","1","3","LAD"
"1003","3","0","MIL"
"1004","0","3","LAD"
"1005","1","3","LAD"
"1006","2","3","LAD"
"1007","2","3","LAD"
"1008","0","3","LAD"
"1009","1","3","LAD"
"1010","0","3","LAD"
"1011","0","3","LAD"
"1012","1","3","LAD"
"1013","1","3","LAD"
"1014","2","3","LAD"
"1015","3","1","MIL"
"1016","0","3","LAD"
"1017","0","3","LAD"
"1018","3","2","MIL"
"1019","1","3","LAD"
"1020","3","2","MIL"
"1021","2","3","LAD"
"1022","0","3","LAD"
"1023","0","3","LAD"
"1024","0","3","LAD"
"1025","3","2","MIL"
"1026","2","3","LAD"
"1027","1","3","LAD"
"1028","3","0","MIL"
"1029","1","3","LAD"
"1030","2","3","LAD"
"1031","2","3","LAD"
"1032","0","3","LAD"
"1033","0","3","LAD"
"1034","2","3","LAD"
"1035","1","3","LAD"
"1036","2","3","LAD"
"1037","0","3","LAD"
"1038","2","3","LAD"
"1039","2","3","LAD"
"1040","0","3","LAD"
"1041","1","3","LAD"
"1042","3","1","MIL"
"1043","1","3","LAD"
"1044","3","0","MIL"
"1045","1","3","LAD"
"1046","3","0","MIL"
"1047","0","3","LAD"
"1048","2","3","LAD"
"1049","0","3","LAD"
"1050","1","3","LAD"
"1051","1","3","LAD"
"1052","1","3","LAD"
"1053","1","3","LAD"
"1054","1","3","LAD"
"1055","3","1","MIL"
"1056","1","3","LAD"
"1057","0","3","LAD"
"1058","0","3","LAD"
"1059","3","1","MIL"
"1060","3","2","MIL"
"1061","1","3","LAD"
"1062","3","1","MIL"
"1063","1","3","LAD"
"1064","3","1","MIL"
"1065","0","3","LAD"
"1066","0","3","LAD"
"1067","0","3","LAD"
"1068","0","3","LAD"
"1069","2","3","LAD"
"1070","2","3","LAD"
"1071","0","3","LAD"
"1072","3","2","MIL"
"1073","1","3","LAD"
"1074","0","3","LAD"
"1075","0","3","LAD"
"1076","2","3","LAD"
"1077","0","3","LAD"
"1078","1","3","LAD"
"1079","1","3","LAD"
"1080","2","3","LAD"
"1081","1","3","LAD"
"1082","0","3","LAD"
"1083","1","3","LAD"
"1084","1","3","LAD"
"1085","3","2","MIL"
"1086","1","3","LAD"
"1087","2","3","LAD"
"1088","1","3","LAD"
"1089","1","3","LAD"
"1090","0","3","LAD"
"1091","1","3","LAD"
"1092","0","3","LAD"
"1093","0","3","LAD"
"1094","1","3","LAD"
"1095","1","3","LAD"
"1096","0","3","LAD"
"1097","2","3","LAD"
"1098","0","3","LAD"
"1099","0","3","LAD"
"1100","1","3","LAD"
"1101","0","3","LAD"
"1102","1","3","LAD"
"1103","0","3","LAD"
"1104","2","3","LAD"
"1105","1","3","LAD"
"1106","2","3","LAD"
"1107","0","3","LAD"
"1108","2","3","LAD"
"1109","0","3","LAD"
"1110","2","3","LAD"
"1111","1","3","LAD"
"1112","3","2","MIL"
"1113","3","2","MIL"
"1114","2","3","LAD"
"1115","0","3","LAD"
"1116","2","3","LAD"
"1117","0","3","LAD"
"1118","2","3","LAD"
"1119","0","3","LAD"
"1120","0","3","LAD"
"1121","0","3","LAD"
"1122","0","3","LAD"
"1123","3","1","MIL"
"1124","2","3","LAD"
"1125","2","3","LAD"
"1126","1","3","LAD"
"1127","1","3","LAD"
"1128","1","3","LAD"
"1129","0","3","LAD"
"1130","1","3","LAD"
"1131","1","3","LAD"
"1132","0","3","LAD"
"1133","1","3","LAD"
"1134","3","2","MIL"
"1135","0","3","LAD"
"1136","0","3","LAD"
"1137","3","2","MIL"
"1138","0","3","LAD"
"1139","1","3","LAD"
"1140","0","3","LAD"
"1141","0","3","LAD"
"1142","1","3","LAD"
"1143","2","3","LAD"
"1144","1","3","LAD"
"1145","1","3","LAD"
"1146","2","3","LAD"
"1147","0","3","LAD"
"1148","1","3","LAD"
"1149","0","3","LAD"
"1150","3","2","MIL"
"1151","3","1","MIL"
