"","NYY","HOU","Series Winner"
"139","4","2","NYY"
"140","2","4","HOU"
"141","3","4","HOU"
"142","1","4","HOU"
"143","3","4","HOU"
"144","3","4","HOU"
"145","3","4","HOU"
"146","4","3","NYY"
"147","0","4","HOU"
"148","4","3","NYY"
"149","3","4","HOU"
"150","1","4","HOU"
"151","2","4","HOU"
"152","3","4","HOU"
"153","0","4","HOU"
"154","3","4","HOU"
"155","1","4","HOU"
"156","1","4","HOU"
"157","0","4","HOU"
"158","3","4","HOU"
"159","0","4","HOU"
"160","4","3","NYY"
"161","4","2","NYY"
"162","4","1","NYY"
"163","2","4","HOU"
"164","4","0","NYY"
"165","3","4","HOU"
"166","4","2","NYY"
"167","1","4","HOU"
"168","4","2","NYY"
"169","2","4","HOU"
"170","3","4","HOU"
"171","1","4","HOU"
"172","2","4","HOU"
"173","0","4","HOU"
"174","0","4","HOU"
"175","4","2","NYY"
"176","3","4","HOU"
"177","3","4","HOU"
"178","2","4","HOU"
"179","4","2","NYY"
"180","2","4","HOU"
"181","2","4","HOU"
"182","0","4","HOU"
"183","2","4","HOU"
"184","4","1","NYY"
"185","4","1","NYY"
"186","1","4","HOU"
"187","2","4","HOU"
"188","1","4","HOU"
"189","1","4","HOU"
"190","1","4","HOU"
"191","4","2","NYY"
"192","2","4","HOU"
"193","4","2","NYY"
"194","1","4","HOU"
"195","1","4","HOU"
"196","1","4","HOU"
"197","0","4","HOU"
"198","4","3","NYY"
"199","1","4","HOU"
"200","3","4","HOU"
"201","3","4","HOU"
"202","4","1","NYY"
"203","2","4","HOU"
"204","4","1","NYY"
"205","4","2","NYY"
"206","0","4","HOU"
"207","1","4","HOU"
"208","3","4","HOU"
"209","1","4","HOU"
"210","4","1","NYY"
"211","3","4","HOU"
"212","3","4","HOU"
"213","2","4","HOU"
"214","4","3","NYY"
"215","2","4","HOU"
"216","1","4","HOU"
"217","2","4","HOU"
"218","4","2","NYY"
"219","3","4","HOU"
"220","4","1","NYY"
"221","4","3","NYY"
"222","4","3","NYY"
"223","4","1","NYY"
"224","2","4","HOU"
"225","2","4","HOU"
"226","1","4","HOU"
"227","2","4","HOU"
"228","2","4","HOU"
"229","1","4","HOU"
"230","2","4","HOU"
"231","0","4","HOU"
"232","4","1","NYY"
"233","0","4","HOU"
"234","0","4","HOU"
"235","4","2","NYY"
"236","3","4","HOU"
"237","1","4","HOU"
"238","2","4","HOU"
"239","2","4","HOU"
"240","1","4","HOU"
"241","2","4","HOU"
"242","2","4","HOU"
"243","1","4","HOU"
"244","3","4","HOU"
"245","4","2","NYY"
"246","4","1","NYY"
"247","2","4","HOU"
"248","4","1","NYY"
"249","4","1","NYY"
"250","1","4","HOU"
"251","3","4","HOU"
"252","4","1","NYY"
"253","1","4","HOU"
"254","2","4","HOU"
"255","4","2","NYY"
"256","1","4","HOU"
"257","3","4","HOU"
"258","3","4","HOU"
"259","2","4","HOU"
"260","3","4","HOU"
"261","3","4","HOU"
"262","1","4","HOU"
"263","4","2","NYY"
"264","4","3","NYY"
"265","2","4","HOU"
"266","1","4","HOU"
"267","0","4","HOU"
"268","0","4","HOU"
"269","3","4","HOU"
"270","1","4","HOU"
"271","1","4","HOU"
"272","1","4","HOU"
"273","2","4","HOU"
"274","3","4","HOU"
"275","4","1","NYY"
"276","1","4","HOU"
"277","2","4","HOU"
"278","1","4","HOU"
"279","1","4","HOU"
"280","1","4","HOU"
"281","2","4","HOU"
"282","1","4","HOU"
"283","1","4","HOU"
"284","1","4","HOU"
"285","1","4","HOU"
"286","0","4","HOU"
"287","1","4","HOU"
"288","2","4","HOU"
"289","4","3","NYY"
"290","3","4","HOU"
"291","1","4","HOU"
"292","2","4","HOU"
"293","4","1","NYY"
"294","2","4","HOU"
"295","1","4","HOU"
"296","4","0","NYY"
"297","2","4","HOU"
"298","4","2","NYY"
"299","0","4","HOU"
"300","0","4","HOU"
"301","3","4","HOU"
"302","3","4","HOU"
"303","4","2","NYY"
"304","2","4","HOU"
"305","4","0","NYY"
"306","0","4","HOU"
"307","4","2","NYY"
"308","4","3","NYY"
"309","3","4","HOU"
"310","3","4","HOU"
"311","3","4","HOU"
"312","0","4","HOU"
"313","3","4","HOU"
"314","0","4","HOU"
"315","3","4","HOU"
"316","4","2","NYY"
"317","2","4","HOU"
"318","0","4","HOU"
"319","3","4","HOU"
"320","2","4","HOU"
"321","4","3","NYY"
"322","3","4","HOU"
"323","2","4","HOU"
"324","0","4","HOU"
"325","3","4","HOU"
"326","1","4","HOU"
"327","0","4","HOU"
"328","1","4","HOU"
"329","0","4","HOU"
"330","4","2","NYY"
"331","3","4","HOU"
"332","4","1","NYY"
"333","3","4","HOU"
"334","4","3","NYY"
"335","1","4","HOU"
"336","1","4","HOU"
"337","4","0","NYY"
"338","3","4","HOU"
"339","0","4","HOU"
"340","2","4","HOU"
"341","4","3","NYY"
"342","4","2","NYY"
"343","0","4","HOU"
"344","0","4","HOU"
"345","4","1","NYY"
"346","2","4","HOU"
"347","4","1","NYY"
"348","2","4","HOU"
"349","1","4","HOU"
"350","1","4","HOU"
"351","3","4","HOU"
"352","0","4","HOU"
"353","0","4","HOU"
"354","3","4","HOU"
"355","2","4","HOU"
"356","1","4","HOU"
"357","3","4","HOU"
"358","1","4","HOU"
"359","0","4","HOU"
"360","1","4","HOU"
"361","3","4","HOU"
"362","2","4","HOU"
"363","3","4","HOU"
"364","2","4","HOU"
"365","2","4","HOU"
"366","1","4","HOU"
"367","4","3","NYY"
"368","2","4","HOU"
"369","2","4","HOU"
"370","2","4","HOU"
"371","2","4","HOU"
"372","2","4","HOU"
"373","3","4","HOU"
"374","2","4","HOU"
"375","2","4","HOU"
"376","4","3","NYY"
"377","4","1","NYY"
"378","3","4","HOU"
"379","2","4","HOU"
"380","4","2","NYY"
"381","4","2","NYY"
"382","3","4","HOU"
"383","2","4","HOU"
"384","3","4","HOU"
"385","1","4","HOU"
"386","3","4","HOU"
"387","4","1","NYY"
"388","4","1","NYY"
"389","1","4","HOU"
"390","1","4","HOU"
"391","2","4","HOU"
"392","4","3","NYY"
"393","3","4","HOU"
"394","2","4","HOU"
"395","3","4","HOU"
"396","3","4","HOU"
"397","1","4","HOU"
"398","2","4","HOU"
"399","4","2","NYY"
"400","0","4","HOU"
"401","2","4","HOU"
"402","0","4","HOU"
"403","4","2","NYY"
"404","4","1","NYY"
"405","1","4","HOU"
"406","3","4","HOU"
"407","4","1","NYY"
"408","4","2","NYY"
"409","3","4","HOU"
"410","4","2","NYY"
"411","2","4","HOU"
"412","3","4","HOU"
"413","2","4","HOU"
"414","1","4","HOU"
"415","2","4","HOU"
"416","2","4","HOU"
"417","3","4","HOU"
"418","2","4","HOU"
"419","1","4","HOU"
"420","2","4","HOU"
"421","4","3","NYY"
"422","2","4","HOU"
"423","3","4","HOU"
"424","4","0","NYY"
"425","0","4","HOU"
"426","3","4","HOU"
"427","2","4","HOU"
"428","1","4","HOU"
"429","4","1","NYY"
"430","3","4","HOU"
"431","4","1","NYY"
"432","3","4","HOU"
"433","4","1","NYY"
"434","1","4","HOU"
"435","3","4","HOU"
"436","4","1","NYY"
"437","1","4","HOU"
"438","2","4","HOU"
"439","0","4","HOU"
"440","1","4","HOU"
"441","3","4","HOU"
"442","2","4","HOU"
"443","3","4","HOU"
"444","3","4","HOU"
"445","4","1","NYY"
"446","2","4","HOU"
"447","2","4","HOU"
"448","4","2","NYY"
"449","2","4","HOU"
"450","0","4","HOU"
"451","3","4","HOU"
"452","0","4","HOU"
"453","1","4","HOU"
"454","0","4","HOU"
"455","3","4","HOU"
"456","3","4","HOU"
"457","3","4","HOU"
"458","4","2","NYY"
"459","3","4","HOU"
"460","4","0","NYY"
"461","2","4","HOU"
"462","0","4","HOU"
"463","1","4","HOU"
"464","2","4","HOU"
"465","2","4","HOU"
"466","0","4","HOU"
"467","1","4","HOU"
"468","4","3","NYY"
"469","0","4","HOU"
"470","4","3","NYY"
"471","2","4","HOU"
"472","1","4","HOU"
"473","1","4","HOU"
"474","3","4","HOU"
"475","0","4","HOU"
"476","2","4","HOU"
"477","4","3","NYY"
"478","3","4","HOU"
"479","0","4","HOU"
"480","1","4","HOU"
"481","3","4","HOU"
"482","1","4","HOU"
"483","2","4","HOU"
"484","0","4","HOU"
"485","1","4","HOU"
"486","2","4","HOU"
"487","1","4","HOU"
"488","1","4","HOU"
"489","3","4","HOU"
"490","3","4","HOU"
"491","3","4","HOU"
"492","1","4","HOU"
"493","1","4","HOU"
"494","4","0","NYY"
"495","4","1","NYY"
"496","1","4","HOU"
"497","3","4","HOU"
"498","4","1","NYY"
"499","3","4","HOU"
"500","3","4","HOU"
"501","3","4","HOU"
"502","2","4","HOU"
"503","1","4","HOU"
"504","4","2","NYY"
"505","1","4","HOU"
"506","3","4","HOU"
"507","0","4","HOU"
"508","0","4","HOU"
"509","3","4","HOU"
"510","1","4","HOU"
"511","3","4","HOU"
"512","3","4","HOU"
"513","4","1","NYY"
"514","4","3","NYY"
"515","3","4","HOU"
"516","2","4","HOU"
"517","3","4","HOU"
"518","1","4","HOU"
"519","3","4","HOU"
"520","0","4","HOU"
"521","4","2","NYY"
"522","3","4","HOU"
"523","1","4","HOU"
"524","1","4","HOU"
"525","4","3","NYY"
"526","1","4","HOU"
"527","4","3","NYY"
"528","2","4","HOU"
"529","2","4","HOU"
"530","4","2","NYY"
"531","1","4","HOU"
"532","4","2","NYY"
"533","4","3","NYY"
"534","1","4","HOU"
"535","0","4","HOU"
"536","4","1","NYY"
"537","1","4","HOU"
"538","2","4","HOU"
"539","1","4","HOU"
"540","0","4","HOU"
"541","4","3","NYY"
"542","0","4","HOU"
"543","4","1","NYY"
"544","4","1","NYY"
"545","4","1","NYY"
"546","2","4","HOU"
"547","2","4","HOU"
"548","2","4","HOU"
"549","2","4","HOU"
"550","2","4","HOU"
"551","4","3","NYY"
"552","4","0","NYY"
"553","1","4","HOU"
"554","3","4","HOU"
"555","3","4","HOU"
"556","1","4","HOU"
"557","3","4","HOU"
"558","0","4","HOU"
"559","4","1","NYY"
"560","0","4","HOU"
"561","3","4","HOU"
"562","3","4","HOU"
"563","4","2","NYY"
"564","4","0","NYY"
"565","2","4","HOU"
"566","4","2","NYY"
"567","1","4","HOU"
"568","2","4","HOU"
"569","2","4","HOU"
"570","4","1","NYY"
"571","0","4","HOU"
"572","4","3","NYY"
"573","1","4","HOU"
"574","4","1","NYY"
"575","2","4","HOU"
"576","2","4","HOU"
"577","4","3","NYY"
"578","3","4","HOU"
"579","4","2","NYY"
"580","3","4","HOU"
"581","4","1","NYY"
"582","3","4","HOU"
"583","4","2","NYY"
"584","4","3","NYY"
"585","2","4","HOU"
"586","3","4","HOU"
"587","4","2","NYY"
"588","2","4","HOU"
"589","1","4","HOU"
"590","1","4","HOU"
"591","0","4","HOU"
"592","2","4","HOU"
"593","3","4","HOU"
"594","0","4","HOU"
"595","1","4","HOU"
"596","2","4","HOU"
"597","1","4","HOU"
"598","4","2","NYY"
"599","2","4","HOU"
"600","4","2","NYY"
"601","4","3","NYY"
"602","0","4","HOU"
"603","2","4","HOU"
"604","1","4","HOU"
"605","2","4","HOU"
"606","3","4","HOU"
"607","0","4","HOU"
"608","2","4","HOU"
"609","4","1","NYY"
"610","4","3","NYY"
"611","2","4","HOU"
"612","3","4","HOU"
"613","4","2","NYY"
"614","2","4","HOU"
"615","3","4","HOU"
"616","2","4","HOU"
"617","3","4","HOU"
"618","2","4","HOU"
"619","1","4","HOU"
"620","2","4","HOU"
"621","1","4","HOU"
"622","1","4","HOU"
"623","3","4","HOU"
"624","4","1","NYY"
"625","4","1","NYY"
"626","3","4","HOU"
"627","1","4","HOU"
"628","4","2","NYY"
"629","3","4","HOU"
"630","3","4","HOU"
"631","2","4","HOU"
"632","4","1","NYY"
"633","4","3","NYY"
"634","1","4","HOU"
"635","3","4","HOU"
"636","2","4","HOU"
"637","1","4","HOU"
"638","3","4","HOU"
"639","3","4","HOU"
"640","2","4","HOU"
"641","4","2","NYY"
"642","3","4","HOU"
"643","0","4","HOU"
"644","3","4","HOU"
"645","1","4","HOU"
"646","0","4","HOU"
"647","0","4","HOU"
"648","1","4","HOU"
"649","4","0","NYY"
"650","2","4","HOU"
"651","0","4","HOU"
"652","4","1","NYY"
"653","2","4","HOU"
"654","2","4","HOU"
"655","3","4","HOU"
"656","2","4","HOU"
"657","4","1","NYY"
"658","4","2","NYY"
"659","3","4","HOU"
"660","0","4","HOU"
"661","1","4","HOU"
"662","4","2","NYY"
"663","0","4","HOU"
"664","3","4","HOU"
"665","4","1","NYY"
"666","3","4","HOU"
"667","1","4","HOU"
"668","4","2","NYY"
"669","4","2","NYY"
"670","4","1","NYY"
"671","4","2","NYY"
"672","4","2","NYY"
"673","4","2","NYY"
"674","0","4","HOU"
"675","2","4","HOU"
"676","3","4","HOU"
"677","4","1","NYY"
"678","1","4","HOU"
"679","3","4","HOU"
"680","4","1","NYY"
"681","4","3","NYY"
"682","2","4","HOU"
"683","4","3","NYY"
"684","0","4","HOU"
"685","1","4","HOU"
"686","3","4","HOU"
"687","1","4","HOU"
"688","4","0","NYY"
"689","2","4","HOU"
"690","1","4","HOU"
"691","3","4","HOU"
"692","1","4","HOU"
"693","3","4","HOU"
"694","3","4","HOU"
"695","3","4","HOU"
"696","1","4","HOU"
"697","2","4","HOU"
"698","0","4","HOU"
"699","3","4","HOU"
"700","3","4","HOU"
"701","2","4","HOU"
"702","3","4","HOU"
"703","2","4","HOU"
"704","3","4","HOU"
"705","3","4","HOU"
"706","4","3","NYY"
"707","4","3","NYY"
"708","3","4","HOU"
"709","0","4","HOU"
"710","4","3","NYY"
"711","4","2","NYY"
"712","2","4","HOU"
"713","3","4","HOU"
"714","3","4","HOU"
"715","1","4","HOU"
"716","4","2","NYY"
"717","2","4","HOU"
"718","4","1","NYY"
"719","4","2","NYY"
"720","4","3","NYY"
"721","4","3","NYY"
"722","1","4","HOU"
"723","1","4","HOU"
"724","1","4","HOU"
"725","1","4","HOU"
"726","2","4","HOU"
"727","3","4","HOU"
"728","4","1","NYY"
"729","3","4","HOU"
"730","2","4","HOU"
"731","2","4","HOU"
"732","3","4","HOU"
"733","3","4","HOU"
"734","2","4","HOU"
"735","4","2","NYY"
"736","0","4","HOU"
"737","4","0","NYY"
"738","2","4","HOU"
"739","3","4","HOU"
"740","4","2","NYY"
"741","0","4","HOU"
"742","0","4","HOU"
"743","1","4","HOU"
"744","2","4","HOU"
"745","2","4","HOU"
"746","3","4","HOU"
"747","4","2","NYY"
"748","1","4","HOU"
"749","4","2","NYY"
"750","3","4","HOU"
"751","1","4","HOU"
"752","0","4","HOU"
"753","3","4","HOU"
"754","2","4","HOU"
"755","1","4","HOU"
"756","1","4","HOU"
"757","1","4","HOU"
"758","1","4","HOU"
"759","2","4","HOU"
"760","0","4","HOU"
"761","1","4","HOU"
"762","4","0","NYY"
"763","4","3","NYY"
"764","2","4","HOU"
"765","2","4","HOU"
"766","4","3","NYY"
"767","0","4","HOU"
"768","4","3","NYY"
"769","3","4","HOU"
"770","3","4","HOU"
"771","2","4","HOU"
"772","2","4","HOU"
"773","1","4","HOU"
"774","4","0","NYY"
"775","2","4","HOU"
"776","4","1","NYY"
"777","2","4","HOU"
"778","3","4","HOU"
"779","1","4","HOU"
"780","4","2","NYY"
"781","3","4","HOU"
"782","2","4","HOU"
"783","2","4","HOU"
"784","0","4","HOU"
"785","1","4","HOU"
"786","3","4","HOU"
"787","2","4","HOU"
"788","4","2","NYY"
"789","1","4","HOU"
"790","1","4","HOU"
"791","2","4","HOU"
"792","4","1","NYY"
"793","1","4","HOU"
"794","0","4","HOU"
"795","3","4","HOU"
"796","2","4","HOU"
"797","3","4","HOU"
"798","2","4","HOU"
"799","1","4","HOU"
"800","3","4","HOU"
"801","1","4","HOU"
"802","3","4","HOU"
"803","1","4","HOU"
"804","4","2","NYY"
"805","2","4","HOU"
"806","0","4","HOU"
"807","2","4","HOU"
"808","2","4","HOU"
"809","0","4","HOU"
"810","2","4","HOU"
"811","2","4","HOU"
"812","1","4","HOU"
"813","0","4","HOU"
"814","4","2","NYY"
"815","0","4","HOU"
"816","4","2","NYY"
"817","3","4","HOU"
"818","3","4","HOU"
"819","3","4","HOU"
"820","1","4","HOU"
"821","2","4","HOU"
"822","4","1","NYY"
"823","2","4","HOU"
"824","4","2","NYY"
"825","2","4","HOU"
"826","4","0","NYY"
"827","0","4","HOU"
"828","3","4","HOU"
"829","2","4","HOU"
"830","2","4","HOU"
"831","1","4","HOU"
"832","3","4","HOU"
"833","2","4","HOU"
"834","1","4","HOU"
"835","2","4","HOU"
"836","4","2","NYY"
"837","1","4","HOU"
"838","2","4","HOU"
"839","1","4","HOU"
"840","1","4","HOU"
"841","3","4","HOU"
"842","0","4","HOU"
"843","3","4","HOU"
"844","4","3","NYY"
"845","3","4","HOU"
"846","4","3","NYY"
"847","2","4","HOU"
"848","2","4","HOU"
"849","1","4","HOU"
"850","3","4","HOU"
"851","0","4","HOU"
"852","2","4","HOU"
"853","1","4","HOU"
"854","3","4","HOU"
"855","4","1","NYY"
"856","1","4","HOU"
"857","3","4","HOU"
"858","2","4","HOU"
"859","3","4","HOU"
"860","0","4","HOU"
"861","3","4","HOU"
"862","3","4","HOU"
"863","3","4","HOU"
"864","2","4","HOU"
"865","2","4","HOU"
"866","3","4","HOU"
"867","3","4","HOU"
"868","1","4","HOU"
"869","2","4","HOU"
"870","4","3","NYY"
"871","1","4","HOU"
"872","0","4","HOU"
"873","1","4","HOU"
"874","4","2","NYY"
"875","2","4","HOU"
"876","3","4","HOU"
"877","1","4","HOU"
"878","2","4","HOU"
"879","4","3","NYY"
"880","3","4","HOU"
"881","3","4","HOU"
"882","3","4","HOU"
"883","4","1","NYY"
"884","0","4","HOU"
"885","3","4","HOU"
"886","2","4","HOU"
"887","2","4","HOU"
"888","4","1","NYY"
"889","4","2","NYY"
"890","2","4","HOU"
"891","1","4","HOU"
"892","2","4","HOU"
"893","3","4","HOU"
"894","0","4","HOU"
"895","3","4","HOU"
"896","2","4","HOU"
"897","1","4","HOU"
"898","1","4","HOU"
"899","3","4","HOU"
"900","1","4","HOU"
"901","4","3","NYY"
"902","1","4","HOU"
"903","4","2","NYY"
"904","4","2","NYY"
"905","0","4","HOU"
"906","2","4","HOU"
"907","3","4","HOU"
"908","2","4","HOU"
"909","2","4","HOU"
"910","2","4","HOU"
"911","2","4","HOU"
"912","0","4","HOU"
"913","4","2","NYY"
"914","0","4","HOU"
"915","3","4","HOU"
"916","2","4","HOU"
"917","3","4","HOU"
"918","3","4","HOU"
"919","0","4","HOU"
"920","2","4","HOU"
"921","3","4","HOU"
"922","1","4","HOU"
"923","1","4","HOU"
"924","1","4","HOU"
"925","2","4","HOU"
"926","0","4","HOU"
"927","3","4","HOU"
"928","4","2","NYY"
"929","2","4","HOU"
"930","1","4","HOU"
"931","2","4","HOU"
"932","1","4","HOU"
"933","1","4","HOU"
"934","4","2","NYY"
"935","1","4","HOU"
"936","2","4","HOU"
"937","2","4","HOU"
"938","0","4","HOU"
"939","2","4","HOU"
"940","2","4","HOU"
"941","2","4","HOU"
"942","1","4","HOU"
"943","1","4","HOU"
"944","0","4","HOU"
"945","3","4","HOU"
"946","0","4","HOU"
"947","2","4","HOU"
"948","4","2","NYY"
"949","3","4","HOU"
"950","1","4","HOU"
"951","2","4","HOU"
"952","3","4","HOU"
"953","0","4","HOU"
"954","1","4","HOU"
"955","3","4","HOU"
"956","0","4","HOU"
"957","0","4","HOU"
"958","3","4","HOU"
"959","4","3","NYY"
"960","0","4","HOU"
"961","0","4","HOU"
"962","1","4","HOU"
"963","0","4","HOU"
"964","2","4","HOU"
"965","1","4","HOU"
"966","2","4","HOU"
"967","4","2","NYY"
"968","0","4","HOU"
"969","0","4","HOU"
"970","1","4","HOU"
"971","3","4","HOU"
"972","4","2","NYY"
"973","3","4","HOU"
"974","1","4","HOU"
"975","4","2","NYY"
"976","1","4","HOU"
"977","2","4","HOU"
"978","4","0","NYY"
"979","3","4","HOU"
"980","1","4","HOU"
"981","0","4","HOU"
"982","3","4","HOU"
"983","2","4","HOU"
"984","2","4","HOU"
"985","2","4","HOU"
"986","3","4","HOU"
"987","0","4","HOU"
"988","2","4","HOU"
"989","0","4","HOU"
"990","4","0","NYY"
"991","4","2","NYY"
"992","4","3","NYY"
"993","3","4","HOU"
"994","2","4","HOU"
"995","3","4","HOU"
"996","3","4","HOU"
"997","1","4","HOU"
"998","2","4","HOU"
"999","4","3","NYY"
"1000","4","2","NYY"
"1001","4","1","NYY"
"1002","2","4","HOU"
"1003","1","4","HOU"
"1004","2","4","HOU"
"1005","1","4","HOU"
"1006","0","4","HOU"
"1007","3","4","HOU"
"1008","4","3","NYY"
"1009","3","4","HOU"
"1010","1","4","HOU"
"1011","3","4","HOU"
"1012","0","4","HOU"
"1013","2","4","HOU"
"1014","2","4","HOU"
"1015","0","4","HOU"
"1016","4","3","NYY"
"1017","2","4","HOU"
"1018","3","4","HOU"
"1019","0","4","HOU"
"1020","3","4","HOU"
"1021","2","4","HOU"
"1022","4","3","NYY"
"1023","3","4","HOU"
"1024","4","1","NYY"
"1025","0","4","HOU"
"1026","3","4","HOU"
"1027","3","4","HOU"
"1028","4","2","NYY"
"1029","0","4","HOU"
"1030","0","4","HOU"
"1031","3","4","HOU"
"1032","3","4","HOU"
"1033","4","2","NYY"
"1034","2","4","HOU"
"1035","0","4","HOU"
"1036","3","4","HOU"
"1037","2","4","HOU"
"1038","0","4","HOU"
"1039","3","4","HOU"
"1040","3","4","HOU"
"1041","1","4","HOU"
"1042","3","4","HOU"
"1043","1","4","HOU"
"1044","2","4","HOU"
"1045","2","4","HOU"
"1046","4","2","NYY"
"1047","1","4","HOU"
"1048","3","4","HOU"
"1049","4","2","NYY"
"1050","0","4","HOU"
"1051","3","4","HOU"
"1052","2","4","HOU"
"1053","4","1","NYY"
"1054","3","4","HOU"
"1055","2","4","HOU"
"1056","4","2","NYY"
"1057","3","4","HOU"
"1058","2","4","HOU"
"1059","2","4","HOU"
"1060","4","2","NYY"
"1061","0","4","HOU"
"1062","1","4","HOU"
"1063","1","4","HOU"
"1064","3","4","HOU"
"1065","1","4","HOU"
"1066","1","4","HOU"
"1067","0","4","HOU"
"1068","3","4","HOU"
"1069","2","4","HOU"
"1070","3","4","HOU"
"1071","1","4","HOU"
"1072","3","4","HOU"
"1073","0","4","HOU"
"1074","2","4","HOU"
"1075","3","4","HOU"
"1076","1","4","HOU"
"1077","2","4","HOU"
"1078","3","4","HOU"
"1079","2","4","HOU"
"1080","0","4","HOU"
"1081","1","4","HOU"
"1082","1","4","HOU"
"1083","1","4","HOU"
"1084","1","4","HOU"
"1085","2","4","HOU"
"1086","1","4","HOU"
"1087","1","4","HOU"
"1088","2","4","HOU"
"1089","3","4","HOU"
"1090","2","4","HOU"
"1091","3","4","HOU"
"1092","3","4","HOU"
"1093","4","1","NYY"
"1094","4","0","NYY"
"1095","0","4","HOU"
"1096","4","3","NYY"
"1097","0","4","HOU"
"1098","1","4","HOU"
"1099","1","4","HOU"
"1100","2","4","HOU"
"1101","3","4","HOU"
"1102","4","3","NYY"
"1103","2","4","HOU"
"1104","0","4","HOU"
"1105","0","4","HOU"
"1106","1","4","HOU"
"1107","3","4","HOU"
"1108","4","1","NYY"
"1109","3","4","HOU"
"1110","2","4","HOU"
"1111","3","4","HOU"
"1112","0","4","HOU"
"1113","2","4","HOU"
"1114","4","1","NYY"
"1115","2","4","HOU"
"1116","0","4","HOU"
"1117","0","4","HOU"
"1118","1","4","HOU"
"1119","1","4","HOU"
"1120","0","4","HOU"
"1121","4","2","NYY"
"1122","2","4","HOU"
"1123","4","0","NYY"
"1124","2","4","HOU"
"1125","2","4","HOU"
"1126","4","2","NYY"
"1127","0","4","HOU"
"1128","4","1","NYY"
"1129","1","4","HOU"
"1130","2","4","HOU"
"1131","2","4","HOU"
"1132","2","4","HOU"
"1133","4","2","NYY"
"1134","1","4","HOU"
"1135","4","1","NYY"
"1136","2","4","HOU"
"1137","2","4","HOU"
"1138","3","4","HOU"
"1139","4","3","NYY"
"1140","2","4","HOU"
"1141","3","4","HOU"
"1142","3","4","HOU"
"1143","1","4","HOU"
"1144","1","4","HOU"
"1145","4","3","NYY"
"1146","4","2","NYY"
"1147","1","4","HOU"
"1148","3","4","HOU"
"1149","0","4","HOU"
"1150","4","2","NYY"
"1151","4","2","NYY"
