"","LAD","NYY","Champion"
"295","2","4","NYY"
"296","4","2","LAD"
"297","4","2","LAD"
"298","4","1","LAD"
"299","1","4","NYY"
"300","4","1","LAD"
"301","4","0","LAD"
"302","4","1","LAD"
"303","4","1","LAD"
"304","4","0","LAD"
"305","4","3","LAD"
"306","4","2","LAD"
"307","4","1","LAD"
"308","4","3","LAD"
"309","4","2","LAD"
"310","4","2","LAD"
"311","4","0","LAD"
"312","4","1","LAD"
"313","4","3","LAD"
"314","4","0","LAD"
"315","4","1","LAD"
"316","4","0","LAD"
"317","4","3","LAD"
"318","4","1","LAD"
"319","2","4","NYY"
"320","4","1","LAD"
"321","4","3","LAD"
"322","4","1","LAD"
"323","2","4","NYY"
"324","4","2","LAD"
"325","4","1","LAD"
"326","4","3","LAD"
"327","4","3","LAD"
"328","4","0","LAD"
"329","4","0","LAD"
"330","4","2","LAD"
"331","4","1","LAD"
"332","4","1","LAD"
"333","4","1","LAD"
"334","4","0","LAD"
"335","3","4","NYY"
"336","4","2","LAD"
"337","4","3","LAD"
"338","4","0","LAD"
"339","4","1","LAD"
"340","4","1","LAD"
"341","4","1","LAD"
"342","4","0","LAD"
"343","4","0","LAD"
"344","4","2","LAD"
"345","4","2","LAD"
"346","4","1","LAD"
"347","4","0","LAD"
"348","4","3","LAD"
"349","4","0","LAD"
"350","4","3","LAD"
"351","4","1","LAD"
"352","4","3","LAD"
"353","4","0","LAD"
"354","4","1","LAD"
"355","3","4","NYY"
"356","4","1","LAD"
"357","3","4","NYY"
"358","3","4","NYY"
"359","1","4","NYY"
"360","4","2","LAD"
"361","4","1","LAD"
"362","4","2","LAD"
"363","4","0","LAD"
"364","2","4","NYY"
"365","4","3","LAD"
"366","1","4","NYY"
"367","4","1","LAD"
"368","4","2","LAD"
"369","1","4","NYY"
"370","4","0","LAD"
"371","4","3","LAD"
"372","4","1","LAD"
"373","2","4","NYY"
"374","4","1","LAD"
"375","4","3","LAD"
"376","3","4","NYY"
"377","4","2","LAD"
"378","4","0","LAD"
"379","4","2","LAD"
"380","4","3","LAD"
"381","4","0","LAD"
"382","3","4","NYY"
"383","4","3","LAD"
"384","4","1","LAD"
"385","3","4","NYY"
"386","4","1","LAD"
"387","4","3","LAD"
"388","4","1","LAD"
"389","4","0","LAD"
"390","4","2","LAD"
"391","4","3","LAD"
"392","4","0","LAD"
"393","4","0","LAD"
"394","4","1","LAD"
"395","0","4","NYY"
"396","4","0","LAD"
"397","4","0","LAD"
"398","4","1","LAD"
"399","3","4","NYY"
"400","1","4","NYY"
"401","4","1","LAD"
"402","2","4","NYY"
"403","4","2","LAD"
"404","4","1","LAD"
"405","4","1","LAD"
"406","4","2","LAD"
"407","2","4","NYY"
"408","3","4","NYY"
"409","4","3","LAD"
"410","4","1","LAD"
"411","4","3","LAD"
"412","4","0","LAD"
"413","2","4","NYY"
"414","4","1","LAD"
"415","4","2","LAD"
"416","4","3","LAD"
"417","1","4","NYY"
"418","4","1","LAD"
"419","4","0","LAD"
"420","4","1","LAD"
"421","4","3","LAD"
"422","0","4","NYY"
"423","2","4","NYY"
"424","4","1","LAD"
"425","4","0","LAD"
"426","1","4","NYY"
"427","4","3","LAD"
"428","4","1","LAD"
"429","4","2","LAD"
"430","3","4","NYY"
"431","4","2","LAD"
"432","4","3","LAD"
"433","3","4","NYY"
"434","4","3","LAD"
"435","3","4","NYY"
"436","2","4","NYY"
"437","4","0","LAD"
"438","4","2","LAD"
"439","4","0","LAD"
"440","4","0","LAD"
"441","3","4","NYY"
"442","3","4","NYY"
"443","4","2","LAD"
"444","4","3","LAD"
"445","4","1","LAD"
"446","4","3","LAD"
"447","4","3","LAD"
"448","4","1","LAD"
"449","4","0","LAD"
"450","4","2","LAD"
"451","0","4","NYY"
"452","4","1","LAD"
"453","4","2","LAD"
"454","4","1","LAD"
"455","4","0","LAD"
"456","4","1","LAD"
"457","4","1","LAD"
"458","3","4","NYY"
"459","4","1","LAD"
"460","4","1","LAD"
"461","4","1","LAD"
"462","4","1","LAD"
"463","4","2","LAD"
"464","4","2","LAD"
"465","4","2","LAD"
"466","4","1","LAD"
"467","2","4","NYY"
"468","4","2","LAD"
"469","4","3","LAD"
"470","4","1","LAD"
"471","2","4","NYY"
"472","4","0","LAD"
"473","4","2","LAD"
"474","4","2","LAD"
"475","4","1","LAD"
"476","4","3","LAD"
"477","2","4","NYY"
"478","4","1","LAD"
"479","2","4","NYY"
"480","4","3","LAD"
"481","4","1","LAD"
"482","4","1","LAD"
"483","4","3","LAD"
"484","4","1","LAD"
"485","4","1","LAD"
"486","4","2","LAD"
"487","4","1","LAD"
"488","4","1","LAD"
"489","4","1","LAD"
"490","2","4","NYY"
"491","4","0","LAD"
"492","4","2","LAD"
"493","4","1","LAD"
"494","4","0","LAD"
"495","1","4","NYY"
"496","4","2","LAD"
"497","4","2","LAD"
"498","4","1","LAD"
"499","4","2","LAD"
"500","4","3","LAD"
"501","4","1","LAD"
"502","4","1","LAD"
"503","4","1","LAD"
"504","4","0","LAD"
"505","4","1","LAD"
"506","4","0","LAD"
"507","4","2","LAD"
"508","4","3","LAD"
"509","4","3","LAD"
"510","4","0","LAD"
"511","3","4","NYY"
"512","1","4","NYY"
"513","4","1","LAD"
"514","4","3","LAD"
"515","4","2","LAD"
"516","0","4","NYY"
"517","3","4","NYY"
"518","4","1","LAD"
"519","3","4","NYY"
"520","4","1","LAD"
"521","4","2","LAD"
"522","3","4","NYY"
"523","4","2","LAD"
"524","4","1","LAD"
"525","4","1","LAD"
"526","4","0","LAD"
"527","2","4","NYY"
"528","4","0","LAD"
"529","1","4","NYY"
"530","4","2","LAD"
"531","4","0","LAD"
"532","4","2","LAD"
"533","2","4","NYY"
"534","3","4","NYY"
"535","4","2","LAD"
"536","4","1","LAD"
"537","4","1","LAD"
"538","4","3","LAD"
"539","4","2","LAD"
"540","4","0","LAD"
"541","4","2","LAD"
"542","2","4","NYY"
"543","4","3","LAD"
"544","4","0","LAD"
"545","4","0","LAD"
"546","4","0","LAD"
"547","4","1","LAD"
"548","4","0","LAD"
"549","4","1","LAD"
"550","4","2","LAD"
"551","4","3","LAD"
"552","4","3","LAD"
"553","4","1","LAD"
"554","4","1","LAD"
"555","4","2","LAD"
"556","4","2","LAD"
"557","4","3","LAD"
"558","4","1","LAD"
"559","4","2","LAD"
"560","4","2","LAD"
"561","4","3","LAD"
"562","4","3","LAD"
"563","4","2","LAD"
"564","4","1","LAD"
"565","4","3","LAD"
"566","4","1","LAD"
"567","4","0","LAD"
"568","4","3","LAD"
"569","4","1","LAD"
"570","2","4","NYY"
"571","4","0","LAD"
"572","4","2","LAD"
"573","4","1","LAD"
"574","4","2","LAD"
"575","4","0","LAD"
"576","1","4","NYY"
"577","4","0","LAD"
"578","4","3","LAD"
"579","4","1","LAD"
"580","4","1","LAD"
"581","4","1","LAD"
"582","3","4","NYY"
"583","1","4","NYY"
"584","4","0","LAD"
"585","2","4","NYY"
"586","4","2","LAD"
"587","3","4","NYY"
"588","4","0","LAD"
"589","4","2","LAD"
"590","4","3","LAD"
"591","4","1","LAD"
"592","4","3","LAD"
"593","0","4","NYY"
"594","4","0","LAD"
"595","4","0","LAD"
"596","2","4","NYY"
"597","4","1","LAD"
"598","4","1","LAD"
"599","4","2","LAD"
"600","4","1","LAD"
"601","3","4","NYY"
"602","3","4","NYY"
"603","4","2","LAD"
"604","4","2","LAD"
"605","4","1","LAD"
"606","4","1","LAD"
"607","4","3","LAD"
"608","0","4","NYY"
"609","4","3","LAD"
"610","4","2","LAD"
"611","4","1","LAD"
"612","3","4","NYY"
"613","4","0","LAD"
"614","0","4","NYY"
"615","3","4","NYY"
"616","3","4","NYY"
"617","4","3","LAD"
"618","3","4","NYY"
"619","4","0","LAD"
"620","3","4","NYY"
"621","4","2","LAD"
"622","4","1","LAD"
"623","4","0","LAD"
"624","3","4","NYY"
"625","4","1","LAD"
"626","4","2","LAD"
"627","4","1","LAD"
"628","4","2","LAD"
"629","4","3","LAD"
"630","4","0","LAD"
"631","4","3","LAD"
"632","3","4","NYY"
"633","4","2","LAD"
"634","3","4","NYY"
"635","2","4","NYY"
"636","4","2","LAD"
"637","0","4","NYY"
"638","3","4","NYY"
"639","2","4","NYY"
"640","4","1","LAD"
"641","1","4","NYY"
"642","2","4","NYY"
"643","4","0","LAD"
"644","4","1","LAD"
"645","4","2","LAD"
"646","4","3","LAD"
"647","4","2","LAD"
"648","2","4","NYY"
"649","4","0","LAD"
"650","4","2","LAD"
"651","2","4","NYY"
"652","4","0","LAD"
"653","2","4","NYY"
"654","0","4","NYY"
"655","2","4","NYY"
"656","4","0","LAD"
"657","4","2","LAD"
"658","4","2","LAD"
"659","4","3","LAD"
"660","4","3","LAD"
"661","4","3","LAD"
"662","4","1","LAD"
"663","4","2","LAD"
"664","4","2","LAD"
"665","4","3","LAD"
"666","4","3","LAD"
"667","4","1","LAD"
"668","4","1","LAD"
"669","4","1","LAD"
"670","4","0","LAD"
"671","4","3","LAD"
"672","4","2","LAD"
"673","4","1","LAD"
"674","4","2","LAD"
"675","4","1","LAD"
"676","4","0","LAD"
"677","4","1","LAD"
"678","4","2","LAD"
"679","4","3","LAD"
"680","4","2","LAD"
"681","4","3","LAD"
"682","4","1","LAD"
"683","4","1","LAD"
"684","2","4","NYY"
"685","4","2","LAD"
"686","3","4","NYY"
"687","0","4","NYY"
"688","3","4","NYY"
"689","4","0","LAD"
"690","1","4","NYY"
"691","4","2","LAD"
"692","4","3","LAD"
"693","4","1","LAD"
"694","4","3","LAD"
"695","4","3","LAD"
"696","4","2","LAD"
"697","2","4","NYY"
"698","4","2","LAD"
"699","4","0","LAD"
"700","4","2","LAD"
"701","2","4","NYY"
"702","4","3","LAD"
"703","4","0","LAD"
"704","4","0","LAD"
"705","4","1","LAD"
"706","4","0","LAD"
"707","4","1","LAD"
"708","2","4","NYY"
"709","4","1","LAD"
"710","4","2","LAD"
"711","4","2","LAD"
"712","2","4","NYY"
"713","4","2","LAD"
"714","4","0","LAD"
"715","4","1","LAD"
"716","4","1","LAD"
"717","4","1","LAD"
"718","4","1","LAD"
"719","4","1","LAD"
"720","4","1","LAD"
"721","4","0","LAD"
"722","4","2","LAD"
"723","4","1","LAD"
"724","4","2","LAD"
"725","2","4","NYY"
"726","4","1","LAD"
"727","4","0","LAD"
"728","4","1","LAD"
"729","3","4","NYY"
"730","4","3","LAD"
"731","4","0","LAD"
"732","4","0","LAD"
"733","4","2","LAD"
"734","4","3","LAD"
"735","4","0","LAD"
"736","4","1","LAD"
"737","4","2","LAD"
"738","4","0","LAD"
"739","4","1","LAD"
"740","4","0","LAD"
"741","4","3","LAD"
"742","4","0","LAD"
"743","1","4","NYY"
"744","4","3","LAD"
"745","1","4","NYY"
"746","4","2","LAD"
"747","4","2","LAD"
"748","4","0","LAD"
"749","4","2","LAD"
"750","1","4","NYY"
"751","4","0","LAD"
"752","4","3","LAD"
"753","3","4","NYY"
"754","3","4","NYY"
"755","4","1","LAD"
"756","4","1","LAD"
"757","4","1","LAD"
"758","4","0","LAD"
"759","4","1","LAD"
"760","1","4","NYY"
"761","4","3","LAD"
"762","4","3","LAD"
"763","2","4","NYY"
"764","4","1","LAD"
"765","4","1","LAD"
"766","3","4","NYY"
"767","4","1","LAD"
"768","2","4","NYY"
"769","4","1","LAD"
"770","4","1","LAD"
"771","4","2","LAD"
"772","4","2","LAD"
"773","4","1","LAD"
"774","4","1","LAD"
"775","4","1","LAD"
"776","4","2","LAD"
"777","4","1","LAD"
"778","4","0","LAD"
"779","4","1","LAD"
"780","2","4","NYY"
"781","4","0","LAD"
"782","3","4","NYY"
"783","3","4","NYY"
"784","2","4","NYY"
"785","4","3","LAD"
"786","4","3","LAD"
"787","4","1","LAD"
"788","4","2","LAD"
"789","4","1","LAD"
"790","4","2","LAD"
"791","4","1","LAD"
"792","4","2","LAD"
"793","4","3","LAD"
"794","4","2","LAD"
"795","3","4","NYY"
"796","4","2","LAD"
"797","1","4","NYY"
"798","4","1","LAD"
"799","4","0","LAD"
"800","4","2","LAD"
"801","4","2","LAD"
"802","4","2","LAD"
"803","4","1","LAD"
"804","4","0","LAD"
"805","4","1","LAD"
"806","4","2","LAD"
"807","3","4","NYY"
"808","4","0","LAD"
"809","4","0","LAD"
"810","4","2","LAD"
"811","4","1","LAD"
"812","4","0","LAD"
"813","2","4","NYY"
"814","4","3","LAD"
"815","4","1","LAD"
"816","4","1","LAD"
"817","4","3","LAD"
"818","4","0","LAD"
"819","4","3","LAD"
"820","2","4","NYY"
"821","4","2","LAD"
"822","4","1","LAD"
"823","4","1","LAD"
"824","4","2","LAD"
"825","4","2","LAD"
"826","4","0","LAD"
"827","2","4","NYY"
"828","4","2","LAD"
"829","4","3","LAD"
"830","4","0","LAD"
"831","4","0","LAD"
"832","4","1","LAD"
"833","4","1","LAD"
"834","0","4","NYY"
"835","4","0","LAD"
"836","4","1","LAD"
"837","4","0","LAD"
"838","2","4","NYY"
"839","4","2","LAD"
"840","4","1","LAD"
"841","1","4","NYY"
"842","4","1","LAD"
"843","4","3","LAD"
"844","4","1","LAD"
"845","4","1","LAD"
"846","4","1","LAD"
"847","4","2","LAD"
"848","3","4","NYY"
"849","4","1","LAD"
"850","4","2","LAD"
"851","4","0","LAD"
"852","4","1","LAD"
"853","4","0","LAD"
"854","4","1","LAD"
"855","4","2","LAD"
"856","4","0","LAD"
"857","3","4","NYY"
"858","4","0","LAD"
"859","3","4","NYY"
"860","4","1","LAD"
"861","4","0","LAD"
"862","4","1","LAD"
"863","4","3","LAD"
"864","4","0","LAD"
"865","0","4","NYY"
"866","4","2","LAD"
"867","4","2","LAD"
"868","2","4","NYY"
"869","4","3","LAD"
"870","1","4","NYY"
"871","1","4","NYY"
"872","4","0","LAD"
"873","4","3","LAD"
"874","1","4","NYY"
"875","4","1","LAD"
"876","4","3","LAD"
"877","4","1","LAD"
"878","4","1","LAD"
"879","4","1","LAD"
"880","4","0","LAD"
"881","4","3","LAD"
"882","4","1","LAD"
"883","4","1","LAD"
"884","4","1","LAD"
"885","4","3","LAD"
"886","4","3","LAD"
"887","4","3","LAD"
"888","4","2","LAD"
"889","4","3","LAD"
"890","0","4","NYY"
"891","3","4","NYY"
"892","4","3","LAD"
"893","4","1","LAD"
"894","4","2","LAD"
"895","4","0","LAD"
"896","3","4","NYY"
"897","1","4","NYY"
"898","4","1","LAD"
"899","4","1","LAD"
"900","4","1","LAD"
"901","2","4","NYY"
"902","4","1","LAD"
"903","4","2","LAD"
"904","4","0","LAD"
"905","4","2","LAD"
"906","2","4","NYY"
"907","4","2","LAD"
"908","4","0","LAD"
"909","4","0","LAD"
"910","4","1","LAD"
"911","4","1","LAD"
"912","4","3","LAD"
"913","4","3","LAD"
"914","4","3","LAD"
"915","2","4","NYY"
"916","3","4","NYY"
"917","4","1","LAD"
"918","4","0","LAD"
"919","0","4","NYY"
"920","4","3","LAD"
"921","4","1","LAD"
"922","4","1","LAD"
"923","4","1","LAD"
"924","3","4","NYY"
"925","4","1","LAD"
"926","4","0","LAD"
"927","3","4","NYY"
"928","4","3","LAD"
"929","4","2","LAD"
"930","4","3","LAD"
"931","4","1","LAD"
"932","3","4","NYY"
"933","4","3","LAD"
"934","4","1","LAD"
"935","4","2","LAD"
"936","4","3","LAD"
"937","4","2","LAD"
"938","4","2","LAD"
"939","4","2","LAD"
"940","4","0","LAD"
"941","3","4","NYY"
"942","4","1","LAD"
"943","4","2","LAD"
"944","4","1","LAD"
"945","4","1","LAD"
"946","4","0","LAD"
"947","4","1","LAD"
"948","3","4","NYY"
"949","4","1","LAD"
"950","4","0","LAD"
"951","4","2","LAD"
"952","1","4","NYY"
"953","2","4","NYY"
"954","4","1","LAD"
"955","4","2","LAD"
"956","4","3","LAD"
"957","4","3","LAD"
"958","4","2","LAD"
"959","4","2","LAD"
"960","4","2","LAD"
"961","4","1","LAD"
"962","4","3","LAD"
"963","4","2","LAD"
"964","4","0","LAD"
"965","3","4","NYY"
"966","4","1","LAD"
"967","4","1","LAD"
"968","4","2","LAD"
"969","4","2","LAD"
"970","4","0","LAD"
"971","2","4","NYY"
"972","4","1","LAD"
"973","4","0","LAD"
"974","4","0","LAD"
"975","4","2","LAD"
"976","4","1","LAD"
"977","4","1","LAD"
"978","4","3","LAD"
"979","4","0","LAD"
"980","4","2","LAD"
"981","4","0","LAD"
"982","3","4","NYY"
"983","4","1","LAD"
"984","3","4","NYY"
"985","4","1","LAD"
"986","4","0","LAD"
"987","4","2","LAD"
"988","4","0","LAD"
"989","3","4","NYY"
"990","4","1","LAD"
"991","4","2","LAD"
"992","3","4","NYY"
"993","4","0","LAD"
"994","4","3","LAD"
"995","1","4","NYY"
"996","4","1","LAD"
"997","2","4","NYY"
"998","4","0","LAD"
"999","4","3","LAD"
"1000","4","1","LAD"
"1001","4","1","LAD"
"1002","4","2","LAD"
"1003","2","4","NYY"
"1004","4","3","LAD"
"1005","4","0","LAD"
"1006","4","2","LAD"
"1007","4","2","LAD"
"1008","4","1","LAD"
"1009","4","2","LAD"
"1010","4","1","LAD"
"1011","4","1","LAD"
"1012","4","3","LAD"
"1013","4","0","LAD"
"1014","2","4","NYY"
"1015","4","1","LAD"
"1016","4","2","LAD"
"1017","4","1","LAD"
"1018","0","4","NYY"
"1019","4","2","LAD"
"1020","4","2","LAD"
"1021","3","4","NYY"
"1022","4","2","LAD"
"1023","1","4","NYY"
"1024","4","3","LAD"
"1025","4","3","LAD"
"1026","3","4","NYY"
"1027","4","3","LAD"
"1028","4","1","LAD"
"1029","4","1","LAD"
"1030","4","2","LAD"
"1031","4","3","LAD"
"1032","4","1","LAD"
"1033","4","2","LAD"
"1034","4","1","LAD"
"1035","4","1","LAD"
"1036","4","2","LAD"
"1037","4","1","LAD"
"1038","4","2","LAD"
"1039","4","1","LAD"
"1040","3","4","NYY"
"1041","4","3","LAD"
"1042","4","2","LAD"
"1043","4","1","LAD"
"1044","3","4","NYY"
"1045","4","0","LAD"
"1046","3","4","NYY"
"1047","4","1","LAD"
"1048","4","0","LAD"
"1049","2","4","NYY"
"1050","3","4","NYY"
"1051","4","1","LAD"
"1052","4","3","LAD"
"1053","4","2","LAD"
"1054","3","4","NYY"
"1055","4","2","LAD"
"1056","4","2","LAD"
"1057","4","2","LAD"
"1058","4","2","LAD"
"1059","4","2","LAD"
"1060","4","2","LAD"
"1061","4","2","LAD"
"1062","4","2","LAD"
"1063","4","2","LAD"
"1064","2","4","NYY"
"1065","4","3","LAD"
"1066","4","2","LAD"
"1067","4","1","LAD"
"1068","2","4","NYY"
"1069","4","1","LAD"
"1070","4","3","LAD"
"1071","3","4","NYY"
"1072","4","1","LAD"
"1073","0","4","NYY"
"1074","4","2","LAD"
"1075","4","1","LAD"
"1076","4","1","LAD"
"1077","4","1","LAD"
"1078","4","1","LAD"
"1079","4","2","LAD"
"1080","4","1","LAD"
"1081","4","1","LAD"
"1082","4","0","LAD"
"1083","4","2","LAD"
"1084","4","1","LAD"
"1085","4","1","LAD"
"1086","4","1","LAD"
"1087","4","0","LAD"
"1088","1","4","NYY"
"1089","4","1","LAD"
"1090","4","1","LAD"
"1091","2","4","NYY"
"1092","4","1","LAD"
"1093","4","2","LAD"
"1094","4","1","LAD"
"1095","3","4","NYY"
"1096","4","2","LAD"
"1097","3","4","NYY"
"1098","4","3","LAD"
"1099","4","3","LAD"
"1100","4","2","LAD"
"1101","4","1","LAD"
"1102","4","3","LAD"
"1103","4","2","LAD"
"1104","4","1","LAD"
"1105","4","2","LAD"
"1106","4","0","LAD"
"1107","4","0","LAD"
"1108","2","4","NYY"
"1109","2","4","NYY"
"1110","3","4","NYY"
"1111","4","2","LAD"
"1112","4","0","LAD"
"1113","0","4","NYY"
"1114","4","0","LAD"
"1115","4","3","LAD"
"1116","4","3","LAD"
"1117","0","4","NYY"
"1118","4","1","LAD"
"1119","4","2","LAD"
"1120","2","4","NYY"
"1121","4","3","LAD"
"1122","4","0","LAD"
"1123","4","3","LAD"
"1124","4","1","LAD"
"1125","4","1","LAD"
"1126","4","0","LAD"
"1127","1","4","NYY"
"1128","4","1","LAD"
"1129","3","4","NYY"
"1130","4","0","LAD"
"1131","4","0","LAD"
"1132","4","3","LAD"
"1133","3","4","NYY"
"1134","4","1","LAD"
"1135","4","1","LAD"
"1136","3","4","NYY"
"1137","4","3","LAD"
"1138","4","1","LAD"
"1139","4","2","LAD"
"1140","4","3","LAD"
"1141","4","1","LAD"
"1142","3","4","NYY"
"1143","4","1","LAD"
"1144","4","3","LAD"
"1145","2","4","NYY"
"1146","4","2","LAD"
"1147","3","4","NYY"
"1148","4","3","LAD"
"1149","4","3","LAD"
"1150","4","3","LAD"
"1151","4","1","LAD"
