"","MIL","NYY","Champion"
"132","3","4","NYY"
"133","0","4","NYY"
"134","2","4","NYY"
"135","0","4","NYY"
"136","1","4","NYY"
"137","4","1","MIL"
"138","1","4","NYY"
"139","1","4","NYY"
"140","2","4","NYY"
"141","2","4","NYY"
"142","2","4","NYY"
"143","4","2","MIL"
"144","3","4","NYY"
"145","1","4","NYY"
"146","1","4","NYY"
"147","4","2","MIL"
"148","4","3","MIL"
"149","4","3","MIL"
"150","0","4","NYY"
"151","1","4","NYY"
"152","4","3","MIL"
"153","4","3","MIL"
"154","3","4","NYY"
"155","1","4","NYY"
"156","3","4","NYY"
"157","0","4","NYY"
"158","2","4","NYY"
"159","1","4","NYY"
"160","4","3","MIL"
"161","3","4","NYY"
"162","2","4","NYY"
"163","2","4","NYY"
"164","4","0","MIL"
"165","0","4","NYY"
"166","1","4","NYY"
"167","2","4","NYY"
"168","4","2","MIL"
"169","4","2","MIL"
"170","3","4","NYY"
"171","3","4","NYY"
"172","4","3","MIL"
"173","1","4","NYY"
"174","4","3","MIL"
"175","4","2","MIL"
"176","0","4","NYY"
"177","4","1","MIL"
"178","4","3","MIL"
"179","4","3","MIL"
"180","1","4","NYY"
"181","1","4","NYY"
"182","0","4","NYY"
"183","4","2","MIL"
"184","3","4","NYY"
"185","1","4","NYY"
"186","3","4","NYY"
"187","3","4","NYY"
"188","2","4","NYY"
"189","2","4","NYY"
"190","0","4","NYY"
"191","0","4","NYY"
"192","1","4","NYY"
"193","4","3","MIL"
"194","1","4","NYY"
"195","0","4","NYY"
"196","1","4","NYY"
"197","3","4","NYY"
"198","2","4","NYY"
"199","3","4","NYY"
"200","4","3","MIL"
"201","1","4","NYY"
"202","4","1","MIL"
"203","1","4","NYY"
"204","2","4","NYY"
"205","3","4","NYY"
"206","2","4","NYY"
"207","4","2","MIL"
"208","0","4","NYY"
"209","1","4","NYY"
"210","3","4","NYY"
"211","4","3","MIL"
"212","1","4","NYY"
"213","2","4","NYY"
"214","1","4","NYY"
"215","4","2","MIL"
"216","4","3","MIL"
"217","3","4","NYY"
"218","4","1","MIL"
"219","1","4","NYY"
"220","2","4","NYY"
"221","2","4","NYY"
"222","0","4","NYY"
"223","0","4","NYY"
"224","2","4","NYY"
"225","4","2","MIL"
"226","1","4","NYY"
"227","4","0","MIL"
"228","2","4","NYY"
"229","0","4","NYY"
"230","0","4","NYY"
"231","4","1","MIL"
"232","1","4","NYY"
"233","4","0","MIL"
"234","1","4","NYY"
"235","4","2","MIL"
"236","3","4","NYY"
"237","4","2","MIL"
"238","1","4","NYY"
"239","1","4","NYY"
"240","4","2","MIL"
"241","3","4","NYY"
"242","1","4","NYY"
"243","1","4","NYY"
"244","0","4","NYY"
"245","4","2","MIL"
"246","4","2","MIL"
"247","1","4","NYY"
"248","2","4","NYY"
"249","4","1","MIL"
"250","2","4","NYY"
"251","4","2","MIL"
"252","2","4","NYY"
"253","2","4","NYY"
"254","0","4","NYY"
"255","1","4","NYY"
"256","4","3","MIL"
"257","0","4","NYY"
"258","0","4","NYY"
"259","4","2","MIL"
"260","3","4","NYY"
"261","0","4","NYY"
"262","1","4","NYY"
"263","0","4","NYY"
"264","4","2","MIL"
"265","4","3","MIL"
"266","2","4","NYY"
"267","4","2","MIL"
"268","2","4","NYY"
"269","3","4","NYY"
"270","4","2","MIL"
"271","1","4","NYY"
"272","3","4","NYY"
"273","1","4","NYY"
"274","0","4","NYY"
"275","1","4","NYY"
"276","3","4","NYY"
"277","1","4","NYY"
"278","0","4","NYY"
"279","4","1","MIL"
"280","4","2","MIL"
"281","1","4","NYY"
"282","0","4","NYY"
"283","1","4","NYY"
"284","0","4","NYY"
"285","4","1","MIL"
"286","3","4","NYY"
"287","2","4","NYY"
"288","1","4","NYY"
"289","3","4","NYY"
"290","1","4","NYY"
"291","1","4","NYY"
"292","2","4","NYY"
"293","1","4","NYY"
"294","4","1","MIL"
"295","4","0","MIL"
"296","4","1","MIL"
"297","1","4","NYY"
"298","4","1","MIL"
"299","1","4","NYY"
"300","1","4","NYY"
"301","1","4","NYY"
"302","1","4","NYY"
"303","4","3","MIL"
"304","4","3","MIL"
"305","4","1","MIL"
"306","1","4","NYY"
"307","2","4","NYY"
"308","1","4","NYY"
"309","4","2","MIL"
"310","4","3","MIL"
"311","1","4","NYY"
"312","1","4","NYY"
"313","0","4","NYY"
"314","0","4","NYY"
"315","4","2","MIL"
"316","4","3","MIL"
"317","0","4","NYY"
"318","4","1","MIL"
"319","3","4","NYY"
"320","1","4","NYY"
"321","1","4","NYY"
"322","3","4","NYY"
"323","3","4","NYY"
"324","4","3","MIL"
"325","0","4","NYY"
"326","1","4","NYY"
"327","4","1","MIL"
"328","1","4","NYY"
"329","4","2","MIL"
"330","4","2","MIL"
"331","1","4","NYY"
"332","4","3","MIL"
"333","4","2","MIL"
"334","4","3","MIL"
"335","3","4","NYY"
"336","4","3","MIL"
"337","3","4","NYY"
"338","3","4","NYY"
"339","1","4","NYY"
"340","0","4","NYY"
"341","4","3","MIL"
"342","4","3","MIL"
"343","1","4","NYY"
"344","3","4","NYY"
"345","3","4","NYY"
"346","0","4","NYY"
"347","2","4","NYY"
"348","4","2","MIL"
"349","1","4","NYY"
"350","3","4","NYY"
"351","3","4","NYY"
"352","0","4","NYY"
"353","1","4","NYY"
"354","2","4","NYY"
"355","3","4","NYY"
"356","4","3","MIL"
"357","1","4","NYY"
"358","4","3","MIL"
"359","1","4","NYY"
"360","4","2","MIL"
"361","1","4","NYY"
"362","2","4","NYY"
"363","1","4","NYY"
"364","4","2","MIL"
"365","4","2","MIL"
"366","0","4","NYY"
"367","2","4","NYY"
"368","4","1","MIL"
"369","1","4","NYY"
"370","4","1","MIL"
"371","0","4","NYY"
"372","4","2","MIL"
"373","4","3","MIL"
"374","2","4","NYY"
"375","2","4","NYY"
"376","1","4","NYY"
"377","4","3","MIL"
"378","2","4","NYY"
"379","1","4","NYY"
"380","0","4","NYY"
"381","1","4","NYY"
"382","4","3","MIL"
"383","3","4","NYY"
"384","2","4","NYY"
"385","4","2","MIL"
"386","3","4","NYY"
"387","4","2","MIL"
"388","1","4","NYY"
"389","2","4","NYY"
"390","4","3","MIL"
"391","4","3","MIL"
"392","3","4","NYY"
"393","3","4","NYY"
"394","1","4","NYY"
"395","1","4","NYY"
"396","2","4","NYY"
"397","2","4","NYY"
"398","4","3","MIL"
"399","4","2","MIL"
"400","4","3","MIL"
"401","1","4","NYY"
"402","3","4","NYY"
"403","1","4","NYY"
"404","2","4","NYY"
"405","2","4","NYY"
"406","2","4","NYY"
"407","4","2","MIL"
"408","3","4","NYY"
"409","0","4","NYY"
"410","2","4","NYY"
"411","0","4","NYY"
"412","3","4","NYY"
"413","4","3","MIL"
"414","2","4","NYY"
"415","3","4","NYY"
"416","3","4","NYY"
"417","3","4","NYY"
"418","0","4","NYY"
"419","0","4","NYY"
"420","1","4","NYY"
"421","3","4","NYY"
"422","1","4","NYY"
"423","1","4","NYY"
"424","3","4","NYY"
"425","4","1","MIL"
"426","0","4","NYY"
"427","3","4","NYY"
"428","3","4","NYY"
"429","3","4","NYY"
"430","4","3","MIL"
"431","4","2","MIL"
"432","3","4","NYY"
"433","4","3","MIL"
"434","3","4","NYY"
"435","0","4","NYY"
"436","2","4","NYY"
"437","0","4","NYY"
"438","0","4","NYY"
"439","0","4","NYY"
"440","4","2","MIL"
"441","1","4","NYY"
"442","3","4","NYY"
"443","0","4","NYY"
"444","1","4","NYY"
"445","3","4","NYY"
"446","2","4","NYY"
"447","4","3","MIL"
"448","0","4","NYY"
"449","1","4","NYY"
"450","3","4","NYY"
"451","4","2","MIL"
"452","4","2","MIL"
"453","0","4","NYY"
"454","4","0","MIL"
"455","0","4","NYY"
"456","0","4","NYY"
"457","1","4","NYY"
"458","1","4","NYY"
"459","4","3","MIL"
"460","3","4","NYY"
"461","2","4","NYY"
"462","2","4","NYY"
"463","1","4","NYY"
"464","2","4","NYY"
"465","2","4","NYY"
"466","0","4","NYY"
"467","0","4","NYY"
"468","2","4","NYY"
"469","2","4","NYY"
"470","2","4","NYY"
"471","0","4","NYY"
"472","3","4","NYY"
"473","1","4","NYY"
"474","3","4","NYY"
"475","2","4","NYY"
"476","4","3","MIL"
"477","4","1","MIL"
"478","4","3","MIL"
"479","4","3","MIL"
"480","2","4","NYY"
"481","1","4","NYY"
"482","3","4","NYY"
"483","1","4","NYY"
"484","4","2","MIL"
"485","2","4","NYY"
"486","1","4","NYY"
"487","1","4","NYY"
"488","1","4","NYY"
"489","1","4","NYY"
"490","4","3","MIL"
"491","3","4","NYY"
"492","0","4","NYY"
"493","4","3","MIL"
"494","2","4","NYY"
"495","4","2","MIL"
"496","3","4","NYY"
"497","1","4","NYY"
"498","1","4","NYY"
"499","2","4","NYY"
"500","4","3","MIL"
"501","4","3","MIL"
"502","4","3","MIL"
"503","1","4","NYY"
"504","0","4","NYY"
"505","4","2","MIL"
"506","1","4","NYY"
"507","1","4","NYY"
"508","0","4","NYY"
"509","3","4","NYY"
"510","3","4","NYY"
"511","2","4","NYY"
"512","3","4","NYY"
"513","1","4","NYY"
"514","1","4","NYY"
"515","2","4","NYY"
"516","3","4","NYY"
"517","1","4","NYY"
"518","0","4","NYY"
"519","1","4","NYY"
"520","2","4","NYY"
"521","1","4","NYY"
"522","2","4","NYY"
"523","1","4","NYY"
"524","2","4","NYY"
"525","2","4","NYY"
"526","4","1","MIL"
"527","1","4","NYY"
"528","4","2","MIL"
"529","1","4","NYY"
"530","4","1","MIL"
"531","2","4","NYY"
"532","1","4","NYY"
"533","2","4","NYY"
"534","1","4","NYY"
"535","2","4","NYY"
"536","2","4","NYY"
"537","2","4","NYY"
"538","1","4","NYY"
"539","4","3","MIL"
"540","1","4","NYY"
"541","1","4","NYY"
"542","1","4","NYY"
"543","3","4","NYY"
"544","3","4","NYY"
"545","4","3","MIL"
"546","0","4","NYY"
"547","2","4","NYY"
"548","3","4","NYY"
"549","1","4","NYY"
"550","3","4","NYY"
"551","1","4","NYY"
"552","2","4","NYY"
"553","4","2","MIL"
"554","1","4","NYY"
"555","0","4","NYY"
"556","4","3","MIL"
"557","3","4","NYY"
"558","2","4","NYY"
"559","4","3","MIL"
"560","2","4","NYY"
"561","3","4","NYY"
"562","4","1","MIL"
"563","0","4","NYY"
"564","1","4","NYY"
"565","0","4","NYY"
"566","1","4","NYY"
"567","1","4","NYY"
"568","1","4","NYY"
"569","4","2","MIL"
"570","3","4","NYY"
"571","4","3","MIL"
"572","1","4","NYY"
"573","4","2","MIL"
"574","3","4","NYY"
"575","4","3","MIL"
"576","3","4","NYY"
"577","1","4","NYY"
"578","1","4","NYY"
"579","4","3","MIL"
"580","4","1","MIL"
"581","0","4","NYY"
"582","4","0","MIL"
"583","2","4","NYY"
"584","4","2","MIL"
"585","1","4","NYY"
"586","2","4","NYY"
"587","4","1","MIL"
"588","2","4","NYY"
"589","1","4","NYY"
"590","2","4","NYY"
"591","1","4","NYY"
"592","2","4","NYY"
"593","3","4","NYY"
"594","2","4","NYY"
"595","4","3","MIL"
"596","3","4","NYY"
"597","4","3","MIL"
"598","1","4","NYY"
"599","3","4","NYY"
"600","2","4","NYY"
"601","4","0","MIL"
"602","1","4","NYY"
"603","2","4","NYY"
"604","2","4","NYY"
"605","0","4","NYY"
"606","4","3","MIL"
"607","2","4","NYY"
"608","0","4","NYY"
"609","2","4","NYY"
"610","4","3","MIL"
"611","4","3","MIL"
"612","1","4","NYY"
"613","2","4","NYY"
"614","2","4","NYY"
"615","4","3","MIL"
"616","2","4","NYY"
"617","4","3","MIL"
"618","3","4","NYY"
"619","0","4","NYY"
"620","1","4","NYY"
"621","3","4","NYY"
"622","0","4","NYY"
"623","0","4","NYY"
"624","2","4","NYY"
"625","4","3","MIL"
"626","2","4","NYY"
"627","1","4","NYY"
"628","2","4","NYY"
"629","3","4","NYY"
"630","2","4","NYY"
"631","1","4","NYY"
"632","3","4","NYY"
"633","3","4","NYY"
"634","2","4","NYY"
"635","3","4","NYY"
"636","2","4","NYY"
"637","3","4","NYY"
"638","2","4","NYY"
"639","3","4","NYY"
"640","4","0","MIL"
"641","2","4","NYY"
"642","4","0","MIL"
"643","2","4","NYY"
"644","4","1","MIL"
"645","4","3","MIL"
"646","2","4","NYY"
"647","1","4","NYY"
"648","3","4","NYY"
"649","2","4","NYY"
"650","0","4","NYY"
"651","4","2","MIL"
"652","1","4","NYY"
"653","2","4","NYY"
"654","3","4","NYY"
"655","2","4","NYY"
"656","2","4","NYY"
"657","3","4","NYY"
"658","1","4","NYY"
"659","1","4","NYY"
"660","4","0","MIL"
"661","4","0","MIL"
"662","1","4","NYY"
"663","1","4","NYY"
"664","2","4","NYY"
"665","2","4","NYY"
"666","1","4","NYY"
"667","4","1","MIL"
"668","4","2","MIL"
"669","3","4","NYY"
"670","4","3","MIL"
"671","0","4","NYY"
"672","0","4","NYY"
"673","1","4","NYY"
"674","0","4","NYY"
"675","3","4","NYY"
"676","2","4","NYY"
"677","4","1","MIL"
"678","4","3","MIL"
"679","3","4","NYY"
"680","4","2","MIL"
"681","4","3","MIL"
"682","0","4","NYY"
"683","3","4","NYY"
"684","3","4","NYY"
"685","2","4","NYY"
"686","2","4","NYY"
"687","1","4","NYY"
"688","1","4","NYY"
"689","3","4","NYY"
"690","2","4","NYY"
"691","3","4","NYY"
"692","4","3","MIL"
"693","1","4","NYY"
"694","4","1","MIL"
"695","3","4","NYY"
"696","4","2","MIL"
"697","4","2","MIL"
"698","3","4","NYY"
"699","3","4","NYY"
"700","1","4","NYY"
"701","0","4","NYY"
"702","1","4","NYY"
"703","0","4","NYY"
"704","1","4","NYY"
"705","3","4","NYY"
"706","1","4","NYY"
"707","4","1","MIL"
"708","1","4","NYY"
"709","4","2","MIL"
"710","4","3","MIL"
"711","2","4","NYY"
"712","1","4","NYY"
"713","3","4","NYY"
"714","2","4","NYY"
"715","4","2","MIL"
"716","2","4","NYY"
"717","2","4","NYY"
"718","4","2","MIL"
"719","3","4","NYY"
"720","0","4","NYY"
"721","1","4","NYY"
"722","1","4","NYY"
"723","4","2","MIL"
"724","1","4","NYY"
"725","2","4","NYY"
"726","1","4","NYY"
"727","3","4","NYY"
"728","3","4","NYY"
"729","4","3","MIL"
"730","3","4","NYY"
"731","2","4","NYY"
"732","4","3","MIL"
"733","1","4","NYY"
"734","4","3","MIL"
"735","1","4","NYY"
"736","4","1","MIL"
"737","2","4","NYY"
"738","0","4","NYY"
"739","3","4","NYY"
"740","4","3","MIL"
"741","4","3","MIL"
"742","4","2","MIL"
"743","2","4","NYY"
"744","4","3","MIL"
"745","2","4","NYY"
"746","3","4","NYY"
"747","1","4","NYY"
"748","3","4","NYY"
"749","3","4","NYY"
"750","0","4","NYY"
"751","4","3","MIL"
"752","4","3","MIL"
"753","0","4","NYY"
"754","3","4","NYY"
"755","4","2","MIL"
"756","4","3","MIL"
"757","3","4","NYY"
"758","4","2","MIL"
"759","4","1","MIL"
"760","2","4","NYY"
"761","0","4","NYY"
"762","1","4","NYY"
"763","3","4","NYY"
"764","4","0","MIL"
"765","2","4","NYY"
"766","1","4","NYY"
"767","3","4","NYY"
"768","4","1","MIL"
"769","3","4","NYY"
"770","4","3","MIL"
"771","4","3","MIL"
"772","4","1","MIL"
"773","0","4","NYY"
"774","4","2","MIL"
"775","3","4","NYY"
"776","0","4","NYY"
"777","4","0","MIL"
"778","4","3","MIL"
"779","2","4","NYY"
"780","1","4","NYY"
"781","4","2","MIL"
"782","1","4","NYY"
"783","4","3","MIL"
"784","3","4","NYY"
"785","4","2","MIL"
"786","2","4","NYY"
"787","3","4","NYY"
"788","1","4","NYY"
"789","0","4","NYY"
"790","4","2","MIL"
"791","3","4","NYY"
"792","4","3","MIL"
"793","2","4","NYY"
"794","4","2","MIL"
"795","4","3","MIL"
"796","2","4","NYY"
"797","4","0","MIL"
"798","1","4","NYY"
"799","4","2","MIL"
"800","0","4","NYY"
"801","1","4","NYY"
"802","4","1","MIL"
"803","2","4","NYY"
"804","4","2","MIL"
"805","1","4","NYY"
"806","2","4","NYY"
"807","3","4","NYY"
"808","3","4","NYY"
"809","3","4","NYY"
"810","3","4","NYY"
"811","3","4","NYY"
"812","3","4","NYY"
"813","2","4","NYY"
"814","0","4","NYY"
"815","0","4","NYY"
"816","1","4","NYY"
"817","1","4","NYY"
"818","4","3","MIL"
"819","2","4","NYY"
"820","4","3","MIL"
"821","4","2","MIL"
"822","3","4","NYY"
"823","0","4","NYY"
"824","1","4","NYY"
"825","0","4","NYY"
"826","0","4","NYY"
"827","3","4","NYY"
"828","2","4","NYY"
"829","0","4","NYY"
"830","4","1","MIL"
"831","2","4","NYY"
"832","2","4","NYY"
"833","3","4","NYY"
"834","2","4","NYY"
"835","2","4","NYY"
"836","0","4","NYY"
"837","4","0","MIL"
"838","1","4","NYY"
"839","1","4","NYY"
"840","2","4","NYY"
"841","3","4","NYY"
"842","1","4","NYY"
"843","2","4","NYY"
"844","4","3","MIL"
"845","4","1","MIL"
"846","1","4","NYY"
"847","3","4","NYY"
"848","3","4","NYY"
"849","4","3","MIL"
"850","4","1","MIL"
"851","2","4","NYY"
"852","4","3","MIL"
"853","2","4","NYY"
"854","4","3","MIL"
"855","4","0","MIL"
"856","4","1","MIL"
"857","1","4","NYY"
"858","1","4","NYY"
"859","2","4","NYY"
"860","2","4","NYY"
"861","3","4","NYY"
"862","0","4","NYY"
"863","3","4","NYY"
"864","3","4","NYY"
"865","1","4","NYY"
"866","2","4","NYY"
"867","1","4","NYY"
"868","3","4","NYY"
"869","4","0","MIL"
"870","4","3","MIL"
"871","3","4","NYY"
"872","3","4","NYY"
"873","4","3","MIL"
"874","2","4","NYY"
"875","1","4","NYY"
"876","3","4","NYY"
"877","2","4","NYY"
"878","4","0","MIL"
"879","2","4","NYY"
"880","0","4","NYY"
"881","4","3","MIL"
"882","3","4","NYY"
"883","4","2","MIL"
"884","1","4","NYY"
"885","1","4","NYY"
"886","4","1","MIL"
"887","2","4","NYY"
"888","0","4","NYY"
"889","2","4","NYY"
"890","4","3","MIL"
"891","0","4","NYY"
"892","1","4","NYY"
"893","2","4","NYY"
"894","2","4","NYY"
"895","2","4","NYY"
"896","0","4","NYY"
"897","4","3","MIL"
"898","1","4","NYY"
"899","1","4","NYY"
"900","0","4","NYY"
"901","2","4","NYY"
"902","2","4","NYY"
"903","4","2","MIL"
"904","1","4","NYY"
"905","3","4","NYY"
"906","3","4","NYY"
"907","4","1","MIL"
"908","1","4","NYY"
"909","0","4","NYY"
"910","4","3","MIL"
"911","4","3","MIL"
"912","2","4","NYY"
"913","1","4","NYY"
"914","4","1","MIL"
"915","4","2","MIL"
"916","1","4","NYY"
"917","1","4","NYY"
"918","4","2","MIL"
"919","0","4","NYY"
"920","0","4","NYY"
"921","4","3","MIL"
"922","1","4","NYY"
"923","3","4","NYY"
"924","4","1","MIL"
"925","0","4","NYY"
"926","1","4","NYY"
"927","3","4","NYY"
"928","2","4","NYY"
"929","2","4","NYY"
"930","1","4","NYY"
"931","1","4","NYY"
"932","2","4","NYY"
"933","0","4","NYY"
"934","2","4","NYY"
"935","2","4","NYY"
"936","4","1","MIL"
"937","3","4","NYY"
"938","3","4","NYY"
"939","2","4","NYY"
"940","2","4","NYY"
"941","1","4","NYY"
"942","4","1","MIL"
"943","3","4","NYY"
"944","0","4","NYY"
"945","0","4","NYY"
"946","2","4","NYY"
"947","4","2","MIL"
"948","4","2","MIL"
"949","3","4","NYY"
"950","2","4","NYY"
"951","2","4","NYY"
"952","2","4","NYY"
"953","4","1","MIL"
"954","0","4","NYY"
"955","4","3","MIL"
"956","3","4","NYY"
"957","3","4","NYY"
"958","0","4","NYY"
"959","2","4","NYY"
"960","4","0","MIL"
"961","1","4","NYY"
"962","1","4","NYY"
"963","4","2","MIL"
"964","2","4","NYY"
"965","4","1","MIL"
"966","3","4","NYY"
"967","2","4","NYY"
"968","2","4","NYY"
"969","2","4","NYY"
"970","2","4","NYY"
"971","0","4","NYY"
"972","1","4","NYY"
"973","3","4","NYY"
"974","2","4","NYY"
"975","0","4","NYY"
"976","4","1","MIL"
"977","0","4","NYY"
"978","2","4","NYY"
"979","4","2","MIL"
"980","4","1","MIL"
"981","0","4","NYY"
"982","1","4","NYY"
"983","3","4","NYY"
"984","0","4","NYY"
"985","1","4","NYY"
"986","0","4","NYY"
"987","3","4","NYY"
"988","2","4","NYY"
"989","3","4","NYY"
"990","2","4","NYY"
"991","4","2","MIL"
"992","3","4","NYY"
"993","0","4","NYY"
"994","2","4","NYY"
"995","3","4","NYY"
"996","1","4","NYY"
"997","3","4","NYY"
"998","2","4","NYY"
"999","3","4","NYY"
"1000","4","0","MIL"
"1001","3","4","NYY"
"1002","0","4","NYY"
"1003","4","3","MIL"
"1004","1","4","NYY"
"1005","2","4","NYY"
"1006","0","4","NYY"
"1007","4","1","MIL"
"1008","1","4","NYY"
"1009","1","4","NYY"
"1010","0","4","NYY"
"1011","4","1","MIL"
"1012","3","4","NYY"
"1013","4","2","MIL"
"1014","3","4","NYY"
"1015","4","0","MIL"
"1016","1","4","NYY"
"1017","4","3","MIL"
"1018","4","2","MIL"
"1019","1","4","NYY"
"1020","2","4","NYY"
"1021","0","4","NYY"
"1022","0","4","NYY"
"1023","4","2","MIL"
"1024","2","4","NYY"
"1025","0","4","NYY"
"1026","0","4","NYY"
"1027","4","2","MIL"
"1028","2","4","NYY"
"1029","2","4","NYY"
"1030","3","4","NYY"
"1031","2","4","NYY"
"1032","3","4","NYY"
"1033","2","4","NYY"
"1034","3","4","NYY"
"1035","4","3","MIL"
"1036","3","4","NYY"
"1037","4","3","MIL"
"1038","2","4","NYY"
"1039","2","4","NYY"
"1040","1","4","NYY"
"1041","4","3","MIL"
"1042","1","4","NYY"
"1043","4","1","MIL"
"1044","0","4","NYY"
"1045","3","4","NYY"
"1046","4","3","MIL"
"1047","3","4","NYY"
"1048","2","4","NYY"
"1049","1","4","NYY"
"1050","2","4","NYY"
"1051","1","4","NYY"
"1052","2","4","NYY"
"1053","1","4","NYY"
"1054","0","4","NYY"
"1055","2","4","NYY"
"1056","3","4","NYY"
"1057","4","2","MIL"
"1058","2","4","NYY"
"1059","0","4","NYY"
"1060","4","3","MIL"
"1061","4","0","MIL"
"1062","2","4","NYY"
"1063","1","4","NYY"
"1064","1","4","NYY"
"1065","3","4","NYY"
"1066","1","4","NYY"
"1067","2","4","NYY"
"1068","4","1","MIL"
"1069","1","4","NYY"
"1070","3","4","NYY"
"1071","4","3","MIL"
"1072","2","4","NYY"
"1073","3","4","NYY"
"1074","4","2","MIL"
"1075","1","4","NYY"
"1076","2","4","NYY"
"1077","0","4","NYY"
"1078","3","4","NYY"
"1079","3","4","NYY"
"1080","2","4","NYY"
"1081","2","4","NYY"
"1082","4","0","MIL"
"1083","4","3","MIL"
"1084","0","4","NYY"
"1085","2","4","NYY"
"1086","2","4","NYY"
"1087","1","4","NYY"
"1088","2","4","NYY"
"1089","0","4","NYY"
"1090","4","2","MIL"
"1091","1","4","NYY"
"1092","3","4","NYY"
"1093","4","3","MIL"
"1094","4","3","MIL"
"1095","1","4","NYY"
"1096","0","4","NYY"
"1097","1","4","NYY"
"1098","4","3","MIL"
"1099","2","4","NYY"
"1100","3","4","NYY"
"1101","4","3","MIL"
"1102","1","4","NYY"
"1103","1","4","NYY"
"1104","2","4","NYY"
"1105","3","4","NYY"
"1106","0","4","NYY"
"1107","0","4","NYY"
"1108","4","3","MIL"
"1109","3","4","NYY"
"1110","1","4","NYY"
"1111","0","4","NYY"
"1112","4","1","MIL"
"1113","4","0","MIL"
"1114","0","4","NYY"
"1115","1","4","NYY"
"1116","0","4","NYY"
"1117","2","4","NYY"
"1118","0","4","NYY"
"1119","4","1","MIL"
"1120","4","2","MIL"
"1121","3","4","NYY"
"1122","0","4","NYY"
"1123","2","4","NYY"
"1124","3","4","NYY"
"1125","0","4","NYY"
"1126","2","4","NYY"
"1127","2","4","NYY"
"1128","1","4","NYY"
"1129","4","3","MIL"
"1130","2","4","NYY"
"1131","1","4","NYY"
"1132","0","4","NYY"
"1133","1","4","NYY"
"1134","1","4","NYY"
"1135","2","4","NYY"
"1136","0","4","NYY"
"1137","4","2","MIL"
"1138","2","4","NYY"
"1139","0","4","NYY"
"1140","3","4","NYY"
"1141","3","4","NYY"
"1142","4","3","MIL"
"1143","3","4","NYY"
"1144","4","3","MIL"
"1145","3","4","NYY"
"1146","4","2","MIL"
"1147","3","4","NYY"
"1148","4","2","MIL"
"1149","3","4","NYY"
"1150","0","4","NYY"
"1151","0","4","NYY"
