"","OAK","NYY","Series Winner"
"104","2","4","NYY"
"105","3","4","NYY"
"106","3","4","NYY"
"107","4","0","OAK"
"108","1","4","NYY"
"109","2","4","NYY"
"110","2","4","NYY"
"111","4","3","OAK"
"112","4","3","OAK"
"113","4","2","OAK"
"114","3","4","NYY"
"115","4","1","OAK"
"116","1","4","NYY"
"117","1","4","NYY"
"118","4","3","OAK"
"119","2","4","NYY"
"120","0","4","NYY"
"121","3","4","NYY"
"122","3","4","NYY"
"123","4","3","OAK"
"124","4","3","OAK"
"125","3","4","NYY"
"126","3","4","NYY"
"127","2","4","NYY"
"128","3","4","NYY"
"129","2","4","NYY"
"130","4","1","OAK"
"131","4","1","OAK"
"132","4","3","OAK"
"133","4","0","OAK"
"134","4","3","OAK"
"135","1","4","NYY"
"136","4","2","OAK"
"137","3","4","NYY"
"138","4","3","OAK"
"139","3","4","NYY"
"140","1","4","NYY"
"141","1","4","NYY"
"142","4","3","OAK"
"143","4","3","OAK"
"144","3","4","NYY"
"145","0","4","NYY"
"146","2","4","NYY"
"147","2","4","NYY"
"148","4","1","OAK"
"149","0","4","NYY"
"150","4","1","OAK"
"151","2","4","NYY"
"152","4","3","OAK"
"153","4","2","OAK"
"154","2","4","NYY"
"155","1","4","NYY"
"156","4","3","OAK"
"157","4","0","OAK"
"158","4","3","OAK"
"159","4","2","OAK"
"160","3","4","NYY"
"161","1","4","NYY"
"162","3","4","NYY"
"163","4","3","OAK"
"164","4","2","OAK"
"165","0","4","NYY"
"166","4","1","OAK"
"167","1","4","NYY"
"168","4","2","OAK"
"169","4","2","OAK"
"170","4","2","OAK"
"171","4","2","OAK"
"172","4","3","OAK"
"173","1","4","NYY"
"174","1","4","NYY"
"175","4","3","OAK"
"176","4","1","OAK"
"177","3","4","NYY"
"178","4","2","OAK"
"179","4","2","OAK"
"180","4","3","OAK"
"181","4","3","OAK"
"182","4","2","OAK"
"183","2","4","NYY"
"184","1","4","NYY"
"185","2","4","NYY"
"186","2","4","NYY"
"187","1","4","NYY"
"188","3","4","NYY"
"189","2","4","NYY"
"190","1","4","NYY"
"191","4","3","OAK"
"192","3","4","NYY"
"193","2","4","NYY"
"194","1","4","NYY"
"195","2","4","NYY"
"196","0","4","NYY"
"197","4","3","OAK"
"198","4","2","OAK"
"199","1","4","NYY"
"200","4","2","OAK"
"201","4","1","OAK"
"202","1","4","NYY"
"203","3","4","NYY"
"204","1","4","NYY"
"205","1","4","NYY"
"206","2","4","NYY"
"207","3","4","NYY"
"208","3","4","NYY"
"209","1","4","NYY"
"210","3","4","NYY"
"211","2","4","NYY"
"212","2","4","NYY"
"213","3","4","NYY"
"214","2","4","NYY"
"215","2","4","NYY"
"216","0","4","NYY"
"217","4","3","OAK"
"218","0","4","NYY"
"219","3","4","NYY"
"220","2","4","NYY"
"221","1","4","NYY"
"222","4","3","OAK"
"223","4","3","OAK"
"224","2","4","NYY"
"225","4","1","OAK"
"226","4","3","OAK"
"227","1","4","NYY"
"228","4","2","OAK"
"229","2","4","NYY"
"230","3","4","NYY"
"231","2","4","NYY"
"232","1","4","NYY"
"233","1","4","NYY"
"234","4","3","OAK"
"235","4","1","OAK"
"236","3","4","NYY"
"237","4","1","OAK"
"238","2","4","NYY"
"239","4","3","OAK"
"240","1","4","NYY"
"241","2","4","NYY"
"242","3","4","NYY"
"243","4","3","OAK"
"244","3","4","NYY"
"245","1","4","NYY"
"246","4","2","OAK"
"247","2","4","NYY"
"248","4","1","OAK"
"249","4","3","OAK"
"250","4","3","OAK"
"251","4","2","OAK"
"252","4","2","OAK"
"253","4","1","OAK"
"254","4","2","OAK"
"255","0","4","NYY"
"256","4","1","OAK"
"257","1","4","NYY"
"258","0","4","NYY"
"259","4","2","OAK"
"260","1","4","NYY"
"261","3","4","NYY"
"262","4","2","OAK"
"263","4","3","OAK"
"264","4","2","OAK"
"265","2","4","NYY"
"266","4","1","OAK"
"267","4","3","OAK"
"268","1","4","NYY"
"269","0","4","NYY"
"270","4","3","OAK"
"271","2","4","NYY"
"272","4","2","OAK"
"273","4","1","OAK"
"274","1","4","NYY"
"275","4","3","OAK"
"276","3","4","NYY"
"277","1","4","NYY"
"278","4","3","OAK"
"279","2","4","NYY"
"280","2","4","NYY"
"281","4","2","OAK"
"282","4","3","OAK"
"283","1","4","NYY"
"284","4","3","OAK"
"285","4","2","OAK"
"286","4","2","OAK"
"287","4","2","OAK"
"288","4","1","OAK"
"289","2","4","NYY"
"290","1","4","NYY"
"291","4","3","OAK"
"292","0","4","NYY"
"293","4","2","OAK"
"294","4","0","OAK"
"295","0","4","NYY"
"296","3","4","NYY"
"297","4","1","OAK"
"298","4","3","OAK"
"299","2","4","NYY"
"300","2","4","NYY"
"301","4","3","OAK"
"302","4","3","OAK"
"303","4","3","OAK"
"304","4","3","OAK"
"305","2","4","NYY"
"306","4","2","OAK"
"307","2","4","NYY"
"308","4","2","OAK"
"309","1","4","NYY"
"310","4","3","OAK"
"311","3","4","NYY"
"312","2","4","NYY"
"313","1","4","NYY"
"314","2","4","NYY"
"315","4","0","OAK"
"316","4","2","OAK"
"317","1","4","NYY"
"318","1","4","NYY"
"319","3","4","NYY"
"320","2","4","NYY"
"321","4","0","OAK"
"322","0","4","NYY"
"323","3","4","NYY"
"324","2","4","NYY"
"325","4","2","OAK"
"326","4","2","OAK"
"327","2","4","NYY"
"328","1","4","NYY"
"329","1","4","NYY"
"330","2","4","NYY"
"331","4","2","OAK"
"332","0","4","NYY"
"333","4","0","OAK"
"334","1","4","NYY"
"335","4","3","OAK"
"336","4","2","OAK"
"337","4","2","OAK"
"338","3","4","NYY"
"339","2","4","NYY"
"340","4","0","OAK"
"341","3","4","NYY"
"342","4","3","OAK"
"343","0","4","NYY"
"344","4","1","OAK"
"345","0","4","NYY"
"346","1","4","NYY"
"347","1","4","NYY"
"348","0","4","NYY"
"349","4","3","OAK"
"350","4","1","OAK"
"351","4","2","OAK"
"352","4","1","OAK"
"353","0","4","NYY"
"354","4","2","OAK"
"355","1","4","NYY"
"356","2","4","NYY"
"357","4","3","OAK"
"358","2","4","NYY"
"359","2","4","NYY"
"360","2","4","NYY"
"361","3","4","NYY"
"362","1","4","NYY"
"363","4","3","OAK"
"364","4","3","OAK"
"365","3","4","NYY"
"366","0","4","NYY"
"367","0","4","NYY"
"368","4","3","OAK"
"369","2","4","NYY"
"370","2","4","NYY"
"371","1","4","NYY"
"372","3","4","NYY"
"373","4","1","OAK"
"374","0","4","NYY"
"375","4","3","OAK"
"376","4","3","OAK"
"377","4","3","OAK"
"378","3","4","NYY"
"379","0","4","NYY"
"380","1","4","NYY"
"381","0","4","NYY"
"382","3","4","NYY"
"383","4","2","OAK"
"384","4","2","OAK"
"385","1","4","NYY"
"386","4","2","OAK"
"387","2","4","NYY"
"388","4","2","OAK"
"389","2","4","NYY"
"390","4","0","OAK"
"391","4","0","OAK"
"392","3","4","NYY"
"393","0","4","NYY"
"394","2","4","NYY"
"395","1","4","NYY"
"396","4","1","OAK"
"397","4","2","OAK"
"398","4","2","OAK"
"399","2","4","NYY"
"400","0","4","NYY"
"401","4","2","OAK"
"402","0","4","NYY"
"403","2","4","NYY"
"404","4","3","OAK"
"405","4","3","OAK"
"406","4","1","OAK"
"407","4","1","OAK"
"408","3","4","NYY"
"409","3","4","NYY"
"410","3","4","NYY"
"411","1","4","NYY"
"412","3","4","NYY"
"413","4","1","OAK"
"414","3","4","NYY"
"415","2","4","NYY"
"416","0","4","NYY"
"417","1","4","NYY"
"418","4","2","OAK"
"419","1","4","NYY"
"420","1","4","NYY"
"421","3","4","NYY"
"422","0","4","NYY"
"423","0","4","NYY"
"424","0","4","NYY"
"425","4","1","OAK"
"426","0","4","NYY"
"427","4","3","OAK"
"428","4","3","OAK"
"429","1","4","NYY"
"430","1","4","NYY"
"431","4","1","OAK"
"432","4","1","OAK"
"433","1","4","NYY"
"434","4","3","OAK"
"435","1","4","NYY"
"436","4","2","OAK"
"437","4","1","OAK"
"438","3","4","NYY"
"439","2","4","NYY"
"440","4","2","OAK"
"441","1","4","NYY"
"442","2","4","NYY"
"443","0","4","NYY"
"444","2","4","NYY"
"445","4","3","OAK"
"446","1","4","NYY"
"447","4","1","OAK"
"448","4","3","OAK"
"449","2","4","NYY"
"450","2","4","NYY"
"451","4","1","OAK"
"452","1","4","NYY"
"453","3","4","NYY"
"454","4","2","OAK"
"455","2","4","NYY"
"456","2","4","NYY"
"457","4","0","OAK"
"458","4","2","OAK"
"459","2","4","NYY"
"460","2","4","NYY"
"461","4","1","OAK"
"462","1","4","NYY"
"463","4","0","OAK"
"464","2","4","NYY"
"465","4","3","OAK"
"466","4","3","OAK"
"467","1","4","NYY"
"468","2","4","NYY"
"469","2","4","NYY"
"470","4","3","OAK"
"471","4","3","OAK"
"472","4","1","OAK"
"473","1","4","NYY"
"474","2","4","NYY"
"475","4","3","OAK"
"476","1","4","NYY"
"477","4","1","OAK"
"478","4","1","OAK"
"479","1","4","NYY"
"480","2","4","NYY"
"481","4","3","OAK"
"482","4","2","OAK"
"483","4","0","OAK"
"484","0","4","NYY"
"485","4","3","OAK"
"486","3","4","NYY"
"487","4","1","OAK"
"488","4","2","OAK"
"489","3","4","NYY"
"490","4","3","OAK"
"491","1","4","NYY"
"492","4","3","OAK"
"493","0","4","NYY"
"494","4","2","OAK"
"495","1","4","NYY"
"496","3","4","NYY"
"497","4","3","OAK"
"498","2","4","NYY"
"499","0","4","NYY"
"500","0","4","NYY"
"501","2","4","NYY"
"502","2","4","NYY"
"503","4","2","OAK"
"504","4","3","OAK"
"505","4","2","OAK"
"506","4","2","OAK"
"507","2","4","NYY"
"508","4","2","OAK"
"509","4","2","OAK"
"510","4","3","OAK"
"511","3","4","NYY"
"512","4","0","OAK"
"513","4","1","OAK"
"514","4","3","OAK"
"515","2","4","NYY"
"516","2","4","NYY"
"517","3","4","NYY"
"518","1","4","NYY"
"519","2","4","NYY"
"520","1","4","NYY"
"521","1","4","NYY"
"522","4","3","OAK"
"523","4","2","OAK"
"524","4","3","OAK"
"525","2","4","NYY"
"526","4","0","OAK"
"527","4","2","OAK"
"528","1","4","NYY"
"529","4","3","OAK"
"530","2","4","NYY"
"531","3","4","NYY"
"532","1","4","NYY"
"533","4","2","OAK"
"534","4","2","OAK"
"535","4","2","OAK"
"536","1","4","NYY"
"537","4","2","OAK"
"538","4","1","OAK"
"539","0","4","NYY"
"540","4","1","OAK"
"541","4","1","OAK"
"542","2","4","NYY"
"543","2","4","NYY"
"544","4","0","OAK"
"545","4","3","OAK"
"546","4","3","OAK"
"547","3","4","NYY"
"548","2","4","NYY"
"549","1","4","NYY"
"550","3","4","NYY"
"551","2","4","NYY"
"552","3","4","NYY"
"553","4","3","OAK"
"554","4","2","OAK"
"555","2","4","NYY"
"556","4","1","OAK"
"557","4","3","OAK"
"558","2","4","NYY"
"559","4","3","OAK"
"560","4","2","OAK"
"561","4","1","OAK"
"562","0","4","NYY"
"563","3","4","NYY"
"564","2","4","NYY"
"565","4","3","OAK"
"566","4","3","OAK"
"567","4","3","OAK"
"568","1","4","NYY"
"569","0","4","NYY"
"570","3","4","NYY"
"571","4","1","OAK"
"572","1","4","NYY"
"573","4","3","OAK"
"574","1","4","NYY"
"575","3","4","NYY"
"576","4","2","OAK"
"577","4","1","OAK"
"578","4","2","OAK"
"579","2","4","NYY"
"580","1","4","NYY"
"581","4","3","OAK"
"582","4","2","OAK"
"583","2","4","NYY"
"584","4","3","OAK"
"585","4","3","OAK"
"586","1","4","NYY"
"587","1","4","NYY"
"588","4","3","OAK"
"589","2","4","NYY"
"590","2","4","NYY"
"591","4","3","OAK"
"592","4","0","OAK"
"593","0","4","NYY"
"594","2","4","NYY"
"595","3","4","NYY"
"596","4","3","OAK"
"597","3","4","NYY"
"598","1","4","NYY"
"599","0","4","NYY"
"600","4","2","OAK"
"601","3","4","NYY"
"602","1","4","NYY"
"603","3","4","NYY"
"604","4","3","OAK"
"605","4","1","OAK"
"606","2","4","NYY"
"607","1","4","NYY"
"608","3","4","NYY"
"609","4","2","OAK"
"610","4","3","OAK"
"611","4","0","OAK"
"612","4","1","OAK"
"613","3","4","NYY"
"614","4","1","OAK"
"615","1","4","NYY"
"616","2","4","NYY"
"617","4","2","OAK"
"618","4","3","OAK"
"619","4","0","OAK"
"620","4","1","OAK"
"621","4","3","OAK"
"622","4","1","OAK"
"623","3","4","NYY"
"624","4","1","OAK"
"625","4","1","OAK"
"626","1","4","NYY"
"627","2","4","NYY"
"628","2","4","NYY"
"629","1","4","NYY"
"630","4","1","OAK"
"631","1","4","NYY"
"632","4","1","OAK"
"633","4","1","OAK"
"634","4","3","OAK"
"635","0","4","NYY"
"636","4","1","OAK"
"637","4","2","OAK"
"638","4","0","OAK"
"639","2","4","NYY"
"640","2","4","NYY"
"641","4","3","OAK"
"642","4","3","OAK"
"643","1","4","NYY"
"644","3","4","NYY"
"645","4","3","OAK"
"646","4","1","OAK"
"647","2","4","NYY"
"648","3","4","NYY"
"649","3","4","NYY"
"650","4","2","OAK"
"651","4","1","OAK"
"652","3","4","NYY"
"653","4","3","OAK"
"654","4","0","OAK"
"655","1","4","NYY"
"656","2","4","NYY"
"657","4","2","OAK"
"658","4","2","OAK"
"659","2","4","NYY"
"660","3","4","NYY"
"661","0","4","NYY"
"662","4","3","OAK"
"663","3","4","NYY"
"664","2","4","NYY"
"665","4","3","OAK"
"666","4","2","OAK"
"667","3","4","NYY"
"668","3","4","NYY"
"669","4","3","OAK"
"670","2","4","NYY"
"671","4","3","OAK"
"672","4","1","OAK"
"673","1","4","NYY"
"674","3","4","NYY"
"675","0","4","NYY"
"676","3","4","NYY"
"677","4","2","OAK"
"678","2","4","NYY"
"679","3","4","NYY"
"680","1","4","NYY"
"681","1","4","NYY"
"682","3","4","NYY"
"683","4","3","OAK"
"684","0","4","NYY"
"685","4","3","OAK"
"686","3","4","NYY"
"687","0","4","NYY"
"688","4","3","OAK"
"689","4","1","OAK"
"690","0","4","NYY"
"691","1","4","NYY"
"692","3","4","NYY"
"693","1","4","NYY"
"694","1","4","NYY"
"695","4","0","OAK"
"696","3","4","NYY"
"697","4","2","OAK"
"698","2","4","NYY"
"699","1","4","NYY"
"700","3","4","NYY"
"701","4","1","OAK"
"702","4","2","OAK"
"703","0","4","NYY"
"704","4","1","OAK"
"705","3","4","NYY"
"706","4","2","OAK"
"707","4","2","OAK"
"708","3","4","NYY"
"709","4","2","OAK"
"710","4","2","OAK"
"711","2","4","NYY"
"712","0","4","NYY"
"713","2","4","NYY"
"714","4","3","OAK"
"715","4","0","OAK"
"716","4","0","OAK"
"717","4","2","OAK"
"718","4","2","OAK"
"719","2","4","NYY"
"720","1","4","NYY"
"721","4","0","OAK"
"722","0","4","NYY"
"723","4","1","OAK"
"724","4","3","OAK"
"725","2","4","NYY"
"726","2","4","NYY"
"727","4","1","OAK"
"728","4","0","OAK"
"729","0","4","NYY"
"730","4","1","OAK"
"731","0","4","NYY"
"732","4","2","OAK"
"733","4","3","OAK"
"734","1","4","NYY"
"735","4","2","OAK"
"736","4","1","OAK"
"737","4","2","OAK"
"738","2","4","NYY"
"739","4","3","OAK"
"740","3","4","NYY"
"741","2","4","NYY"
"742","3","4","NYY"
"743","4","1","OAK"
"744","4","1","OAK"
"745","2","4","NYY"
"746","3","4","NYY"
"747","1","4","NYY"
"748","1","4","NYY"
"749","4","3","OAK"
"750","4","1","OAK"
"751","4","1","OAK"
"752","4","2","OAK"
"753","1","4","NYY"
"754","4","2","OAK"
"755","1","4","NYY"
"756","3","4","NYY"
"757","3","4","NYY"
"758","4","2","OAK"
"759","3","4","NYY"
"760","2","4","NYY"
"761","4","1","OAK"
"762","4","3","OAK"
"763","4","3","OAK"
"764","2","4","NYY"
"765","4","2","OAK"
"766","4","2","OAK"
"767","4","3","OAK"
"768","4","0","OAK"
"769","1","4","NYY"
"770","4","3","OAK"
"771","3","4","NYY"
"772","4","3","OAK"
"773","3","4","NYY"
"774","0","4","NYY"
"775","4","3","OAK"
"776","4","0","OAK"
"777","4","2","OAK"
"778","2","4","NYY"
"779","4","3","OAK"
"780","4","2","OAK"
"781","2","4","NYY"
"782","3","4","NYY"
"783","4","0","OAK"
"784","3","4","NYY"
"785","1","4","NYY"
"786","3","4","NYY"
"787","4","1","OAK"
"788","1","4","NYY"
"789","4","0","OAK"
"790","1","4","NYY"
"791","4","3","OAK"
"792","4","1","OAK"
"793","2","4","NYY"
"794","4","3","OAK"
"795","4","3","OAK"
"796","0","4","NYY"
"797","4","3","OAK"
"798","3","4","NYY"
"799","4","1","OAK"
"800","2","4","NYY"
"801","1","4","NYY"
"802","4","0","OAK"
"803","4","2","OAK"
"804","2","4","NYY"
"805","3","4","NYY"
"806","4","3","OAK"
"807","2","4","NYY"
"808","1","4","NYY"
"809","4","3","OAK"
"810","4","1","OAK"
"811","1","4","NYY"
"812","4","2","OAK"
"813","2","4","NYY"
"814","4","3","OAK"
"815","4","1","OAK"
"816","4","3","OAK"
"817","4","3","OAK"
"818","4","3","OAK"
"819","4","0","OAK"
"820","4","2","OAK"
"821","4","1","OAK"
"822","2","4","NYY"
"823","2","4","NYY"
"824","2","4","NYY"
"825","4","1","OAK"
"826","4","1","OAK"
"827","4","2","OAK"
"828","4","3","OAK"
"829","4","3","OAK"
"830","4","3","OAK"
"831","1","4","NYY"
"832","1","4","NYY"
"833","4","2","OAK"
"834","4","2","OAK"
"835","4","2","OAK"
"836","2","4","NYY"
"837","4","3","OAK"
"838","4","1","OAK"
"839","0","4","NYY"
"840","3","4","NYY"
"841","3","4","NYY"
"842","3","4","NYY"
"843","1","4","NYY"
"844","1","4","NYY"
"845","4","2","OAK"
"846","4","2","OAK"
"847","1","4","NYY"
"848","4","3","OAK"
"849","4","3","OAK"
"850","1","4","NYY"
"851","2","4","NYY"
"852","1","4","NYY"
"853","1","4","NYY"
"854","4","3","OAK"
"855","1","4","NYY"
"856","4","1","OAK"
"857","4","2","OAK"
"858","0","4","NYY"
"859","3","4","NYY"
"860","2","4","NYY"
"861","4","3","OAK"
"862","4","2","OAK"
"863","3","4","NYY"
"864","1","4","NYY"
"865","2","4","NYY"
"866","3","4","NYY"
"867","1","4","NYY"
"868","4","2","OAK"
"869","1","4","NYY"
"870","4","2","OAK"
"871","4","3","OAK"
"872","2","4","NYY"
"873","1","4","NYY"
"874","2","4","NYY"
"875","4","3","OAK"
"876","2","4","NYY"
"877","4","0","OAK"
"878","4","3","OAK"
"879","4","3","OAK"
"880","0","4","NYY"
"881","4","2","OAK"
"882","1","4","NYY"
"883","2","4","NYY"
"884","2","4","NYY"
"885","2","4","NYY"
"886","2","4","NYY"
"887","4","3","OAK"
"888","4","2","OAK"
"889","4","0","OAK"
"890","1","4","NYY"
"891","4","3","OAK"
"892","4","2","OAK"
"893","1","4","NYY"
"894","0","4","NYY"
"895","4","0","OAK"
"896","3","4","NYY"
"897","1","4","NYY"
"898","4","1","OAK"
"899","1","4","NYY"
"900","4","2","OAK"
"901","3","4","NYY"
"902","3","4","NYY"
"903","1","4","NYY"
"904","2","4","NYY"
"905","2","4","NYY"
"906","4","2","OAK"
"907","4","3","OAK"
"908","1","4","NYY"
"909","3","4","NYY"
"910","4","3","OAK"
"911","3","4","NYY"
"912","3","4","NYY"
"913","4","3","OAK"
"914","1","4","NYY"
"915","1","4","NYY"
"916","0","4","NYY"
"917","1","4","NYY"
"918","3","4","NYY"
"919","3","4","NYY"
"920","4","1","OAK"
"921","4","1","OAK"
"922","3","4","NYY"
"923","3","4","NYY"
"924","4","2","OAK"
"925","4","1","OAK"
"926","4","2","OAK"
"927","2","4","NYY"
"928","1","4","NYY"
"929","4","0","OAK"
"930","4","1","OAK"
"931","4","2","OAK"
"932","4","1","OAK"
"933","4","3","OAK"
"934","4","3","OAK"
"935","0","4","NYY"
"936","1","4","NYY"
"937","2","4","NYY"
"938","1","4","NYY"
"939","4","2","OAK"
"940","1","4","NYY"
"941","2","4","NYY"
"942","4","3","OAK"
"943","2","4","NYY"
"944","1","4","NYY"
"945","3","4","NYY"
"946","1","4","NYY"
"947","4","1","OAK"
"948","2","4","NYY"
"949","1","4","NYY"
"950","4","2","OAK"
"951","1","4","NYY"
"952","3","4","NYY"
"953","4","2","OAK"
"954","1","4","NYY"
"955","3","4","NYY"
"956","3","4","NYY"
"957","4","0","OAK"
"958","4","2","OAK"
"959","3","4","NYY"
"960","0","4","NYY"
"961","4","3","OAK"
"962","1","4","NYY"
"963","4","1","OAK"
"964","0","4","NYY"
"965","3","4","NYY"
"966","0","4","NYY"
"967","2","4","NYY"
"968","4","2","OAK"
"969","1","4","NYY"
"970","4","2","OAK"
"971","4","3","OAK"
"972","4","3","OAK"
"973","4","3","OAK"
"974","1","4","NYY"
"975","3","4","NYY"
"976","2","4","NYY"
"977","3","4","NYY"
"978","2","4","NYY"
"979","3","4","NYY"
"980","4","3","OAK"
"981","4","1","OAK"
"982","4","3","OAK"
"983","2","4","NYY"
"984","0","4","NYY"
"985","4","1","OAK"
"986","1","4","NYY"
"987","2","4","NYY"
"988","4","3","OAK"
"989","3","4","NYY"
"990","0","4","NYY"
"991","3","4","NYY"
"992","4","3","OAK"
"993","2","4","NYY"
"994","3","4","NYY"
"995","3","4","NYY"
"996","4","1","OAK"
"997","4","3","OAK"
"998","2","4","NYY"
"999","2","4","NYY"
"1000","1","4","NYY"
"1001","1","4","NYY"
"1002","4","3","OAK"
"1003","3","4","NYY"
"1004","1","4","NYY"
"1005","4","3","OAK"
"1006","1","4","NYY"
"1007","2","4","NYY"
"1008","0","4","NYY"
"1009","1","4","NYY"
"1010","3","4","NYY"
"1011","4","0","OAK"
"1012","4","0","OAK"
"1013","4","2","OAK"
"1014","4","2","OAK"
"1015","4","3","OAK"
"1016","2","4","NYY"
"1017","4","1","OAK"
"1018","3","4","NYY"
"1019","3","4","NYY"
"1020","4","1","OAK"
"1021","4","1","OAK"
"1022","4","2","OAK"
"1023","1","4","NYY"
"1024","4","3","OAK"
"1025","4","2","OAK"
"1026","3","4","NYY"
"1027","4","1","OAK"
"1028","4","3","OAK"
"1029","3","4","NYY"
"1030","4","0","OAK"
"1031","4","3","OAK"
"1032","1","4","NYY"
"1033","4","3","OAK"
"1034","2","4","NYY"
"1035","1","4","NYY"
"1036","4","3","OAK"
"1037","0","4","NYY"
"1038","0","4","NYY"
"1039","2","4","NYY"
"1040","4","2","OAK"
"1041","2","4","NYY"
"1042","2","4","NYY"
"1043","4","3","OAK"
"1044","0","4","NYY"
"1045","2","4","NYY"
"1046","4","3","OAK"
"1047","4","1","OAK"
"1048","4","3","OAK"
"1049","2","4","NYY"
"1050","4","2","OAK"
"1051","4","2","OAK"
"1052","4","3","OAK"
"1053","4","1","OAK"
"1054","1","4","NYY"
"1055","3","4","NYY"
"1056","3","4","NYY"
"1057","3","4","NYY"
"1058","4","2","OAK"
"1059","3","4","NYY"
"1060","1","4","NYY"
"1061","4","3","OAK"
"1062","3","4","NYY"
"1063","3","4","NYY"
"1064","2","4","NYY"
"1065","4","1","OAK"
"1066","4","3","OAK"
"1067","1","4","NYY"
"1068","4","2","OAK"
"1069","1","4","NYY"
"1070","4","2","OAK"
"1071","3","4","NYY"
"1072","1","4","NYY"
"1073","2","4","NYY"
"1074","4","3","OAK"
"1075","4","1","OAK"
"1076","3","4","NYY"
"1077","1","4","NYY"
"1078","4","3","OAK"
"1079","3","4","NYY"
"1080","4","2","OAK"
"1081","4","2","OAK"
"1082","2","4","NYY"
"1083","1","4","NYY"
"1084","4","0","OAK"
"1085","1","4","NYY"
"1086","2","4","NYY"
"1087","4","1","OAK"
"1088","4","0","OAK"
"1089","4","3","OAK"
"1090","4","2","OAK"
"1091","4","1","OAK"
"1092","1","4","NYY"
"1093","4","3","OAK"
"1094","3","4","NYY"
"1095","4","1","OAK"
"1096","2","4","NYY"
"1097","3","4","NYY"
"1098","1","4","NYY"
"1099","4","3","OAK"
"1100","4","3","OAK"
"1101","1","4","NYY"
"1102","3","4","NYY"
"1103","2","4","NYY"
"1104","2","4","NYY"
"1105","1","4","NYY"
"1106","4","3","OAK"
"1107","4","3","OAK"
"1108","4","3","OAK"
"1109","2","4","NYY"
"1110","0","4","NYY"
"1111","4","0","OAK"
"1112","0","4","NYY"
"1113","4","1","OAK"
"1114","3","4","NYY"
"1115","1","4","NYY"
"1116","1","4","NYY"
"1117","4","3","OAK"
"1118","0","4","NYY"
"1119","4","3","OAK"
"1120","4","2","OAK"
"1121","3","4","NYY"
"1122","2","4","NYY"
"1123","4","1","OAK"
"1124","1","4","NYY"
"1125","3","4","NYY"
"1126","4","1","OAK"
"1127","1","4","NYY"
"1128","4","3","OAK"
"1129","2","4","NYY"
"1130","4","2","OAK"
"1131","3","4","NYY"
"1132","2","4","NYY"
"1133","3","4","NYY"
"1134","4","3","OAK"
"1135","2","4","NYY"
"1136","3","4","NYY"
"1137","2","4","NYY"
"1138","4","2","OAK"
"1139","3","4","NYY"
"1140","4","3","OAK"
"1141","2","4","NYY"
"1142","4","0","OAK"
"1143","2","4","NYY"
"1144","1","4","NYY"
"1145","4","2","OAK"
"1146","4","2","OAK"
"1147","4","3","OAK"
"1148","4","3","OAK"
"1149","2","4","NYY"
"1150","2","4","NYY"
"1151","4","0","OAK"
