Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,
16,IF,Mike Brosseau\brossmi01,25,50,142,132,17,36,7,0,6,16,1,0,7,39,0.273,0.319,0.462,0.781,106,61,3,2,1,0,0,TBR
17,2B,Eric Sogard*\sogarer01,33,37,119,109,14,29,6,0,3,10,2,0,9,16,0.266,0.328,0.404,0.731,96,44,2,1,0,0,2,TBR
18,DH,Jesus Aguilar\aguilje01,29,37,107,92,13,24,3,0,4,16,0,0,12,22,0.261,0.336,0.424,0.76,103,39,1,0,0,3,0,TBR
19,3B,Christian Arroyo\arroych01,24,16,57,50,8,11,2,0,2,7,0,0,5,18,0.22,0.304,0.38,0.684,83,19,0,1,1,0,0,TBR
20,C,Michael Perez*\perezmi03,26,22,55,46,6,10,5,0,0,2,0,0,8,19,0.217,0.345,0.326,0.672,83,15,0,1,0,0,0,TBR
21,C,Erik Kratz\kratzer01,39,6,17,17,0,1,0,0,0,0,0,0,0,8,0.059,0.059,0.059,0.118,-68,1,0,0,0,0,0,TBR
22,UT,Kean Wong*\wongke01,24,6,14,14,1,3,0,0,0,0,0,1,0,5,0.214,0.214,0.214,0.429,16,3,0,0,0,0,0,TBR
23,UT,Andrew Velazquez#\velazan01,24,10,12,12,2,1,1,0,0,0,0,0,0,6,0.083,0.083,0.167,0.25,-36,2,0,0,0,0,0,TBR
24,C,Nick Ciuffo*\ciuffni01,24,3,6,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,-9,1,0,0,0,0,0,TBR
25,C,Anthony Bemboom*\bemboan01,29,3,5,5,0,2,1,0,0,1,0,0,0,2,0.4,0.4,0.6,1,163,3,0,0,0,0,0,TBR
26,OF,Johnny Davis#\davisjo06,29,8,4,4,5,1,0,1,0,0,0,0,0,2,0.25,0.25,0.75,1,151,3,0,0,0,0,0,TBR
27,P,Brendan McKay*\mckaybr01,23,7,11,10,2,2,0,0,1,1,0,0,1,2,0.2,0.273,0.5,0.773,101,5,1,0,0,0,0,TBR
28,P,Jalen Beeks*\beeksja02,25,4,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,TBR
29,P,Yonny Chirinos\chiriyo01,25,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,TBR
30,P,Tyler Glasnow*\glasnty01,25,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,TBR
31,P,Charlie Morton\mortoch02,35,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,TBR
32,P,Diego Castillo\castidi01,25,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,TBR
33,P,Emilio Pagan*\paganem01,28,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,TBR
34,P,Austin Pruitt\pruitau01,29,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,TBR
35,P,Oliver Drake\drakeol01,32,3,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,2,444,1,0,0,0,0,0,TBR
36,P,Trevor Richards\richatr01,26,0,0,,,,,,,,,,,,,,,,,,,,,,,TBR
37,P,Andrew Kittredge\kittran01,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
38,P,Ian Gibaut\gibauia01,25,0,0,,,,,,,,,,,,,,,,,,,,,,,TBR
39,P,Peter Fairbanks\fairbpe01,25,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
40,P,Jake Faria\fariaja01,25,0,0,,,,,,,,,,,,,,,,,,,,,,,TBR
41,P,Anthony Banda*\bandaan01,25,0,0,,,,,,,,,,,,,,,,,,,,,,,TBR
42,P,Hoby Milner*\milneho01,28,0,0,,,,,,,,,,,,,,,,,,,,,,,TBR
43,P,Aaron Slegers\slegeaa01,26,0,0,,,,,,,,,,,,,,,,,,,,,,,TBR
44,P,Chaz Roe\roech01,32,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
45,P,Colin Poche*\pocheco01,25,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
46,P,Blake Snell*\snellbl01,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
47,P,Wilmer Font\fontwi01,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
48,P,Ryne Stanek\stanery01,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
49,P,Hunter Wood\woodhu01,25,0,0,,,,,,,,,,,,,,,,,,,,,,,TBR
50,P,Casey Sadler\sadleca02,28,0,0,,,,,,,,,,,,,,,,,,,,,,,TBR
51,P,Ricardo Pinto\pintori01,25,0,0,,,,,,,,,,,,,,,,,,,,,,,TBR
52,P,Adam Kolarek*\kolarad01,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
53,P,Ryan Yarbrough\yarbrry01,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
54,P,Jose De Leon\deleojo03,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
55,P,Nick Anderson\anderni01,28,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
56,P,Jose Alvarado*\alvarjo03,24,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
57,P,Cole Sulser\sulseco01,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,TBR
,,Team Totals,27.3,162,6285,5628,769,1427,291,29,217,730,94,37,542,1493,0.254,0.325,0.431,0.757,101,2427,114,73,8,34,20,TBR
,,Rank in 15 AL teams,,,,3,7,6,7,3,11,,5,12,8,10,6,6,7,6,,6,,3,,12,,TBR
,,Non-Pitcher Totals,27.3,162,6261,5605,767,1424,291,29,216,728,94,37,541,1481,0.254,0.326,0.432,0.758,102,2421,113,73,8,34,20,TBR
,,Pitcher Totals,22.7,162,24,23,2,3,0,0,1,2,0,0,1,12,0.13,0.167,0.261,0.428,12,6,1,0,0,0,0,TBR
