"","LAD","HOU","Champion"
"644","4","3","LAD"
"645","4","1","LAD"
"646","4","2","LAD"
"647","4","2","LAD"
"648","3","4","HOU"
"649","4","3","LAD"
"650","4","3","LAD"
"651","4","2","LAD"
"652","1","4","HOU"
"653","0","4","HOU"
"654","3","4","HOU"
"655","4","2","LAD"
"656","4","0","LAD"
"657","2","4","HOU"
"658","0","4","HOU"
"659","2","4","HOU"
"660","4","1","LAD"
"661","1","4","HOU"
"662","4","1","LAD"
"663","0","4","HOU"
"664","0","4","HOU"
"665","2","4","HOU"
"666","4","2","LAD"
"667","4","2","LAD"
"668","3","4","HOU"
"669","4","2","LAD"
"670","3","4","HOU"
"671","2","4","HOU"
"672","4","2","LAD"
"673","3","4","HOU"
"674","4","3","LAD"
"675","4","3","LAD"
"676","2","4","HOU"
"677","1","4","HOU"
"678","3","4","HOU"
"679","4","2","LAD"
"680","4","1","LAD"
"681","2","4","HOU"
"682","4","2","LAD"
"683","4","0","LAD"
"684","4","1","LAD"
"685","4","1","LAD"
"686","3","4","HOU"
"687","2","4","HOU"
"688","4","3","LAD"
"689","3","4","HOU"
"690","4","3","LAD"
"691","1","4","HOU"
"692","4","2","LAD"
"693","0","4","HOU"
"694","1","4","HOU"
"695","4","1","LAD"
"696","4","1","LAD"
"697","4","3","LAD"
"698","4","0","LAD"
"699","1","4","HOU"
"700","4","1","LAD"
"701","1","4","HOU"
"702","1","4","HOU"
"703","4","3","LAD"
"704","3","4","HOU"
"705","4","3","LAD"
"706","1","4","HOU"
"707","4","0","LAD"
"708","4","2","LAD"
"709","4","1","LAD"
"710","4","2","LAD"
"711","4","3","LAD"
"712","4","0","LAD"
"713","2","4","HOU"
"714","2","4","HOU"
"715","4","2","LAD"
"716","3","4","HOU"
"717","1","4","HOU"
"718","3","4","HOU"
"719","4","2","LAD"
"720","3","4","HOU"
"721","4","2","LAD"
"722","4","3","LAD"
"723","3","4","HOU"
"724","1","4","HOU"
"725","2","4","HOU"
"726","3","4","HOU"
"727","4","1","LAD"
"728","2","4","HOU"
"729","0","4","HOU"
"730","3","4","HOU"
"731","4","1","LAD"
"732","4","1","LAD"
"733","4","3","LAD"
"734","4","1","LAD"
"735","4","3","LAD"
"736","4","3","LAD"
"737","4","3","LAD"
"738","4","2","LAD"
"739","1","4","HOU"
"740","4","1","LAD"
"741","4","3","LAD"
"742","4","3","LAD"
"743","0","4","HOU"
"744","2","4","HOU"
"745","0","4","HOU"
"746","2","4","HOU"
"747","4","1","LAD"
"748","3","4","HOU"
"749","3","4","HOU"
"750","1","4","HOU"
"751","3","4","HOU"
"752","4","3","LAD"
"753","2","4","HOU"
"754","2","4","HOU"
"755","1","4","HOU"
"756","4","2","LAD"
"757","4","2","LAD"
"758","4","1","LAD"
"759","4","1","LAD"
"760","4","3","LAD"
"761","3","4","HOU"
"762","4","1","LAD"
"763","4","0","LAD"
"764","4","3","LAD"
"765","4","3","LAD"
"766","4","3","LAD"
"767","4","1","LAD"
"768","4","3","LAD"
"769","2","4","HOU"
"770","4","3","LAD"
"771","2","4","HOU"
"772","4","3","LAD"
"773","4","3","LAD"
"774","1","4","HOU"
"775","4","2","LAD"
"776","2","4","HOU"
"777","3","4","HOU"
"778","2","4","HOU"
"779","0","4","HOU"
"780","4","3","LAD"
"781","4","1","LAD"
"782","4","3","LAD"
"783","1","4","HOU"
"784","4","2","LAD"
"785","0","4","HOU"
"786","3","4","HOU"
"787","4","3","LAD"
"788","4","1","LAD"
"789","4","1","LAD"
"790","3","4","HOU"
"791","3","4","HOU"
"792","4","3","LAD"
"793","3","4","HOU"
"794","4","1","LAD"
"795","4","3","LAD"
"796","3","4","HOU"
"797","3","4","HOU"
"798","4","2","LAD"
"799","1","4","HOU"
"800","4","2","LAD"
"801","1","4","HOU"
"802","4","2","LAD"
"803","2","4","HOU"
"804","4","3","LAD"
"805","4","2","LAD"
"806","2","4","HOU"
"807","3","4","HOU"
"808","4","1","LAD"
"809","4","0","LAD"
"810","1","4","HOU"
"811","4","1","LAD"
"812","4","1","LAD"
"813","4","3","LAD"
"814","4","0","LAD"
"815","4","2","LAD"
"816","0","4","HOU"
"817","4","1","LAD"
"818","2","4","HOU"
"819","4","0","LAD"
"820","4","1","LAD"
"821","3","4","HOU"
"822","4","1","LAD"
"823","0","4","HOU"
"824","4","2","LAD"
"825","4","3","LAD"
"826","2","4","HOU"
"827","1","4","HOU"
"828","4","0","LAD"
"829","3","4","HOU"
"830","2","4","HOU"
"831","4","3","LAD"
"832","4","1","LAD"
"833","4","3","LAD"
"834","4","3","LAD"
"835","4","3","LAD"
"836","4","3","LAD"
"837","4","2","LAD"
"838","4","2","LAD"
"839","4","1","LAD"
"840","1","4","HOU"
"841","0","4","HOU"
"842","3","4","HOU"
"843","2","4","HOU"
"844","2","4","HOU"
"845","2","4","HOU"
"846","0","4","HOU"
"847","1","4","HOU"
"848","3","4","HOU"
"849","1","4","HOU"
"850","3","4","HOU"
"851","4","3","LAD"
"852","4","2","LAD"
"853","3","4","HOU"
"854","4","1","LAD"
"855","3","4","HOU"
"856","4","2","LAD"
"857","4","2","LAD"
"858","4","2","LAD"
"859","1","4","HOU"
"860","4","1","LAD"
"861","4","2","LAD"
"862","4","3","LAD"
"863","2","4","HOU"
"864","0","4","HOU"
"865","3","4","HOU"
"866","3","4","HOU"
"867","0","4","HOU"
"868","4","0","LAD"
"869","2","4","HOU"
"870","1","4","HOU"
"871","4","1","LAD"
"872","4","3","LAD"
"873","4","2","LAD"
"874","3","4","HOU"
"875","2","4","HOU"
"876","4","2","LAD"
"877","2","4","HOU"
"878","4","2","LAD"
"879","4","2","LAD"
"880","4","2","LAD"
"881","3","4","HOU"
"882","4","0","LAD"
"883","4","2","LAD"
"884","4","3","LAD"
"885","2","4","HOU"
"886","4","3","LAD"
"887","3","4","HOU"
"888","4","1","LAD"
"889","2","4","HOU"
"890","4","1","LAD"
"891","4","1","LAD"
"892","4","1","LAD"
"893","4","1","LAD"
"894","4","3","LAD"
"895","3","4","HOU"
"896","3","4","HOU"
"897","4","0","LAD"
"898","3","4","HOU"
"899","2","4","HOU"
"900","4","1","LAD"
"901","4","2","LAD"
"902","4","0","LAD"
"903","4","1","LAD"
"904","4","3","LAD"
"905","2","4","HOU"
"906","4","0","LAD"
"907","4","2","LAD"
"908","2","4","HOU"
"909","3","4","HOU"
"910","1","4","HOU"
"911","2","4","HOU"
"912","4","2","LAD"
"913","3","4","HOU"
"914","4","1","LAD"
"915","4","1","LAD"
"916","4","1","LAD"
"917","4","0","LAD"
"918","4","3","LAD"
"919","3","4","HOU"
"920","4","2","LAD"
"921","0","4","HOU"
"922","3","4","HOU"
"923","3","4","HOU"
"924","3","4","HOU"
"925","4","2","LAD"
"926","1","4","HOU"
"927","2","4","HOU"
"928","4","2","LAD"
"929","4","0","LAD"
"930","4","1","LAD"
"931","4","2","LAD"
"932","4","3","LAD"
"933","2","4","HOU"
"934","1","4","HOU"
"935","4","1","LAD"
"936","4","0","LAD"
"937","4","3","LAD"
"938","3","4","HOU"
"939","4","3","LAD"
"940","4","2","LAD"
"941","4","3","LAD"
"942","3","4","HOU"
"943","1","4","HOU"
"944","4","3","LAD"
"945","4","1","LAD"
"946","2","4","HOU"
"947","4","2","LAD"
"948","0","4","HOU"
"949","4","1","LAD"
"950","2","4","HOU"
"951","4","3","LAD"
"952","4","1","LAD"
"953","2","4","HOU"
"954","3","4","HOU"
"955","4","2","LAD"
"956","4","1","LAD"
"957","4","1","LAD"
"958","4","1","LAD"
"959","4","3","LAD"
"960","4","2","LAD"
"961","3","4","HOU"
"962","3","4","HOU"
"963","4","1","LAD"
"964","3","4","HOU"
"965","4","0","LAD"
"966","4","3","LAD"
"967","1","4","HOU"
"968","4","1","LAD"
"969","3","4","HOU"
"970","3","4","HOU"
"971","4","1","LAD"
"972","2","4","HOU"
"973","3","4","HOU"
"974","4","2","LAD"
"975","4","1","LAD"
"976","4","2","LAD"
"977","2","4","HOU"
"978","1","4","HOU"
"979","0","4","HOU"
"980","2","4","HOU"
"981","2","4","HOU"
"982","4","3","LAD"
"983","4","3","LAD"
"984","3","4","HOU"
"985","4","3","LAD"
"986","4","1","LAD"
"987","4","2","LAD"
"988","3","4","HOU"
"989","3","4","HOU"
"990","4","3","LAD"
"991","3","4","HOU"
"992","2","4","HOU"
"993","4","0","LAD"
"994","4","3","LAD"
"995","3","4","HOU"
"996","4","3","LAD"
"997","1","4","HOU"
"998","0","4","HOU"
"999","1","4","HOU"
"1000","4","2","LAD"
"1001","0","4","HOU"
"1002","4","1","LAD"
"1003","3","4","HOU"
"1004","2","4","HOU"
"1005","4","0","LAD"
"1006","4","3","LAD"
"1007","1","4","HOU"
"1008","4","1","LAD"
"1009","4","2","LAD"
"1010","3","4","HOU"
"1011","4","2","LAD"
"1012","1","4","HOU"
"1013","3","4","HOU"
"1014","2","4","HOU"
"1015","4","3","LAD"
"1016","4","0","LAD"
"1017","4","0","LAD"
"1018","3","4","HOU"
"1019","4","1","LAD"
"1020","3","4","HOU"
"1021","2","4","HOU"
"1022","4","3","LAD"
"1023","4","2","LAD"
"1024","3","4","HOU"
"1025","1","4","HOU"
"1026","4","0","LAD"
"1027","1","4","HOU"
"1028","4","1","LAD"
"1029","2","4","HOU"
"1030","4","1","LAD"
"1031","4","3","LAD"
"1032","4","2","LAD"
"1033","4","3","LAD"
"1034","4","2","LAD"
"1035","4","3","LAD"
"1036","1","4","HOU"
"1037","2","4","HOU"
"1038","1","4","HOU"
"1039","1","4","HOU"
"1040","1","4","HOU"
"1041","3","4","HOU"
"1042","4","2","LAD"
"1043","2","4","HOU"
"1044","3","4","HOU"
"1045","4","2","LAD"
"1046","4","3","LAD"
"1047","3","4","HOU"
"1048","4","1","LAD"
"1049","0","4","HOU"
"1050","0","4","HOU"
"1051","4","2","LAD"
"1052","3","4","HOU"
"1053","4","2","LAD"
"1054","4","3","LAD"
"1055","3","4","HOU"
"1056","4","3","LAD"
"1057","4","1","LAD"
"1058","2","4","HOU"
"1059","4","2","LAD"
"1060","4","1","LAD"
"1061","4","3","LAD"
"1062","0","4","HOU"
"1063","1","4","HOU"
"1064","4","3","LAD"
"1065","4","1","LAD"
"1066","0","4","HOU"
"1067","2","4","HOU"
"1068","3","4","HOU"
"1069","4","1","LAD"
"1070","4","1","LAD"
"1071","4","3","LAD"
"1072","0","4","HOU"
"1073","4","1","LAD"
"1074","3","4","HOU"
"1075","4","2","LAD"
"1076","2","4","HOU"
"1077","3","4","HOU"
"1078","2","4","HOU"
"1079","3","4","HOU"
"1080","4","1","LAD"
"1081","2","4","HOU"
"1082","1","4","HOU"
"1083","4","1","LAD"
"1084","1","4","HOU"
"1085","4","2","LAD"
"1086","4","3","LAD"
"1087","4","1","LAD"
"1088","3","4","HOU"
"1089","4","1","LAD"
"1090","3","4","HOU"
"1091","4","0","LAD"
"1092","1","4","HOU"
"1093","1","4","HOU"
"1094","4","2","LAD"
"1095","4","3","LAD"
"1096","4","1","LAD"
"1097","4","3","LAD"
"1098","4","3","LAD"
"1099","4","3","LAD"
"1100","4","2","LAD"
"1101","4","3","LAD"
"1102","3","4","HOU"
"1103","4","2","LAD"
"1104","4","3","LAD"
"1105","4","1","LAD"
"1106","2","4","HOU"
"1107","1","4","HOU"
"1108","4","1","LAD"
"1109","2","4","HOU"
"1110","4","0","LAD"
"1111","3","4","HOU"
"1112","4","2","LAD"
"1113","2","4","HOU"
"1114","4","2","LAD"
"1115","3","4","HOU"
"1116","2","4","HOU"
"1117","0","4","HOU"
"1118","4","2","LAD"
"1119","4","1","LAD"
"1120","4","1","LAD"
"1121","3","4","HOU"
"1122","2","4","HOU"
"1123","3","4","HOU"
"1124","2","4","HOU"
"1125","1","4","HOU"
"1126","4","2","LAD"
"1127","4","2","LAD"
"1128","3","4","HOU"
"1129","4","3","LAD"
"1130","1","4","HOU"
"1131","2","4","HOU"
"1132","4","0","LAD"
"1133","4","2","LAD"
"1134","4","0","LAD"
"1135","2","4","HOU"
"1136","4","3","LAD"
"1137","4","3","LAD"
"1138","4","2","LAD"
"1139","4","2","LAD"
"1140","4","2","LAD"
"1141","4","1","LAD"
"1142","2","4","HOU"
"1143","4","3","LAD"
"1144","0","4","HOU"
"1145","4","2","LAD"
"1146","0","4","HOU"
"1147","4","1","LAD"
"1148","4","2","LAD"
"1149","4","3","LAD"
"1150","4","0","LAD"
"1151","0","4","HOU"
