"","OAK","HOU","Series Winner"
"266","3","2","OAK"
"267","1","3","HOU"
"268","3","1","OAK"
"269","0","3","HOU"
"270","3","2","OAK"
"271","2","3","HOU"
"272","0","3","HOU"
"273","0","3","HOU"
"274","1","3","HOU"
"275","0","3","HOU"
"276","3","1","OAK"
"277","2","3","HOU"
"278","0","3","HOU"
"279","0","3","HOU"
"280","0","3","HOU"
"281","1","3","HOU"
"282","2","3","HOU"
"283","2","3","HOU"
"284","2","3","HOU"
"285","0","3","HOU"
"286","2","3","HOU"
"287","2","3","HOU"
"288","0","3","HOU"
"289","0","3","HOU"
"290","1","3","HOU"
"291","3","2","OAK"
"292","2","3","HOU"
"293","3","0","OAK"
"294","1","3","HOU"
"295","2","3","HOU"
"296","1","3","HOU"
"297","0","3","HOU"
"298","3","2","OAK"
"299","1","3","HOU"
"300","1","3","HOU"
"301","3","1","OAK"
"302","1","3","HOU"
"303","3","2","OAK"
"304","2","3","HOU"
"305","1","3","HOU"
"306","2","3","HOU"
"307","1","3","HOU"
"308","3","1","OAK"
"309","2","3","HOU"
"310","1","3","HOU"
"311","3","2","OAK"
"312","0","3","HOU"
"313","3","2","OAK"
"314","3","2","OAK"
"315","3","2","OAK"
"316","3","2","OAK"
"317","1","3","HOU"
"318","3","2","OAK"
"319","0","3","HOU"
"320","2","3","HOU"
"321","0","3","HOU"
"322","1","3","HOU"
"323","3","1","OAK"
"324","3","1","OAK"
"325","0","3","HOU"
"326","2","3","HOU"
"327","2","3","HOU"
"328","0","3","HOU"
"329","0","3","HOU"
"330","3","1","OAK"
"331","2","3","HOU"
"332","3","1","OAK"
"333","1","3","HOU"
"334","2","3","HOU"
"335","2","3","HOU"
"336","2","3","HOU"
"337","3","1","OAK"
"338","3","2","OAK"
"339","1","3","HOU"
"340","2","3","HOU"
"341","2","3","HOU"
"342","1","3","HOU"
"343","1","3","HOU"
"344","1","3","HOU"
"345","3","2","OAK"
"346","1","3","HOU"
"347","1","3","HOU"
"348","3","2","OAK"
"349","1","3","HOU"
"350","1","3","HOU"
"351","0","3","HOU"
"352","2","3","HOU"
"353","1","3","HOU"
"354","0","3","HOU"
"355","2","3","HOU"
"356","0","3","HOU"
"357","0","3","HOU"
"358","2","3","HOU"
"359","1","3","HOU"
"360","2","3","HOU"
"361","0","3","HOU"
"362","0","3","HOU"
"363","0","3","HOU"
"364","1","3","HOU"
"365","0","3","HOU"
"366","3","2","OAK"
"367","1","3","HOU"
"368","1","3","HOU"
"369","2","3","HOU"
"370","1","3","HOU"
"371","1","3","HOU"
"372","2","3","HOU"
"373","1","3","HOU"
"374","1","3","HOU"
"375","2","3","HOU"
"376","0","3","HOU"
"377","1","3","HOU"
"378","1","3","HOU"
"379","0","3","HOU"
"380","2","3","HOU"
"381","2","3","HOU"
"382","0","3","HOU"
"383","1","3","HOU"
"384","0","3","HOU"
"385","3","2","OAK"
"386","2","3","HOU"
"387","3","2","OAK"
"388","1","3","HOU"
"389","0","3","HOU"
"390","0","3","HOU"
"391","1","3","HOU"
"392","1","3","HOU"
"393","1","3","HOU"
"394","2","3","HOU"
"395","1","3","HOU"
"396","0","3","HOU"
"397","0","3","HOU"
"398","0","3","HOU"
"399","3","1","OAK"
"400","1","3","HOU"
"401","0","3","HOU"
"402","2","3","HOU"
"403","1","3","HOU"
"404","2","3","HOU"
"405","3","2","OAK"
"406","0","3","HOU"
"407","0","3","HOU"
"408","1","3","HOU"
"409","1","3","HOU"
"410","1","3","HOU"
"411","0","3","HOU"
"412","1","3","HOU"
"413","2","3","HOU"
"414","1","3","HOU"
"415","1","3","HOU"
"416","1","3","HOU"
"417","2","3","HOU"
"418","0","3","HOU"
"419","2","3","HOU"
"420","3","1","OAK"
"421","0","3","HOU"
"422","3","2","OAK"
"423","1","3","HOU"
"424","1","3","HOU"
"425","2","3","HOU"
"426","3","1","OAK"
"427","2","3","HOU"
"428","2","3","HOU"
"429","2","3","HOU"
"430","1","3","HOU"
"431","1","3","HOU"
"432","2","3","HOU"
"433","2","3","HOU"
"434","3","0","OAK"
"435","2","3","HOU"
"436","1","3","HOU"
"437","1","3","HOU"
"438","3","0","OAK"
"439","3","1","OAK"
"440","1","3","HOU"
"441","1","3","HOU"
"442","3","0","OAK"
"443","1","3","HOU"
"444","1","3","HOU"
"445","0","3","HOU"
"446","2","3","HOU"
"447","1","3","HOU"
"448","0","3","HOU"
"449","0","3","HOU"
"450","1","3","HOU"
"451","2","3","HOU"
"452","2","3","HOU"
"453","3","1","OAK"
"454","0","3","HOU"
"455","2","3","HOU"
"456","3","0","OAK"
"457","2","3","HOU"
"458","1","3","HOU"
"459","2","3","HOU"
"460","0","3","HOU"
"461","1","3","HOU"
"462","3","1","OAK"
"463","3","2","OAK"
"464","0","3","HOU"
"465","2","3","HOU"
"466","2","3","HOU"
"467","2","3","HOU"
"468","1","3","HOU"
"469","2","3","HOU"
"470","2","3","HOU"
"471","0","3","HOU"
"472","0","3","HOU"
"473","3","2","OAK"
"474","1","3","HOU"
"475","1","3","HOU"
"476","3","2","OAK"
"477","3","2","OAK"
"478","0","3","HOU"
"479","2","3","HOU"
"480","1","3","HOU"
"481","2","3","HOU"
"482","2","3","HOU"
"483","2","3","HOU"
"484","2","3","HOU"
"485","2","3","HOU"
"486","2","3","HOU"
"487","2","3","HOU"
"488","0","3","HOU"
"489","0","3","HOU"
"490","1","3","HOU"
"491","1","3","HOU"
"492","2","3","HOU"
"493","0","3","HOU"
"494","0","3","HOU"
"495","3","1","OAK"
"496","0","3","HOU"
"497","2","3","HOU"
"498","3","2","OAK"
"499","1","3","HOU"
"500","3","0","OAK"
"501","1","3","HOU"
"502","1","3","HOU"
"503","2","3","HOU"
"504","2","3","HOU"
"505","3","2","OAK"
"506","3","2","OAK"
"507","3","2","OAK"
"508","0","3","HOU"
"509","1","3","HOU"
"510","1","3","HOU"
"511","1","3","HOU"
"512","1","3","HOU"
"513","1","3","HOU"
"514","2","3","HOU"
"515","1","3","HOU"
"516","3","2","OAK"
"517","1","3","HOU"
"518","0","3","HOU"
"519","1","3","HOU"
"520","1","3","HOU"
"521","3","0","OAK"
"522","2","3","HOU"
"523","0","3","HOU"
"524","0","3","HOU"
"525","0","3","HOU"
"526","1","3","HOU"
"527","1","3","HOU"
"528","3","1","OAK"
"529","2","3","HOU"
"530","1","3","HOU"
"531","0","3","HOU"
"532","2","3","HOU"
"533","1","3","HOU"
"534","1","3","HOU"
"535","1","3","HOU"
"536","1","3","HOU"
"537","0","3","HOU"
"538","2","3","HOU"
"539","2","3","HOU"
"540","3","2","OAK"
"541","1","3","HOU"
"542","1","3","HOU"
"543","0","3","HOU"
"544","3","1","OAK"
"545","2","3","HOU"
"546","0","3","HOU"
"547","3","1","OAK"
"548","0","3","HOU"
"549","2","3","HOU"
"550","0","3","HOU"
"551","3","1","OAK"
"552","1","3","HOU"
"553","0","3","HOU"
"554","0","3","HOU"
"555","1","3","HOU"
"556","3","0","OAK"
"557","3","1","OAK"
"558","0","3","HOU"
"559","2","3","HOU"
"560","1","3","HOU"
"561","1","3","HOU"
"562","1","3","HOU"
"563","1","3","HOU"
"564","2","3","HOU"
"565","1","3","HOU"
"566","2","3","HOU"
"567","3","1","OAK"
"568","1","3","HOU"
"569","1","3","HOU"
"570","3","2","OAK"
"571","1","3","HOU"
"572","0","3","HOU"
"573","0","3","HOU"
"574","1","3","HOU"
"575","0","3","HOU"
"576","1","3","HOU"
"577","1","3","HOU"
"578","1","3","HOU"
"579","2","3","HOU"
"580","1","3","HOU"
"581","3","2","OAK"
"582","3","0","OAK"
"583","1","3","HOU"
"584","2","3","HOU"
"585","3","2","OAK"
"586","0","3","HOU"
"587","1","3","HOU"
"588","1","3","HOU"
"589","0","3","HOU"
"590","1","3","HOU"
"591","0","3","HOU"
"592","0","3","HOU"
"593","1","3","HOU"
"594","0","3","HOU"
"595","1","3","HOU"
"596","1","3","HOU"
"597","0","3","HOU"
"598","3","0","OAK"
"599","0","3","HOU"
"600","1","3","HOU"
"601","1","3","HOU"
"602","0","3","HOU"
"603","2","3","HOU"
"604","2","3","HOU"
"605","2","3","HOU"
"606","1","3","HOU"
"607","3","1","OAK"
"608","2","3","HOU"
"609","3","2","OAK"
"610","1","3","HOU"
"611","3","1","OAK"
"612","1","3","HOU"
"613","1","3","HOU"
"614","2","3","HOU"
"615","2","3","HOU"
"616","3","1","OAK"
"617","0","3","HOU"
"618","1","3","HOU"
"619","1","3","HOU"
"620","2","3","HOU"
"621","0","3","HOU"
"622","0","3","HOU"
"623","1","3","HOU"
"624","2","3","HOU"
"625","2","3","HOU"
"626","1","3","HOU"
"627","3","2","OAK"
"628","2","3","HOU"
"629","0","3","HOU"
"630","1","3","HOU"
"631","3","1","OAK"
"632","1","3","HOU"
"633","3","0","OAK"
"634","3","1","OAK"
"635","1","3","HOU"
"636","2","3","HOU"
"637","1","3","HOU"
"638","1","3","HOU"
"639","1","3","HOU"
"640","1","3","HOU"
"641","0","3","HOU"
"642","0","3","HOU"
"643","1","3","HOU"
"644","0","3","HOU"
"645","1","3","HOU"
"646","0","3","HOU"
"647","2","3","HOU"
"648","0","3","HOU"
"649","1","3","HOU"
"650","2","3","HOU"
"651","1","3","HOU"
"652","0","3","HOU"
"653","2","3","HOU"
"654","2","3","HOU"
"655","0","3","HOU"
"656","1","3","HOU"
"657","2","3","HOU"
"658","3","2","OAK"
"659","0","3","HOU"
"660","0","3","HOU"
"661","3","0","OAK"
"662","1","3","HOU"
"663","0","3","HOU"
"664","0","3","HOU"
"665","1","3","HOU"
"666","0","3","HOU"
"667","1","3","HOU"
"668","2","3","HOU"
"669","0","3","HOU"
"670","0","3","HOU"
"671","1","3","HOU"
"672","3","1","OAK"
"673","0","3","HOU"
"674","3","0","OAK"
"675","0","3","HOU"
"676","3","0","OAK"
"677","1","3","HOU"
"678","1","3","HOU"
"679","1","3","HOU"
"680","3","0","OAK"
"681","2","3","HOU"
"682","1","3","HOU"
"683","3","1","OAK"
"684","1","3","HOU"
"685","2","3","HOU"
"686","2","3","HOU"
"687","1","3","HOU"
"688","0","3","HOU"
"689","2","3","HOU"
"690","3","1","OAK"
"691","3","1","OAK"
"692","3","2","OAK"
"693","1","3","HOU"
"694","2","3","HOU"
"695","3","1","OAK"
"696","3","2","OAK"
"697","3","1","OAK"
"698","1","3","HOU"
"699","2","3","HOU"
"700","2","3","HOU"
"701","3","2","OAK"
"702","2","3","HOU"
"703","0","3","HOU"
"704","3","0","OAK"
"705","2","3","HOU"
"706","3","2","OAK"
"707","1","3","HOU"
"708","3","2","OAK"
"709","2","3","HOU"
"710","3","2","OAK"
"711","0","3","HOU"
"712","0","3","HOU"
"713","0","3","HOU"
"714","0","3","HOU"
"715","1","3","HOU"
"716","0","3","HOU"
"717","3","1","OAK"
"718","2","3","HOU"
"719","1","3","HOU"
"720","2","3","HOU"
"721","1","3","HOU"
"722","0","3","HOU"
"723","0","3","HOU"
"724","1","3","HOU"
"725","3","1","OAK"
"726","3","1","OAK"
"727","0","3","HOU"
"728","0","3","HOU"
"729","3","0","OAK"
"730","1","3","HOU"
"731","2","3","HOU"
"732","3","1","OAK"
"733","2","3","HOU"
"734","3","2","OAK"
"735","1","3","HOU"
"736","1","3","HOU"
"737","2","3","HOU"
"738","2","3","HOU"
"739","2","3","HOU"
"740","3","2","OAK"
"741","3","1","OAK"
"742","1","3","HOU"
"743","1","3","HOU"
"744","0","3","HOU"
"745","1","3","HOU"
"746","1","3","HOU"
"747","1","3","HOU"
"748","3","2","OAK"
"749","0","3","HOU"
"750","0","3","HOU"
"751","2","3","HOU"
"752","3","2","OAK"
"753","1","3","HOU"
"754","0","3","HOU"
"755","0","3","HOU"
"756","3","0","OAK"
"757","2","3","HOU"
"758","1","3","HOU"
"759","1","3","HOU"
"760","2","3","HOU"
"761","1","3","HOU"
"762","1","3","HOU"
"763","3","2","OAK"
"764","3","1","OAK"
"765","1","3","HOU"
"766","2","3","HOU"
"767","1","3","HOU"
"768","2","3","HOU"
"769","2","3","HOU"
"770","0","3","HOU"
"771","3","1","OAK"
"772","1","3","HOU"
"773","3","2","OAK"
"774","2","3","HOU"
"775","3","1","OAK"
"776","3","1","OAK"
"777","2","3","HOU"
"778","0","3","HOU"
"779","1","3","HOU"
"780","1","3","HOU"
"781","1","3","HOU"
"782","0","3","HOU"
"783","3","0","OAK"
"784","1","3","HOU"
"785","1","3","HOU"
"786","2","3","HOU"
"787","2","3","HOU"
"788","1","3","HOU"
"789","3","1","OAK"
"790","3","2","OAK"
"791","0","3","HOU"
"792","1","3","HOU"
"793","1","3","HOU"
"794","2","3","HOU"
"795","0","3","HOU"
"796","3","2","OAK"
"797","2","3","HOU"
"798","1","3","HOU"
"799","2","3","HOU"
"800","2","3","HOU"
"801","0","3","HOU"
"802","3","1","OAK"
"803","2","3","HOU"
"804","3","1","OAK"
"805","0","3","HOU"
"806","0","3","HOU"
"807","1","3","HOU"
"808","3","1","OAK"
"809","1","3","HOU"
"810","1","3","HOU"
"811","0","3","HOU"
"812","2","3","HOU"
"813","2","3","HOU"
"814","3","0","OAK"
"815","2","3","HOU"
"816","0","3","HOU"
"817","1","3","HOU"
"818","2","3","HOU"
"819","1","3","HOU"
"820","3","2","OAK"
"821","3","1","OAK"
"822","0","3","HOU"
"823","2","3","HOU"
"824","3","2","OAK"
"825","1","3","HOU"
"826","1","3","HOU"
"827","2","3","HOU"
"828","0","3","HOU"
"829","0","3","HOU"
"830","0","3","HOU"
"831","0","3","HOU"
"832","2","3","HOU"
"833","0","3","HOU"
"834","3","0","OAK"
"835","2","3","HOU"
"836","3","2","OAK"
"837","1","3","HOU"
"838","3","0","OAK"
"839","1","3","HOU"
"840","0","3","HOU"
"841","2","3","HOU"
"842","0","3","HOU"
"843","2","3","HOU"
"844","1","3","HOU"
"845","2","3","HOU"
"846","1","3","HOU"
"847","2","3","HOU"
"848","2","3","HOU"
"849","2","3","HOU"
"850","0","3","HOU"
"851","2","3","HOU"
"852","0","3","HOU"
"853","1","3","HOU"
"854","0","3","HOU"
"855","2","3","HOU"
"856","0","3","HOU"
"857","1","3","HOU"
"858","1","3","HOU"
"859","1","3","HOU"
"860","0","3","HOU"
"861","3","0","OAK"
"862","1","3","HOU"
"863","1","3","HOU"
"864","0","3","HOU"
"865","3","2","OAK"
"866","3","1","OAK"
"867","1","3","HOU"
"868","2","3","HOU"
"869","1","3","HOU"
"870","0","3","HOU"
"871","0","3","HOU"
"872","2","3","HOU"
"873","3","1","OAK"
"874","3","2","OAK"
"875","0","3","HOU"
"876","2","3","HOU"
"877","3","2","OAK"
"878","1","3","HOU"
"879","1","3","HOU"
"880","2","3","HOU"
"881","1","3","HOU"
"882","1","3","HOU"
"883","1","3","HOU"
"884","2","3","HOU"
"885","1","3","HOU"
"886","0","3","HOU"
"887","2","3","HOU"
"888","1","3","HOU"
"889","1","3","HOU"
"890","2","3","HOU"
"891","3","0","OAK"
"892","2","3","HOU"
"893","0","3","HOU"
"894","2","3","HOU"
"895","3","0","OAK"
"896","0","3","HOU"
"897","3","1","OAK"
"898","1","3","HOU"
"899","1","3","HOU"
"900","1","3","HOU"
"901","0","3","HOU"
"902","3","1","OAK"
"903","3","2","OAK"
"904","2","3","HOU"
"905","2","3","HOU"
"906","2","3","HOU"
"907","2","3","HOU"
"908","3","2","OAK"
"909","1","3","HOU"
"910","0","3","HOU"
"911","3","0","OAK"
"912","0","3","HOU"
"913","0","3","HOU"
"914","2","3","HOU"
"915","2","3","HOU"
"916","1","3","HOU"
"917","0","3","HOU"
"918","2","3","HOU"
"919","1","3","HOU"
"920","2","3","HOU"
"921","2","3","HOU"
"922","2","3","HOU"
"923","3","0","OAK"
"924","2","3","HOU"
"925","3","2","OAK"
"926","2","3","HOU"
"927","2","3","HOU"
"928","2","3","HOU"
"929","0","3","HOU"
"930","0","3","HOU"
"931","2","3","HOU"
"932","2","3","HOU"
"933","3","2","OAK"
"934","1","3","HOU"
"935","0","3","HOU"
"936","2","3","HOU"
"937","2","3","HOU"
"938","2","3","HOU"
"939","0","3","HOU"
"940","1","3","HOU"
"941","1","3","HOU"
"942","2","3","HOU"
"943","3","2","OAK"
"944","0","3","HOU"
"945","2","3","HOU"
"946","0","3","HOU"
"947","1","3","HOU"
"948","2","3","HOU"
"949","0","3","HOU"
"950","2","3","HOU"
"951","3","1","OAK"
"952","1","3","HOU"
"953","3","2","OAK"
"954","1","3","HOU"
"955","1","3","HOU"
"956","2","3","HOU"
"957","0","3","HOU"
"958","3","2","OAK"
"959","0","3","HOU"
"960","2","3","HOU"
"961","3","1","OAK"
"962","1","3","HOU"
"963","3","2","OAK"
"964","3","1","OAK"
"965","2","3","HOU"
"966","3","2","OAK"
"967","2","3","HOU"
"968","0","3","HOU"
"969","0","3","HOU"
"970","2","3","HOU"
"971","2","3","HOU"
"972","0","3","HOU"
"973","0","3","HOU"
"974","1","3","HOU"
"975","1","3","HOU"
"976","1","3","HOU"
"977","1","3","HOU"
"978","0","3","HOU"
"979","3","0","OAK"
"980","3","2","OAK"
"981","0","3","HOU"
"982","2","3","HOU"
"983","1","3","HOU"
"984","0","3","HOU"
"985","1","3","HOU"
"986","1","3","HOU"
"987","1","3","HOU"
"988","3","1","OAK"
"989","1","3","HOU"
"990","0","3","HOU"
"991","2","3","HOU"
"992","1","3","HOU"
"993","0","3","HOU"
"994","2","3","HOU"
"995","0","3","HOU"
"996","2","3","HOU"
"997","1","3","HOU"
"998","0","3","HOU"
"999","0","3","HOU"
"1000","2","3","HOU"
"1001","3","2","OAK"
"1002","3","0","OAK"
"1003","3","1","OAK"
"1004","2","3","HOU"
"1005","2","3","HOU"
"1006","1","3","HOU"
"1007","1","3","HOU"
"1008","0","3","HOU"
"1009","0","3","HOU"
"1010","2","3","HOU"
"1011","3","0","OAK"
"1012","0","3","HOU"
"1013","0","3","HOU"
"1014","3","0","OAK"
"1015","0","3","HOU"
"1016","0","3","HOU"
"1017","3","1","OAK"
"1018","1","3","HOU"
"1019","2","3","HOU"
"1020","1","3","HOU"
"1021","2","3","HOU"
"1022","2","3","HOU"
"1023","0","3","HOU"
"1024","0","3","HOU"
"1025","0","3","HOU"
"1026","0","3","HOU"
"1027","1","3","HOU"
"1028","2","3","HOU"
"1029","0","3","HOU"
"1030","3","1","OAK"
"1031","1","3","HOU"
"1032","0","3","HOU"
"1033","1","3","HOU"
"1034","3","0","OAK"
"1035","0","3","HOU"
"1036","0","3","HOU"
"1037","1","3","HOU"
"1038","0","3","HOU"
"1039","0","3","HOU"
"1040","3","0","OAK"
"1041","0","3","HOU"
"1042","1","3","HOU"
"1043","2","3","HOU"
"1044","0","3","HOU"
"1045","2","3","HOU"
"1046","3","2","OAK"
"1047","3","1","OAK"
"1048","2","3","HOU"
"1049","2","3","HOU"
"1050","0","3","HOU"
"1051","1","3","HOU"
"1052","0","3","HOU"
"1053","0","3","HOU"
"1054","0","3","HOU"
"1055","1","3","HOU"
"1056","1","3","HOU"
"1057","0","3","HOU"
"1058","1","3","HOU"
"1059","3","2","OAK"
"1060","2","3","HOU"
"1061","2","3","HOU"
"1062","3","1","OAK"
"1063","3","1","OAK"
"1064","3","0","OAK"
"1065","0","3","HOU"
"1066","1","3","HOU"
"1067","0","3","HOU"
"1068","2","3","HOU"
"1069","3","2","OAK"
"1070","0","3","HOU"
"1071","2","3","HOU"
"1072","1","3","HOU"
"1073","1","3","HOU"
"1074","1","3","HOU"
"1075","1","3","HOU"
"1076","0","3","HOU"
"1077","3","2","OAK"
"1078","1","3","HOU"
"1079","0","3","HOU"
"1080","0","3","HOU"
"1081","0","3","HOU"
"1082","0","3","HOU"
"1083","3","2","OAK"
"1084","1","3","HOU"
"1085","0","3","HOU"
"1086","0","3","HOU"
"1087","2","3","HOU"
"1088","2","3","HOU"
"1089","3","1","OAK"
"1090","3","1","OAK"
"1091","1","3","HOU"
"1092","0","3","HOU"
"1093","2","3","HOU"
"1094","0","3","HOU"
"1095","2","3","HOU"
"1096","3","2","OAK"
"1097","2","3","HOU"
"1098","2","3","HOU"
"1099","3","0","OAK"
"1100","2","3","HOU"
"1101","0","3","HOU"
"1102","1","3","HOU"
"1103","3","2","OAK"
"1104","1","3","HOU"
"1105","1","3","HOU"
"1106","1","3","HOU"
"1107","2","3","HOU"
"1108","0","3","HOU"
"1109","1","3","HOU"
"1110","2","3","HOU"
"1111","2","3","HOU"
"1112","2","3","HOU"
"1113","0","3","HOU"
"1114","2","3","HOU"
"1115","0","3","HOU"
"1116","0","3","HOU"
"1117","2","3","HOU"
"1118","2","3","HOU"
"1119","0","3","HOU"
"1120","0","3","HOU"
"1121","1","3","HOU"
"1122","2","3","HOU"
"1123","3","1","OAK"
"1124","0","3","HOU"
"1125","2","3","HOU"
"1126","2","3","HOU"
"1127","2","3","HOU"
"1128","3","1","OAK"
"1129","2","3","HOU"
"1130","0","3","HOU"
"1131","3","1","OAK"
"1132","1","3","HOU"
"1133","2","3","HOU"
"1134","2","3","HOU"
"1135","2","3","HOU"
"1136","0","3","HOU"
"1137","3","2","OAK"
"1138","1","3","HOU"
"1139","1","3","HOU"
"1140","2","3","HOU"
"1141","3","2","OAK"
"1142","0","3","HOU"
"1143","3","1","OAK"
"1144","0","3","HOU"
"1145","0","3","HOU"
"1146","2","3","HOU"
"1147","1","3","HOU"
"1148","1","3","HOU"
"1149","1","3","HOU"
"1150","2","3","HOU"
"1151","1","3","HOU"
